Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
H2AX4H100,log,Poisson,0.045861005783081,0.0,1,3.70508071707576e-05,0.0,1
H2AX4H100,log,NB,0.0379383563995361,0.0,1,7.762160236701732e-05,0.0,1
H2AX4H100,log,ZIP,0.0424230098724365,0.0,1,0.0009587249756535,0.0,1
H2AX4H100,log,ZINB,0.1266236305236816,0.0,1,0.0044634521968944,0.0,1
H2AX4H100,log,P+NB,0.3780412673950195,0.0,1,1.0979630022944775e-06,0.0,1
H2AX4H100,log,Z+P+NB,0.2956740856170654,0.0,1,0.0004364906638087,0.0,1
H2AX4H100,log,ZIP--ZINB,0.2319965362548828,0.0,1,0.1284558550593093,0.0,1
