Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549122,not_computed,nan,0,Optimization terminated successfully
C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.002609670310164347,not_computed,nan,0,Optimization terminated successfully
C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629825,not_computed,nan,0,Optimization terminated successfully
C3,ZINB,identity,-3080.6803349857273,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979504,not_computed,nan,0,Optimization terminated successfully
C3,P+NB,identity,-3079.9558058881353,6175.911611776271,6227.026490335521,4400,8,True,39,0.01623884783862195,not_computed,nan,0,Optimization terminated successfully
C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346298,not_computed,nan,0,Optimization terminated successfully
C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,nan,0,Optimization terminated successfully
