Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2,identity,,Poisson,0.133134126663208,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2,identity,,NB,0.3075542449951172,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806086,not_computed
C2,identity,,ZIP,0.4446675777435303,True,21,-2843.3676581344002,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2,identity,,ZINB,1.3164644241333008,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127831,not_computed
C2,identity,,P+NB,0.9610979557037354,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2,identity,,Z+P+NB,1.4035522937774658,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.005045530934012277,not_computed
C2,identity,,ZIP--ZINB,2.1365089416503906,True,87,-2843.3664778976076,5710.732955795215,5790.299218315894,0.007980407941936107,not_computed
