Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
C3,identity,Poisson,0.0906069278717041,0.0,1,0.0008235605049549,0.0,1
C3,identity,NB,0.2925505638122558,0.0,1,0.0026096703101643,0.0,1
C3,identity,ZIP,0.371248722076416,0.0,1,0.0012091976703629,0.0,1
C3,identity,ZINB,0.791278600692749,0.0,1,0.0009653133892979,0.0,1
C3,identity,P+NB,0.6073973178863525,0.0,1,0.0162388478386219,0.0,1
C3,identity,Z+P+NB,1.175926923751831,0.0,1,0.0017074504079346,0.0,1
C3,identity,ZIP--ZINB,2.1482479572296143,0.0,1,155.56836872854174,0.0,1
