Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
C2,log,Poisson,0.039797306060791,0.0,1,0.0038090123067604,0.0,1
C2,log,NB,0.1309127807617187,0.0,1,0.0002458548153754,0.0,1
C2,log,ZIP,0.1984801292419433,0.0,1,0.0065533183826573,0.0,1
C2,log,ZINB,0.5926711559295654,0.0,1,0.0018641602715945,0.0,1
C2,log,P+NB,0.9984009265899658,0.0,1,0.00081041960334,0.0,1
C2,log,Z+P+NB,2.1619648933410645,0.0,1,0.0290072130110274,0.0,1
C2,log,ZIP--ZINB,3.156722068786621,0.0,1,0.046801728156737,0.0,1
