Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,14,ZIP--ZINB,0,0.9478142178066568
D1,Dataset 1,14,ZIP--ZINB,1,2.0549879371038964
D1,Dataset 1,14,ZIP--ZINB,2,0.9373389422834827
D1,Dataset 1,14,ZIP--ZINB,3,-1.911017800909275
D1,Dataset 1,14,ZIP--ZINB,4,0.9933090962763169
D1,Dataset 1,14,ZIP--ZINB,5,3.9428605475342975
D1,Dataset 1,14,ZIP--ZINB,6,3.5628460706554717
D1,Dataset 1,14,ZIP--ZINB,7,1.547108358511657
D1,Dataset 1,14,ZIP--ZINB,8,-4.202552046506113
D1,Dataset 1,14,ZIP--ZINB,9,0.35127423647498507
D1,Dataset 1,10,ZIP--ZINB,0,0.8464378563893649
D1,Dataset 1,10,ZIP--ZINB,1,2.0168390767156774
D1,Dataset 1,10,ZIP--ZINB,2,0.9856010262578709
D1,Dataset 1,10,ZIP--ZINB,3,-2.02643185177183
D1,Dataset 1,10,ZIP--ZINB,4,0.9907543273765158
D1,Dataset 1,10,ZIP--ZINB,5,3.862711948278324
D1,Dataset 1,10,ZIP--ZINB,6,3.265354739512432
D1,Dataset 1,10,ZIP--ZINB,7,0.9674361018327532
D1,Dataset 1,10,ZIP--ZINB,8,-3.0859807090722016
D1,Dataset 1,10,ZIP--ZINB,9,0.48864569521008605
D1,Dataset 1,12,ZIP--ZINB,0,0.8758817634239427
D1,Dataset 1,12,ZIP--ZINB,1,1.9770386488206249
D1,Dataset 1,12,ZIP--ZINB,2,1.0241375500197114
D1,Dataset 1,12,ZIP--ZINB,3,-2.0780603768344377
D1,Dataset 1,12,ZIP--ZINB,4,1.0310730871307021
D1,Dataset 1,12,ZIP--ZINB,5,4.313546066250442
D1,Dataset 1,12,ZIP--ZINB,6,3.5140502379089305
D1,Dataset 1,12,ZIP--ZINB,7,1.1372569345071466
D1,Dataset 1,12,ZIP--ZINB,8,-2.9133861971430317
D1,Dataset 1,12,ZIP--ZINB,9,0.3749251473619687
D1,Dataset 1,13,ZIP--ZINB,0,0.8040662718522207
D1,Dataset 1,13,ZIP--ZINB,1,2.0278080258462654
D1,Dataset 1,13,ZIP--ZINB,2,0.9974821431895996
D1,Dataset 1,13,ZIP--ZINB,3,-2.0032277277390635
D1,Dataset 1,13,ZIP--ZINB,4,0.9918179779853561
D1,Dataset 1,13,ZIP--ZINB,5,4.125124583795685
D1,Dataset 1,13,ZIP--ZINB,6,3.391937222371876
D1,Dataset 1,13,ZIP--ZINB,7,1.2291011416724742
D1,Dataset 1,13,ZIP--ZINB,8,-3.192548441219489
D1,Dataset 1,13,ZIP--ZINB,9,0.4875504808471348
D1,Dataset 1,15,ZIP--ZINB,0,0.8437427951145565
D1,Dataset 1,15,ZIP--ZINB,1,1.9850863145393747
D1,Dataset 1,15,ZIP--ZINB,2,1.0185268214757124
D1,Dataset 1,15,ZIP--ZINB,3,-2.0767140534482436
D1,Dataset 1,15,ZIP--ZINB,4,1.019884601958988
D1,Dataset 1,15,ZIP--ZINB,5,4.3564713597650275
D1,Dataset 1,15,ZIP--ZINB,6,3.339872554478038
D1,Dataset 1,15,ZIP--ZINB,7,1.0935535372945004
D1,Dataset 1,15,ZIP--ZINB,8,-2.539218901637565
D1,Dataset 1,15,ZIP--ZINB,9,0.38558668541500796
D1,Dataset 1,19,ZIP--ZINB,0,0.9256985513395491
D1,Dataset 1,19,ZIP--ZINB,1,2.0523793468739013
D1,Dataset 1,19,ZIP--ZINB,2,0.9677030031128501
D1,Dataset 1,19,ZIP--ZINB,3,-1.80704554974959
D1,Dataset 1,19,ZIP--ZINB,4,0.9249258171343733
D1,Dataset 1,19,ZIP--ZINB,5,3.916878227172644
D1,Dataset 1,19,ZIP--ZINB,6,3.79724384292089
D1,Dataset 1,19,ZIP--ZINB,7,1.0791816974212272
D1,Dataset 1,19,ZIP--ZINB,8,-3.3067218419965734
D1,Dataset 1,19,ZIP--ZINB,9,0.3509837920405052
D1,Dataset 1,17,ZIP--ZINB,0,0.9210657832829033
D1,Dataset 1,17,ZIP--ZINB,1,2.0941009689994767
D1,Dataset 1,17,ZIP--ZINB,2,0.9395244734547855
D1,Dataset 1,17,ZIP--ZINB,3,-1.8883351123110643
D1,Dataset 1,17,ZIP--ZINB,4,0.9291452913368059
D1,Dataset 1,17,ZIP--ZINB,5,4.383717683889184
D1,Dataset 1,17,ZIP--ZINB,6,3.405088822497991
D1,Dataset 1,17,ZIP--ZINB,7,0.9378240837938355
D1,Dataset 1,17,ZIP--ZINB,8,-2.8036272987022692
D1,Dataset 1,17,ZIP--ZINB,9,0.38223828111052793
D1,Dataset 1,18,ZIP--ZINB,0,0.8181195808595179
