Scenario,Dataset,Rep,elapsed_sec
D2,Dataset 2,60,258.49353075027466
D2,Dataset 2,61,189.07415962219238
D2,Dataset 2,59,299.75032448768616
D2,Dataset 2,62,208.59114480018616
D2,Dataset 2,63,215.0986943244934
D2,Dataset 2,64,269.2446894645691
D2,Dataset 2,67,204.8823049068451
D2,Dataset 2,68,222.3477942943573
D2,Dataset 2,65,316.67163586616516
D2,Dataset 2,69,222.78119921684265
D2,Dataset 2,66,298.96878695487976
D2,Dataset 2,70,211.4566559791565
D2,Dataset 2,72,227.94444060325623
D2,Dataset 2,75,187.26633071899414
D2,Dataset 2,76,179.05372095108032
D2,Dataset 2,74,229.99111914634705
D2,Dataset 2,73,267.4109938144684
D2,Dataset 2,71,343.16281747817993
D2,Dataset 2,77,213.41883516311646
D2,Dataset 2,78,221.59642958641052
D2,Dataset 2,79,225.43471002578735
D2,Dataset 2,80,222.8745687007904
D2,Dataset 2,81,227.45609879493713
D2,Dataset 2,84,206.26221704483032
D2,Dataset 2,83,215.50296640396118
D2,Dataset 2,82,228.0670518875122
D2,Dataset 2,85,204.1955578327179
D2,Dataset 2,86,219.31220984458923
D2,Dataset 2,88,213.77814555168152
D2,Dataset 2,87,234.64695358276367
D2,Dataset 2,90,201.17923283576965
D2,Dataset 2,89,230.44130754470825
D2,Dataset 2,91,234.18808341026306
D2,Dataset 2,92,237.36074137687683
D2,Dataset 2,93,222.57085585594177
D2,Dataset 2,94,216.17381978034973
D2,Dataset 2,96,206.95182967185974
D2,Dataset 2,98,216.18405103683472
D2,Dataset 2,97,229.15943312644958
D2,Dataset 2,95,255.39278101921082
D2,Dataset 2,99,236.97029972076416
D3,Dataset 3,0,245.82578039169312
D3,Dataset 3,1,268.98339653015137
D3,Dataset 3,2,268.4040415287018
D3,Dataset 3,6,248.46653389930725
D3,Dataset 3,4,266.49491024017334
D3,Dataset 3,3,293.8406879901886
D3,Dataset 3,5,284.60025215148926
D3,Dataset 3,7,272.59715938568115
D3,Dataset 3,8,279.3760871887207
D3,Dataset 3,9,281.9922001361847
D3,Dataset 3,10,257.19187784194946
D3,Dataset 3,11,265.8640685081482
D3,Dataset 3,13,268.6036672592163
D3,Dataset 3,12,281.88973116874695
D3,Dataset 3,14,280.6543710231781
D3,Dataset 3,16,256.43466567993164
D3,Dataset 3,15,288.5700297355652
D3,Dataset 3,18,262.92183232307434
D3,Dataset 3,17,274.12790274620056
D3,Dataset 3,19,293.09972167015076
D3,Dataset 3,21,284.7601149082184
D3,Dataset 3,20,294.8205497264862
D3,Dataset 3,25,235.11528658866882
D3,Dataset 3,23,286.43402671813965
D3,Dataset 3,24,285.2527177333832
D3,Dataset 3,22,332.14232444763184
D3,Dataset 3,26,268.9003059864044
D3,Dataset 3,29,248.68101334571838
D3,Dataset 3,27,266.22097969055176
D3,Dataset 3,28,260.8312397003174
D3,Dataset 3,30,254.57094812393188
D3,Dataset 3,31,265.00682520866394
D3,Dataset 3,32,279.40452456474304
D3,Dataset 3,33,286.39289903640747
D3,Dataset 3,34,298.770037651062
D3,Dataset 3,36,273.7575578689575
D3,Dataset 3,37,273.09667682647705
D3,Dataset 3,35,284.90552496910095
D3,Dataset 3,38,269.0150487422943
D3,Dataset 3,39,258.9216854572296
D3,Dataset 3,40,275.31370091438293
D3,Dataset 3,41,294.0059530735016
D3,Dataset 3,42,284.35739850997925
D3,Dataset 3,44,273.4674229621887
D3,Dataset 3,47,268.8422815799713
D3,Dataset 3,46,276.298376083374
D3,Dataset 3,43,333.0286958217621
D3,Dataset 3,45,334.6093690395355
D3,Dataset 3,48,271.73332929611206
D3,Dataset 3,49,291.70060992240906
D3,Dataset 3,50,290.91116976737976
D3,Dataset 3,51,284.8306493759155
D3,Dataset 3,53,264.75724816322327
D3,Dataset 3,55,256.7656910419464
D3,Dataset 3,52,281.6163465976715
D3,Dataset 3,54,292.8832018375397
D3,Dataset 3,56,268.0708327293396
D3,Dataset 3,57,274.3739478588104
D3,Dataset 3,58,275.96735858917236
D3,Dataset 3,61,244.53541898727417
D3,Dataset 3,62,263.23816776275635
D3,Dataset 3,60,281.2523555755615
D3,Dataset 3,59,305.8217132091522
D3,Dataset 3,63,258.1098966598511
D3,Dataset 3,64,285.11745500564575
D3,Dataset 3,65,277.23968529701233
D3,Dataset 3,66,295.64876413345337
D3,Dataset 3,67,277.3091764450073
D3,Dataset 3,68,259.7769351005554
D3,Dataset 3,70,262.5527310371399
D3,Dataset 3,69,268.2023973464966
D3,Dataset 3,71,291.6629252433777
D3,Dataset 3,72,282.3361568450928
D3,Dataset 3,73,295.15713477134705
D3,Dataset 3,74,315.1736488342285
D3,Dataset 3,75,267.2297296524048
D3,Dataset 3,76,269.1215853691101
D3,Dataset 3,77,281.7036509513855
D3,Dataset 3,78,286.6174650192261
D3,Dataset 3,80,251.35938382148743
D3,Dataset 3,79,290.4673202037811
D3,Dataset 3,81,326.80483293533325
D3,Dataset 3,82,315.33411049842834
D3,Dataset 3,85,234.54306960105896
D3,Dataset 3,84,253.39066123962402
D3,Dataset 3,86,262.2174942493439
D3,Dataset 3,83,322.89104437828064
D3,Dataset 3,87,276.14685344696045
D3,Dataset 3,88,298.37515139579773
D3,Dataset 3,89,275.7785346508026
D3,Dataset 3,91,253.71108484268188
D3,Dataset 3,90,282.72373604774475
D3,Dataset 3,92,270.707923412323
D3,Dataset 3,93,295.50470304489136
D3,Dataset 3,95,258.9988715648651
D3,Dataset 3,94,270.1142690181732
D3,Dataset 3,96,277.9143736362457
D3,Dataset 3,97,255.7833755016327
D3,Dataset 3,99,247.29122066497803
D4,Dataset 4,0,269.5418903827667
D3,Dataset 3,98,294.4878704547882
D4,Dataset 4,2,255.72561311721802
D4,Dataset 4,3,278.5000145435333
D4,Dataset 4,1,283.2368447780609
D4,Dataset 4,4,255.94245672225952
D4,Dataset 4,5,281.2231900691986
D4,Dataset 4,6,266.30058097839355
D4,Dataset 4,7,283.48639822006226
D4,Dataset 4,8,284.0718994140625
D4,Dataset 4,9,260.25096011161804
D4,Dataset 4,10,275.53578519821167
D4,Dataset 4,11,282.9136116504669
D4,Dataset 4,12,283.78432178497314
D4,Dataset 4,13,277.2928342819214
D4,Dataset 4,15,252.77772998809814
D4,Dataset 4,14,300.5559866428375
D4,Dataset 4,16,258.6073989868164
D4,Dataset 4,17,259.12612795829773
D4,Dataset 4,19,257.0538020133972
D4,Dataset 4,18,271.9359829425812
D4,Dataset 4,20,279.2981185913086
D4,Dataset 4,21,256.1077585220337
D4,Dataset 4,22,247.8241183757782
D4,Dataset 4,24,263.6383512020111
D4,Dataset 4,23,272.9375379085541
D4,Dataset 4,25,274.65360474586487
D4,Dataset 4,26,254.0916657447815
D4,Dataset 4,27,303.9991819858551
D4,Dataset 4,28,266.11043334007263
D4,Dataset 4,29,261.8423614501953
D4,Dataset 4,30,268.0284061431885
D4,Dataset 4,32,282.7712607383728
D4,Dataset 4,31,291.8436903953552
D4,Dataset 4,33,268.1457645893097
D4,Dataset 4,34,258.20628690719604
D4,Dataset 4,35,275.76606702804565
D4,Dataset 4,37,235.8848843574524
D4,Dataset 4,36,303.39876413345337
D4,Dataset 4,38,245.6668450832367
D4,Dataset 4,41,255.34121322631836
D4,Dataset 4,40,266.84315633773804
D4,Dataset 4,39,306.94744420051575
D4,Dataset 4,42,280.58902406692505
D4,Dataset 4,43,259.2719748020172
D4,Dataset 4,44,267.1685585975647
D4,Dataset 4,45,289.58014154434204
D4,Dataset 4,46,269.78715920448303
D4,Dataset 4,47,241.46932339668274
D4,Dataset 4,48,301.2546503543854
D4,Dataset 4,50,268.62147092819214
D4,Dataset 4,49,289.1959476470947
D4,Dataset 4,51,265.7922832965851
D4,Dataset 4,53,274.41110730171204
D4,Dataset 4,52,298.7902863025665
D4,Dataset 4,54,281.73899602890015
D4,Dataset 4,55,268.8897154331207
D4,Dataset 4,56,270.81213188171387
D4,Dataset 4,57,284.460816860199
D4,Dataset 4,58,294.07876539230347
D4,Dataset 4,59,263.52678966522217
D4,Dataset 4,60,250.88400530815125
D4,Dataset 4,61,257.26566886901855
D4,Dataset 4,62,271.62912464141846
D4,Dataset 4,63,258.4699981212616
D4,Dataset 4,64,289.0123288631439
D4,Dataset 4,66,260.89467692375183
D4,Dataset 4,65,294.0937056541443
D4,Dataset 4,67,303.5597999095917
D4,Dataset 4,68,258.8022971153259
D4,Dataset 4,69,294.8758165836334
D4,Dataset 4,71,242.71056389808655
D4,Dataset 4,70,267.02512192726135
D4,Dataset 4,74,245.68502688407898
D4,Dataset 4,73,253.17639446258545
D4,Dataset 4,72,284.34070777893066
D4,Dataset 4,76,249.87849497795105
D4,Dataset 4,75,289.6932804584503
D4,Dataset 4,78,259.4942443370819
D4,Dataset 4,79,261.44013833999634
D4,Dataset 4,77,301.1226143836975
D4,Dataset 4,81,236.4873812198639
D4,Dataset 4,80,272.05895161628723
D4,Dataset 4,82,279.74044728279114
D4,Dataset 4,83,290.93922185897827
D4,Dataset 4,84,276.8191878795624
D4,Dataset 4,85,270.83941745758057
D4,Dataset 4,87,260.8247985839844
D4,Dataset 4,86,276.0817255973816
D4,Dataset 4,89,254.2646472454071
D4,Dataset 4,88,292.0955858230591
D4,Dataset 4,90,285.4426369667053
D4,Dataset 4,91,258.507196187973
D4,Dataset 4,92,261.3408200740814
D4,Dataset 4,95,246.49989342689514
D4,Dataset 4,94,262.2271053791046
D4,Dataset 4,93,287.67111349105835
D4,Dataset 4,97,276.74266743659973
D4,Dataset 4,96,305.28453731536865
D4,Dataset 4,98,269.37687397003174
D4,Dataset 4,99,275.8380949497223
