Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,5,P+NB,ZIP--ZINB,-44929.79442743042,-44289.75527645245,1280.0783019559312,nan,2,2.8275144224741004e-279,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,ZIP,ZIP--ZINB,-71710.74867484166,-44289.75527645245,54841.98679677841,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,ZINB,ZIP--ZINB,-45549.69716019921,-44289.75527645245,2519.8837674935203,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,Z+P+NB,ZIP--ZINB,-44350.74864599287,-44289.75527645245,121.98673908083583,2,0,3.242770219201653e-27,True,chi²(df=2)
D1,Dataset 1,6,Poisson,ZIP--ZINB,-100545.0065191003,-44968.433022925194,111153.1469923502,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,NB,ZIP--ZINB,-46892.81839118681,-44968.433022925194,3848.7707365232345,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,P+NB,ZIP--ZINB,-45568.038320975036,-44968.433022925194,1199.210596099685,nan,2,1.028530477216096e-261,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,ZIP,ZIP--ZINB,-72287.38698340478,-44968.433022925194,54637.90792095917,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,ZINB,ZIP--ZINB,-46166.03718335497,-44968.433022925194,2395.2083208595577,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,Z+P+NB,ZIP--ZINB,-45031.36059776198,-44968.433022925194,125.85514967357449,2,0,4.687070531001009e-28,True,chi²(df=2)
D1,Dataset 1,8,Poisson,ZIP--ZINB,-100823.23543659376,-44988.54599386036,111669.37888546681,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,NB,ZIP--ZINB,-46951.047304350126,-44988.54599386036,3925.0026209795324,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,P+NB,ZIP--ZINB,-45594.56148273834,-44988.54599386036,1212.0309777559596,nan,2,1.691240797746854e-264,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,ZIP,ZIP--ZINB,-72358.21859753379,-44988.54599386036,54739.345207346865,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,ZINB,ZIP--ZINB,-46214.33791506361,-44988.54599386036,2451.5838424065005,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,Z+P+NB,ZIP--ZINB,-45060.14107715403,-44988.54599386036,143.19016658734472,2,0,8.065854697851388e-32,True,chi²(df=2)
D1,Dataset 1,11,Poisson,ZIP--ZINB,-97045.55338575089,-44571.93321148969,104947.24034852239,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,NB,ZIP--ZINB,-46577.039551163456,-44571.93321148969,4010.2126793475327,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,P+NB,ZIP--ZINB,-45148.609660103146,-44571.93321148969,1153.3528972269123,nan,2,9.342550839793927e-252,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,ZIP,ZIP--ZINB,-70153.56378011056,-44571.93321148969,51163.261137241745,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,ZINB,ZIP--ZINB,-45850.39637395102,-44571.93321148969,2556.926324922664,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,Z+P+NB,ZIP--ZINB,-44633.20257690667,-44571.93321148969,122.53873083395592,2,0,2.4606661202057573e-27,True,chi²(df=2)
D1,Dataset 1,9,Poisson,ZIP--ZINB,-99586.78529849339,-44569.08395014123,110035.40269670432,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,NB,ZIP--ZINB,-46518.838580788346,-44569.08395014123,3899.509261294239,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,P+NB,ZIP--ZINB,-45192.8784287686,-44569.08395014123,1247.5889572547458,nan,2,3.210817805196376e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,ZIP,ZIP--ZINB,-71444.0709873222,-44569.08395014123,53749.97407436193,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,ZINB,ZIP--ZINB,-45779.75522186211,-44569.08395014123,2421.342543441773,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,Z+P+NB,ZIP--ZINB,-44638.09766385026,-44569.08395014123,138.02742741807015,2,0,1.0659208578134465e-30,True,chi²(df=2)
D1,Dataset 1,14,Poisson,ZIP--ZINB,-95707.98335551051,-43888.165475120404,103639.63576078022,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,NB,ZIP--ZINB,-45952.753005920764,-43888.165475120404,4129.175061600719,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,P+NB,ZIP--ZINB,-44594.0830342758,-43888.165475120404,1411.835118310788,nan,2,6.916562063652322e-308,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,ZIP,ZIP--ZINB,-68341.60361390302,-43888.165475120404,48906.87627756523,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,ZINB,ZIP--ZINB,-45116.79997285378,-43888.165475120404,2457.2689954667585,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,Z+P+NB,ZIP--ZINB,-43964.28451465542,-43888.165475120404,152.2380790700263,2,0,8.748249531247365e-34,True,chi²(df=2)
D1,Dataset 1,10,Poisson,ZIP--ZINB,-95916.87507710207,-44290.171762293,103253.40662961814,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,NB,ZIP--ZINB,-46280.54218753637,-44290.171762293,3980.7408504867344,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,P+NB,ZIP--ZINB,-44879.93792334636,-44290.171762293,1179.5323221067229,nan,2,1.9295612577770355e-257,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,ZIP,ZIP--ZINB,-69689.07015033944,-44290.171762293,50797.79677609287,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,ZINB,ZIP--ZINB,-45552.27010331585,-44290.171762293,2524.196682045702,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,Z+P+NB,ZIP--ZINB,-44352.9818692328,-44290.171762293,125.62021387959248,2,0,5.271292897387794e-28,True,chi²(df=2)
D1,Dataset 1,12,Poisson,ZIP--ZINB,-99720.11058706316,-44710.415420043,110019.39033404032,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,NB,ZIP--ZINB,-46767.43376722405,-44710.415420043,4114.036694362105,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,P+NB,ZIP--ZINB,-45360.027692728676,-44710.415420043,1299.224545371355,nan,2,1.9665910051104747e-283,True,chi-bar² heuristic; k=2
