Scenario,Dataset,Rep,n,mean,sd,q01,q05,q50,q95,q99
D3,Dataset 3,1,20000,0.0012102661166751235,1.0008862974462487,-2.352059317908712,-1.6453257904112852,0.0033999812903161833,1.6638552983583097,2.326661660978498
D3,Dataset 3,0,20000,-0.0061390808317091355,1.0068668232007647,-2.379737300511391,-1.668642686914944,-0.0034912279816260764,1.6430317041127953,2.336907135972046
