Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,1,D3,P+NB,identity,-32535.337558725318,65082.675117450635,65130.09604276585,20000,6,True,37,1590.4658814163865,not_computed,nan,0,Optimization terminated successfully,35.61331272125244
D3,Dataset 3,1,D3,Z+P+NB,identity,-29119.77835010917,58255.55670021834,58318.784600638624,20000,8,True,30,0.00023683286154388417,not_computed,nan,0,Optimization terminated successfully,36.24928307533264
D3,Dataset 3,1,D3,ZIP--ZINB,identity,-29104.272810616796,58228.54562123359,58307.58049675895,20000,10,True,15,7.679469836788656e-05,inverse,3.634647503961107,10,Optimization terminated successfully,62.63105773925781
D3,Dataset 3,8,D3,Poisson,identity,-72033.47016019824,144070.94032039648,144086.74729550155,20000,2,True,14,13045.391074455942,not_computed,nan,0,Optimization terminated successfully,1.9462168216705322
D3,Dataset 3,8,D3,NB,identity,-33177.58280166739,66361.16560333478,66384.87606599239,20000,3,True,14,3031.564991968158,not_computed,nan,0,Optimization terminated successfully,5.938607215881348
D3,Dataset 3,8,D3,ZIP,identity,-41934.840674573716,83877.68134914743,83909.29529935757,20000,4,True,14,8.258610736699978e-05,not_computed,nan,0,Optimization terminated successfully,6.2807090282440186
D3,Dataset 3,8,D3,ZINB,identity,-29690.99214967585,59391.9842993517,59431.501737114384,20000,5,True,14,0.00010369155876494007,not_computed,nan,0,Optimization terminated successfully,10.610635757446289
D3,Dataset 3,8,D3,P+NB,identity,-32459.766630848346,64931.53326169669,64978.95418701191,20000,6,True,32,1522.8941256318737,not_computed,nan,0,Optimization terminated successfully,25.121240615844727
D3,Dataset 3,8,D3,Z+P+NB,identity,-29148.027355821287,58312.05471164257,58375.28261206286,20000,8,True,28,0.00017489113198077,not_computed,nan,0,Optimization terminated successfully,39.295154333114624
D3,Dataset 3,8,D3,ZIP--ZINB,identity,-29125.29583847476,58270.59167694952,58349.62655247488,20000,10,True,16,0.00021414228300292715,inverse,4.437410624942379,10,Optimization terminated successfully,74.9894015789032
D3,Dataset 3,14,D3,Poisson,identity,-72813.64806621942,145631.29613243885,145647.10310754392,20000,2,True,15,14518.961407129504,not_computed,nan,0,Optimization terminated successfully,1.3611066341400146
D3,Dataset 3,14,D3,NB,identity,-33213.17461675364,66432.34923350728,66456.05969616488,20000,3,True,13,4188.613570551926,not_computed,nan,0,Optimization terminated successfully,7.642626523971558
D3,Dataset 3,14,D3,ZIP,identity,-42644.225769030774,85296.45153806155,85328.06548827169,20000,4,True,12,0.00010955923365407738,not_computed,nan,0,Optimization terminated successfully,7.809218406677246
D3,Dataset 3,14,D3,ZINB,identity,-29769.26480034463,59548.52960068926,59588.04703845194,20000,5,True,17,2.699254722113298e-05,not_computed,nan,0,Optimization terminated successfully,12.258442640304565
D3,Dataset 3,14,D3,P+NB,identity,-32499.739826885223,65011.479653770446,65058.90057908566,20000,6,True,31,2378.364202107923,not_computed,nan,0,Optimization terminated successfully,22.55315089225769
D3,Dataset 3,14,D3,Z+P+NB,identity,-29206.47983820044,58428.95967640088,58492.18757682117,20000,8,True,13,9.240734088322711e-05,not_computed,nan,0,Optimization terminated successfully,43.70310091972351
D3,Dataset 3,14,D3,ZIP--ZINB,identity,-29184.693149054692,58389.386298109384,58468.42117363474,20000,10,True,16,0.00018157770757244035,inverse,2.6826633682213563,10,Optimization terminated successfully,71.83796691894531
D3,Dataset 3,4,D3,Poisson,identity,-73944.61646825753,147893.23293651507,147909.03991162014,20000,2,True,17,9119.625296656208,not_computed,nan,0,Optimization terminated successfully,1.65016508102417
D3,Dataset 3,4,D3,NB,identity,-33182.36341412659,66370.72682825317,66394.43729091078,20000,3,True,19,0.0029186016004368043,not_computed,nan,0,Optimization terminated successfully,5.742264747619629
D3,Dataset 3,4,D3,ZIP,identity,-42918.06104681498,85844.12209362997,85875.73604384011,20000,4,True,15,2.643129835938618e-05,not_computed,nan,0,Optimization terminated successfully,6.2545552253723145
D3,Dataset 3,4,D3,ZINB,identity,-29711.30631446123,59432.61262892246,59472.130066685146,20000,5,True,19,1.6017854974181844e-05,not_computed,nan,0,Optimization terminated successfully,15.760577201843262
D3,Dataset 3,4,D3,P+NB,identity,-32400.967984759947,64813.935969519895,64861.35689483511,20000,6,True,24,1264.0789911473603,not_computed,nan,0,Optimization terminated successfully,23.81858205795288
D3,Dataset 3,4,D3,Z+P+NB,identity,-29104.974017836514,58225.94803567303,58289.175936093314,20000,8,True,23,0.00013410775550932487,not_computed,nan,0,Optimization terminated successfully,36.680763721466064
D3,Dataset 3,4,D3,ZIP--ZINB,identity,-29092.924175486118,58205.848350972235,58284.88322649759,20000,10,True,17,0.0001755385649493714,inverse,2.5621160014209226,10,Optimization terminated successfully,78.23850440979004
