Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,4,gamma_nb[1],$\gamma_{21}$,2.5,2.4872624213849543
D3,Dataset 3,11,beta_z[0],$\beta_{10}$,6.6,6.505200991202003
D3,Dataset 3,11,beta_z[1],$\beta_{11}$,-2.1,-2.061718370885979
D3,Dataset 3,11,gamma_z[0],$\gamma_{10}$,-2.5,-2.18195118416183
D3,Dataset 3,11,gamma_z[1],$\gamma_{11}$,2.0,1.9138941800626563
D3,Dataset 3,11,beta_nb[0],$\beta_{20}$,8.0,8.146826468305985
D3,Dataset 3,11,beta_nb[1],$\beta_{21}$,2.5,2.5719464615696337
D3,Dataset 3,11,gamma_nb[0],$\gamma_{20}$,-2.5,-2.5567396546344696
D3,Dataset 3,11,gamma_nb[1],$\gamma_{21}$,2.5,2.4254661445857253
D3,Dataset 3,7,beta_z[0],$\beta_{10}$,6.6,6.4468458931211625
D3,Dataset 3,7,beta_z[1],$\beta_{11}$,-2.1,-2.1015901359862346
D3,Dataset 3,7,gamma_z[0],$\gamma_{10}$,-2.5,-2.1202657795359805
D3,Dataset 3,7,gamma_z[1],$\gamma_{11}$,2.0,1.8712216586124841
D3,Dataset 3,7,beta_nb[0],$\beta_{20}$,8.0,8.169268288465299
D3,Dataset 3,7,beta_nb[1],$\beta_{21}$,2.5,2.6162179661588776
D3,Dataset 3,7,gamma_nb[0],$\gamma_{20}$,-2.5,-2.6721210965737323
D3,Dataset 3,7,gamma_nb[1],$\gamma_{21}$,2.5,2.549529844592387
D3,Dataset 3,2,beta_z[0],$\beta_{10}$,6.6,6.54677640279764
D3,Dataset 3,2,beta_z[1],$\beta_{11}$,-2.1,-2.071416907196029
D3,Dataset 3,2,gamma_z[0],$\gamma_{10}$,-2.5,-2.4476409349333244
D3,Dataset 3,2,gamma_z[1],$\gamma_{11}$,2.0,2.006386442792605
D3,Dataset 3,2,beta_nb[0],$\beta_{20}$,8.0,8.104881226527572
D3,Dataset 3,2,beta_nb[1],$\beta_{21}$,2.5,2.455713548776092
D3,Dataset 3,2,gamma_nb[0],$\gamma_{20}$,-2.5,-2.610478165633935
D3,Dataset 3,2,gamma_nb[1],$\gamma_{21}$,2.5,2.5877717627135692
D3,Dataset 3,12,beta_z[0],$\beta_{10}$,6.6,6.7865153619214285
D3,Dataset 3,12,beta_z[1],$\beta_{11}$,-2.1,-2.2014168569342583
D3,Dataset 3,12,gamma_z[0],$\gamma_{10}$,-2.5,-2.4096439832713346
D3,Dataset 3,12,gamma_z[1],$\gamma_{11}$,2.0,2.0263149832924996
D3,Dataset 3,12,beta_nb[0],$\beta_{20}$,8.0,8.189298206990612
D3,Dataset 3,12,beta_nb[1],$\beta_{21}$,2.5,2.2240760666379336
D3,Dataset 3,12,gamma_nb[0],$\gamma_{20}$,-2.5,-2.6493214448108224
D3,Dataset 3,12,gamma_nb[1],$\gamma_{21}$,2.5,2.544657416893104
D3,Dataset 3,0,beta_z[0],$\beta_{10}$,6.6,6.616931008985661
D3,Dataset 3,0,beta_z[1],$\beta_{11}$,-2.1,-2.0952128460766617
D3,Dataset 3,0,gamma_z[0],$\gamma_{10}$,-2.5,-2.426339219893865
D3,Dataset 3,0,gamma_z[1],$\gamma_{11}$,2.0,1.907466855238953
D3,Dataset 3,0,beta_nb[0],$\beta_{20}$,8.0,8.138900612738668
D3,Dataset 3,0,beta_nb[1],$\beta_{21}$,2.5,3.073135626377431
D3,Dataset 3,0,gamma_nb[0],$\gamma_{20}$,-2.5,-2.3086673113670204
D3,Dataset 3,0,gamma_nb[1],$\gamma_{21}$,2.5,2.376265028473355
D3,Dataset 3,10,beta_z[0],$\beta_{10}$,6.6,6.460385634664729
D3,Dataset 3,10,beta_z[1],$\beta_{11}$,-2.1,-2.0076452875353947
D3,Dataset 3,10,gamma_z[0],$\gamma_{10}$,-2.5,-2.5930848890285714
D3,Dataset 3,10,gamma_z[1],$\gamma_{11}$,2.0,1.9982021890101211
D3,Dataset 3,10,beta_nb[0],$\beta_{20}$,8.0,7.800748945462348
D3,Dataset 3,10,beta_nb[1],$\beta_{21}$,2.5,2.9493176598897475
D3,Dataset 3,10,gamma_nb[0],$\gamma_{20}$,-2.5,-2.451307444768651
D3,Dataset 3,10,gamma_nb[1],$\gamma_{21}$,2.5,2.580209291243856
D3,Dataset 3,9,beta_z[0],$\beta_{10}$,6.6,6.551597670136087
D3,Dataset 3,9,beta_z[1],$\beta_{11}$,-2.1,-2.0416643690485765
D3,Dataset 3,9,gamma_z[0],$\gamma_{10}$,-2.5,-3.005984438451661
D3,Dataset 3,9,gamma_z[1],$\gamma_{11}$,2.0,2.234945488773563
D3,Dataset 3,9,beta_nb[0],$\beta_{20}$,8.0,8.100259581725506
D3,Dataset 3,9,beta_nb[1],$\beta_{21}$,2.5,2.472807915529531
D3,Dataset 3,9,gamma_nb[0],$\gamma_{20}$,-2.5,-2.3655554181959277
D3,Dataset 3,9,gamma_nb[1],$\gamma_{21}$,2.5,2.47652246110576
D3,Dataset 3,25,beta_z[0],$\beta_{10}$,6.6,6.833595408613604
D3,Dataset 3,25,beta_z[1],$\beta_{11}$,-2.1,-2.211769324071055
D3,Dataset 3,25,gamma_z[0],$\gamma_{10}$,-2.5,-2.5391446117555585
D3,Dataset 3,25,gamma_z[1],$\gamma_{11}$,2.0,1.985462986769145
D3,Dataset 3,25,beta_nb[0],$\beta_{20}$,8.0,7.613225409653562
D3,Dataset 3,25,beta_nb[1],$\beta_{21}$,2.5,2.784291165663187
D3,Dataset 3,25,gamma_nb[0],$\gamma_{20}$,-2.5,-2.5396016899305427
D3,Dataset 3,25,gamma_nb[1],$\gamma_{21}$,2.5,2.5278610113650624
D3,Dataset 3,15,beta_z[0],$\beta_{10}$,6.6,6.783249908148808
D3,Dataset 3,15,beta_z[1],$\beta_{11}$,-2.1,-2.2079180725643117
D3,Dataset 3,15,gamma_z[0],$\gamma_{10}$,-2.5,-2.3491583128362743
D3,Dataset 3,15,gamma_z[1],$\gamma_{11}$,2.0,1.9767829871153018
D3,Dataset 3,15,beta_nb[0],$\beta_{20}$,8.0,8.276056657645258
D3,Dataset 3,15,beta_nb[1],$\beta_{21}$,2.5,1.5471941702672505
D3,Dataset 3,15,gamma_nb[0],$\gamma_{20}$,-2.5,-2.7291434349612733
D3,Dataset 3,15,gamma_nb[1],$\gamma_{21}$,2.5,2.5937358571110156
D3,Dataset 3,16,beta_z[0],$\beta_{10}$,6.6,6.692609075078646
D3,Dataset 3,16,beta_z[1],$\beta_{11}$,-2.1,-2.1927144739657045
D3,Dataset 3,16,gamma_z[0],$\gamma_{10}$,-2.5,-2.1939453842257173
D3,Dataset 3,16,gamma_z[1],$\gamma_{11}$,2.0,1.9597519775046885
D3,Dataset 3,16,beta_nb[0],$\beta_{20}$,8.0,7.736962911022935
D3,Dataset 3,16,beta_nb[1],$\beta_{21}$,2.5,2.2603871925441275
D3,Dataset 3,16,gamma_nb[0],$\gamma_{20}$,-2.5,-2.807807184164312
D3,Dataset 3,16,gamma_nb[1],$\gamma_{21}$,2.5,2.6128230383280537
D3,Dataset 3,17,beta_z[0],$\beta_{10}$,6.6,6.683077402116663
D3,Dataset 3,17,beta_z[1],$\beta_{11}$,-2.1,-2.1139021726227583
