Scenario,Dataset,Rep,Model,Index,Value
D3,Dataset 3,7,ZIP--ZINB,5,8.169268288465299
D3,Dataset 3,7,ZIP--ZINB,6,2.6162179661588776
D3,Dataset 3,7,ZIP--ZINB,7,-2.6721210965737323
D3,Dataset 3,7,ZIP--ZINB,8,2.549529844592387
D3,Dataset 3,7,ZIP--ZINB,9,-0.05651276197272088
D3,Dataset 3,2,ZIP--ZINB,0,-0.3642634450984822
D3,Dataset 3,2,ZIP--ZINB,1,6.54677640279764
D3,Dataset 3,2,ZIP--ZINB,2,-2.071416907196029
D3,Dataset 3,2,ZIP--ZINB,3,-2.4476409349333244
D3,Dataset 3,2,ZIP--ZINB,4,2.006386442792605
D3,Dataset 3,2,ZIP--ZINB,5,8.104881226527572
D3,Dataset 3,2,ZIP--ZINB,6,2.455713548776092
D3,Dataset 3,2,ZIP--ZINB,7,-2.610478165633935
D3,Dataset 3,2,ZIP--ZINB,8,2.5877717627135692
D3,Dataset 3,2,ZIP--ZINB,9,-0.06773808137856116
D3,Dataset 3,12,ZIP--ZINB,0,-0.32953162205162795
D3,Dataset 3,12,ZIP--ZINB,1,6.7865153619214285
D3,Dataset 3,12,ZIP--ZINB,2,-2.2014168569342583
D3,Dataset 3,12,ZIP--ZINB,3,-2.4096439832713346
D3,Dataset 3,12,ZIP--ZINB,4,2.0263149832924996
D3,Dataset 3,12,ZIP--ZINB,5,8.189298206990612
D3,Dataset 3,12,ZIP--ZINB,6,2.2240760666379336
D3,Dataset 3,12,ZIP--ZINB,7,-2.6493214448108224
D3,Dataset 3,12,ZIP--ZINB,8,2.544657416893104
D3,Dataset 3,12,ZIP--ZINB,9,0.06646991721394181
D3,Dataset 3,0,ZIP--ZINB,0,-0.36926197223258
D3,Dataset 3,0,ZIP--ZINB,1,6.616931008985661
D3,Dataset 3,0,ZIP--ZINB,2,-2.0952128460766617
D3,Dataset 3,0,ZIP--ZINB,3,-2.426339219893865
D3,Dataset 3,0,ZIP--ZINB,4,1.907466855238953
D3,Dataset 3,0,ZIP--ZINB,5,8.138900612738668
D3,Dataset 3,0,ZIP--ZINB,6,3.073135626377431
D3,Dataset 3,0,ZIP--ZINB,7,-2.3086673113670204
D3,Dataset 3,0,ZIP--ZINB,8,2.376265028473355
D3,Dataset 3,0,ZIP--ZINB,9,-0.07498099863641314
D3,Dataset 3,10,ZIP--ZINB,0,-0.5036719376226119
D3,Dataset 3,10,ZIP--ZINB,1,6.460385634664729
D3,Dataset 3,10,ZIP--ZINB,2,-2.0076452875353947
D3,Dataset 3,10,ZIP--ZINB,3,-2.5930848890285714
D3,Dataset 3,10,ZIP--ZINB,4,1.9982021890101211
D3,Dataset 3,10,ZIP--ZINB,5,7.800748945462348
D3,Dataset 3,10,ZIP--ZINB,6,2.9493176598897475
D3,Dataset 3,10,ZIP--ZINB,7,-2.451307444768651
D3,Dataset 3,10,ZIP--ZINB,8,2.580209291243856
D3,Dataset 3,10,ZIP--ZINB,9,-0.10295743668880979
D3,Dataset 3,9,ZIP--ZINB,0,-0.560488158973426
D3,Dataset 3,9,ZIP--ZINB,1,6.551597670136087
D3,Dataset 3,9,ZIP--ZINB,2,-2.0416643690485765
D3,Dataset 3,9,ZIP--ZINB,3,-3.005984438451661
D3,Dataset 3,9,ZIP--ZINB,4,2.234945488773563
D3,Dataset 3,9,ZIP--ZINB,5,8.100259581725506
D3,Dataset 3,9,ZIP--ZINB,6,2.472807915529531
D3,Dataset 3,9,ZIP--ZINB,7,-2.3655554181959277
D3,Dataset 3,9,ZIP--ZINB,8,2.47652246110576
D3,Dataset 3,9,ZIP--ZINB,9,0.06088019998533483
D3,Dataset 3,25,ZIP--ZINB,0,-0.4461693319378198
D3,Dataset 3,25,ZIP--ZINB,1,6.833595408613604
D3,Dataset 3,25,ZIP--ZINB,2,-2.211769324071055
D3,Dataset 3,25,ZIP--ZINB,3,-2.5391446117555585
D3,Dataset 3,25,ZIP--ZINB,4,1.985462986769145
D3,Dataset 3,25,ZIP--ZINB,5,7.613225409653562
D3,Dataset 3,25,ZIP--ZINB,6,2.784291165663187
D3,Dataset 3,25,ZIP--ZINB,7,-2.5396016899305427
D3,Dataset 3,25,ZIP--ZINB,8,2.5278610113650624
D3,Dataset 3,25,ZIP--ZINB,9,0.04266674606112893
D3,Dataset 3,15,ZIP--ZINB,0,-0.42159421639710115
D3,Dataset 3,15,ZIP--ZINB,1,6.783249908148808
D3,Dataset 3,15,ZIP--ZINB,2,-2.2079180725643117
D3,Dataset 3,15,ZIP--ZINB,3,-2.3491583128362743
D3,Dataset 3,15,ZIP--ZINB,4,1.9767829871153018
D3,Dataset 3,15,ZIP--ZINB,5,8.276056657645258
D3,Dataset 3,15,ZIP--ZINB,6,1.5471941702672505
D3,Dataset 3,15,ZIP--ZINB,7,-2.7291434349612733
D3,Dataset 3,15,ZIP--ZINB,8,2.5937358571110156
D3,Dataset 3,15,ZIP--ZINB,9,0.0949454576632727
D3,Dataset 3,16,ZIP--ZINB,0,-0.2661278944329058
D3,Dataset 3,16,ZIP--ZINB,1,6.692609075078646
D3,Dataset 3,16,ZIP--ZINB,2,-2.1927144739657045
D3,Dataset 3,16,ZIP--ZINB,3,-2.1939453842257173
D3,Dataset 3,16,ZIP--ZINB,4,1.9597519775046885
D3,Dataset 3,16,ZIP--ZINB,5,7.736962911022935
D3,Dataset 3,16,ZIP--ZINB,6,2.2603871925441275
D3,Dataset 3,16,ZIP--ZINB,7,-2.807807184164312
D3,Dataset 3,16,ZIP--ZINB,8,2.6128230383280537
D3,Dataset 3,16,ZIP--ZINB,9,0.07438064912655382
D3,Dataset 3,17,ZIP--ZINB,0,-0.44714738072997234
D3,Dataset 3,17,ZIP--ZINB,1,6.683077402116663
D3,Dataset 3,17,ZIP--ZINB,2,-2.1139021726227583
D3,Dataset 3,17,ZIP--ZINB,3,-2.5223643219711573
D3,Dataset 3,17,ZIP--ZINB,4,2.022669070968659
D3,Dataset 3,17,ZIP--ZINB,5,7.9245239937759715
D3,Dataset 3,17,ZIP--ZINB,6,2.659840803994895
D3,Dataset 3,17,ZIP--ZINB,7,-2.4514333719528936
D3,Dataset 3,17,ZIP--ZINB,8,2.453610694871232
D3,Dataset 3,17,ZIP--ZINB,9,-0.03563343832217008
D3,Dataset 3,18,ZIP--ZINB,0,-0.609979446380724
D3,Dataset 3,18,ZIP--ZINB,1,6.763241090006738
D3,Dataset 3,18,ZIP--ZINB,2,-2.221190199738184
D3,Dataset 3,18,ZIP--ZINB,3,-3.044098629531591
D3,Dataset 3,18,ZIP--ZINB,4,2.235282627610777
D3,Dataset 3,18,ZIP--ZINB,5,7.928566454029955
D3,Dataset 3,18,ZIP--ZINB,6,2.6184988427961273
D3,Dataset 3,18,ZIP--ZINB,7,-2.2860249180487546
D3,Dataset 3,18,ZIP--ZINB,8,2.392552377907697
D3,Dataset 3,18,ZIP--ZINB,9,-0.026512340207076938
D3,Dataset 3,29,ZIP--ZINB,0,-0.3353064492166233
D3,Dataset 3,29,ZIP--ZINB,1,6.66374107536333
D3,Dataset 3,29,ZIP--ZINB,2,-2.1920981872501777
D3,Dataset 3,29,ZIP--ZINB,3,-2.3930705981587663
D3,Dataset 3,29,ZIP--ZINB,4,2.005455212475674
D3,Dataset 3,29,ZIP--ZINB,5,8.159823309409957
D3,Dataset 3,29,ZIP--ZINB,6,2.5258114246794157
D3,Dataset 3,29,ZIP--ZINB,7,-2.5436125843931072
D3,Dataset 3,29,ZIP--ZINB,8,2.4626896663969275
D3,Dataset 3,29,ZIP--ZINB,9,0.0008703008530199011
D3,Dataset 3,22,ZIP--ZINB,0,-0.30726992753010435
D3,Dataset 3,22,ZIP--ZINB,1,6.447720002280522
D3,Dataset 3,22,ZIP--ZINB,2,-2.0755792826253434
D3,Dataset 3,22,ZIP--ZINB,3,-2.179194792771464
D3,Dataset 3,22,ZIP--ZINB,4,1.91627350049958
D3,Dataset 3,22,ZIP--ZINB,5,7.998900284393296
D3,Dataset 3,22,ZIP--ZINB,6,2.410571898869335
D3,Dataset 3,22,ZIP--ZINB,7,-2.6777655880369835
D3,Dataset 3,22,ZIP--ZINB,8,2.5581555466923436
D3,Dataset 3,22,ZIP--ZINB,9,-0.06720342576909534
D3,Dataset 3,21,ZIP--ZINB,0,-0.5914647935676639
D3,Dataset 3,21,ZIP--ZINB,1,6.710809144305375
D3,Dataset 3,21,ZIP--ZINB,2,-2.145156207095969
D3,Dataset 3,21,ZIP--ZINB,3,-2.858041982910749
D3,Dataset 3,21,ZIP--ZINB,4,2.055962451555957
D3,Dataset 3,21,ZIP--ZINB,5,7.986668334268851
D3,Dataset 3,21,ZIP--ZINB,6,3.1112889250378957
D3,Dataset 3,21,ZIP--ZINB,7,-2.385850299044877
D3,Dataset 3,21,ZIP--ZINB,8,2.5298134060098594
D3,Dataset 3,21,ZIP--ZINB,9,-0.094733493096557
D3,Dataset 3,20,ZIP--ZINB,0,-0.22137813171367815
D3,Dataset 3,20,ZIP--ZINB,1,6.578583720722844
D3,Dataset 3,20,ZIP--ZINB,2,-2.1251090534883312
D3,Dataset 3,20,ZIP--ZINB,3,-1.9777352299350093
D3,Dataset 3,20,ZIP--ZINB,4,1.8198621616319282
D3,Dataset 3,20,ZIP--ZINB,5,7.836774920867593
D3,Dataset 3,20,ZIP--ZINB,6,2.8677374548984527
D3,Dataset 3,20,ZIP--ZINB,7,-2.81581047893636
D3,Dataset 3,20,ZIP--ZINB,8,2.62973860218613
D3,Dataset 3,20,ZIP--ZINB,9,-0.0754461247118576
D3,Dataset 3,19,ZIP--ZINB,0,-0.4146300479182438
D3,Dataset 3,19,ZIP--ZINB,1,6.444850387156596
D3,Dataset 3,19,ZIP--ZINB,2,-1.9872006713745494
D3,Dataset 3,19,ZIP--ZINB,3,-2.59254540376067
D3,Dataset 3,19,ZIP--ZINB,4,2.095896818171884
D3,Dataset 3,19,ZIP--ZINB,5,7.964976308709266
D3,Dataset 3,19,ZIP--ZINB,6,1.6874041119382956
D3,Dataset 3,19,ZIP--ZINB,7,-2.459341978345128
D3,Dataset 3,19,ZIP--ZINB,8,2.3523584651915828
D3,Dataset 3,19,ZIP--ZINB,9,0.1252818436840835
D3,Dataset 3,26,ZIP--ZINB,0,-0.3635511567236998
D3,Dataset 3,26,ZIP--ZINB,1,6.363391036696036
D3,Dataset 3,26,ZIP--ZINB,2,-1.9774737223666738
D3,Dataset 3,26,ZIP--ZINB,3,-2.4904386002289947
D3,Dataset 3,26,ZIP--ZINB,4,2.0142059498513905
D3,Dataset 3,26,ZIP--ZINB,5,8.177662154477092
D3,Dataset 3,26,ZIP--ZINB,6,2.9711978749706196
D3,Dataset 3,26,ZIP--ZINB,7,-2.386152747939402
D3,Dataset 3,26,ZIP--ZINB,8,2.442837586824533
D3,Dataset 3,26,ZIP--ZINB,9,-0.12058933749834087
D3,Dataset 3,24,ZIP--ZINB,0,-0.254896481163892
D3,Dataset 3,24,ZIP--ZINB,1,6.685686780491081
D3,Dataset 3,24,ZIP--ZINB,2,-2.16320041287806
D3,Dataset 3,24,ZIP--ZINB,3,-2.04817429725795
D3,Dataset 3,24,ZIP--ZINB,4,1.8577071847814262
D3,Dataset 3,24,ZIP--ZINB,5,8.456045936792373
D3,Dataset 3,24,ZIP--ZINB,6,1.7260142851802442
D3,Dataset 3,24,ZIP--ZINB,7,-2.891208320597075
D3,Dataset 3,24,ZIP--ZINB,8,2.6298395829872843
D3,Dataset 3,24,ZIP--ZINB,9,0.05001177667100357
D3,Dataset 3,28,ZIP--ZINB,0,-0.4934532632783211
D3,Dataset 3,28,ZIP--ZINB,1,6.39140263125039
D3,Dataset 3,28,ZIP--ZINB,2,-1.9902052472226985
D3,Dataset 3,28,ZIP--ZINB,3,-2.8089827091103263
D3,Dataset 3,28,ZIP--ZINB,4,2.1072023330268648
D3,Dataset 3,28,ZIP--ZINB,5,8.194839013495903
D3,Dataset 3,28,ZIP--ZINB,6,2.257357290255272
D3,Dataset 3,28,ZIP--ZINB,7,-2.234303426197653
D3,Dataset 3,28,ZIP--ZINB,8,2.390201436368541
D3,Dataset 3,28,ZIP--ZINB,9,-0.150056115528061
D3,Dataset 3,23,ZIP--ZINB,0,-0.5068692012166499
D3,Dataset 3,23,ZIP--ZINB,1,6.501937686549841
