Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,13,beta_z[0],optimizer,6.6,6.620272791409249,0.11313466921611516,6.398528839745664,6.8420167430728345,True,inverse
D3,Dataset 3,13,beta_z[1],optimizer,-2.1,-2.0739947352436165,0.07721105110141507,-2.22532839540239,-1.922661075084843,True,inverse
D3,Dataset 3,13,gamma_z[0],optimizer,-2.5,-2.4013713337198177,0.30165752825142184,-2.9926200890926045,-1.810122578347031,True,inverse
D3,Dataset 3,13,gamma_z[1],optimizer,2.0,1.9905726878797443,0.12211659662638719,1.7512241584920254,2.229921217267463,True,inverse
D3,Dataset 3,13,beta_nb[0],optimizer,8.0,8.158736742603713,0.3140297393308249,7.543238453515296,8.774235031692129,True,inverse
D3,Dataset 3,13,beta_nb[1],optimizer,2.5,2.1619257988383365,0.421159333550674,1.3364535050790156,2.9873980925976573,True,inverse
D3,Dataset 3,13,gamma_nb[0],optimizer,-2.5,-2.359582325128363,0.1899177005578089,-2.7318210182216682,-1.9873436320350575,True,inverse
D3,Dataset 3,13,gamma_nb[1],optimizer,2.5,2.4155141691235116,0.08722659020177019,2.244550052328042,2.586478285918981,True,inverse
D3,Dataset 3,13,log_alpha,optimizer,0.0,-0.06713588060451067,0.05089211114830077,-0.16688441845518018,0.03261265724615883,True,inverse
D3,Dataset 3,13,rho,natural_delta,0.4,0.4155736611488751,0.028092564263595524,0.3605122351922279,0.4706350871055223,True,inverse
D3,Dataset 3,13,alpha,natural_delta,1.0,0.9350681350805988,0.04758759146175615,0.8417964558155567,1.0283398143456408,True,inverse
