Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,0,rho,0.7,0.7936366104889757
D1,Dataset 1,0,lambda,3.4896348093009957,3.5276500048625765
D1,Dataset 1,0,pi,0.39169271836238534,0.3562639540198774
D1,Dataset 1,0,varphi,9.213721832553484,11.418880399250614
D1,Dataset 1,0,alpha,1.5,0.5210212451481102
D1,Dataset 1,0,omega,0.14021414883820194,0.06726273809505232
