Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX4H100,identity,,Poisson,0.05296969413757324,True,5,-1305.5349257185617,2615.0698514371234,2623.850332771254,9.479684058177895e-06,not_computed
H2AX4H100,identity,,NB,0.03957080841064453,True,9,-1302.6526742466276,2611.305348493255,2624.476070494451,4.5818854647716734e-05,not_computed
H2AX4H100,identity,,ZIP,0.04372811317443848,True,10,-1223.2511441012693,2454.5022882025387,2472.0632508708,1.4904842724705603e-05,not_computed
H2AX4H100,identity,,ZINB,0.153764009475708,True,29,-1223.2505261256229,2456.5010522512457,2478.4522555865724,0.009166481962079143,not_computed
H2AX4H100,identity,,P+NB,0.20193767547607422,True,38,-1224.5975402953186,2461.195080590637,2487.5365245930293,48.58686164607765,not_computed
H2AX4H100,identity,,Z+P+NB,0.27785634994506836,True,29,-1223.2506125877585,2462.501225175517,2497.62315051204,0.006134622659204392,not_computed
H2AX4H100,identity,,ZIP--ZINB,0.34653568267822266,True,42,-1220.4863573634198,2460.9727147268395,2504.875121397493,0.04347078752302941,not_computed
