Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,6,gamma_nb[1],$\gamma_{21}$,-3.0,-2.8078111863961666
D1,Dataset 1,8,beta_z[0],$\beta_{10}$,2.0,2.0460189363789505
D1,Dataset 1,8,beta_z[1],$\beta_{11}$,1.0,1.0263288947439144
D1,Dataset 1,8,gamma_z[0],$\gamma_{10}$,-2.0,-2.048432234336322
D1,Dataset 1,8,gamma_z[1],$\gamma_{11}$,1.0,1.0248186894261655
D1,Dataset 1,8,beta_nb[0],$\beta_{20}$,4.0,3.823181965200832
D1,Dataset 1,8,beta_nb[1],$\beta_{21}$,3.5,3.544608761102624
D1,Dataset 1,8,gamma_nb[0],$\gamma_{20}$,1.0,1.0156884084943054
D1,Dataset 1,8,gamma_nb[1],$\gamma_{21}$,-3.0,-2.9713584688006414
D1,Dataset 1,11,beta_z[0],$\beta_{10}$,2.0,2.082133654601463
D1,Dataset 1,11,beta_z[1],$\beta_{11}$,1.0,0.9678695349519728
D1,Dataset 1,11,gamma_z[0],$\gamma_{10}$,-2.0,-1.7654420313083248
D1,Dataset 1,11,gamma_z[1],$\gamma_{11}$,1.0,0.8715688266943279
D1,Dataset 1,11,beta_nb[0],$\beta_{20}$,4.0,3.8967888001404942
D1,Dataset 1,11,beta_nb[1],$\beta_{21}$,3.5,3.786687024587233
D1,Dataset 1,11,gamma_nb[0],$\gamma_{20}$,1.0,1.2028822354748134
D1,Dataset 1,11,gamma_nb[1],$\gamma_{21}$,-3.0,-3.6250281928065817
D1,Dataset 1,9,beta_z[0],$\beta_{10}$,2.0,1.976289710786864
D1,Dataset 1,9,beta_z[1],$\beta_{11}$,1.0,0.9966578105073384
D1,Dataset 1,9,gamma_z[0],$\gamma_{10}$,-2.0,-1.9452608998132543
D1,Dataset 1,9,gamma_z[1],$\gamma_{11}$,1.0,0.9803093760031584
D1,Dataset 1,9,beta_nb[0],$\beta_{20}$,4.0,3.77603494937059
D1,Dataset 1,9,beta_nb[1],$\beta_{21}$,3.5,3.7399962062457206
D1,Dataset 1,9,gamma_nb[0],$\gamma_{20}$,1.0,0.8804805107561056
D1,Dataset 1,9,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7910314377433547
D1,Dataset 1,14,beta_z[0],$\beta_{10}$,2.0,2.0549879371038964
D1,Dataset 1,14,beta_z[1],$\beta_{11}$,1.0,0.9373389422834828
D1,Dataset 1,14,gamma_z[0],$\gamma_{10}$,-2.0,-1.911017800909275
D1,Dataset 1,14,gamma_z[1],$\gamma_{11}$,1.0,0.9933090962763168
D1,Dataset 1,14,beta_nb[0],$\beta_{20}$,4.0,3.9428605475342975
D1,Dataset 1,14,beta_nb[1],$\beta_{21}$,3.5,3.562846070655472
D1,Dataset 1,14,gamma_nb[0],$\gamma_{20}$,1.0,1.547108358511657
D1,Dataset 1,14,gamma_nb[1],$\gamma_{21}$,-3.0,-4.202552046506113
D1,Dataset 1,10,beta_z[0],$\beta_{10}$,2.0,2.0168390767156774
D1,Dataset 1,10,beta_z[1],$\beta_{11}$,1.0,0.9856010262578708
D1,Dataset 1,10,gamma_z[0],$\gamma_{10}$,-2.0,-2.02643185177183
D1,Dataset 1,10,gamma_z[1],$\gamma_{11}$,1.0,0.9907543273765158
D1,Dataset 1,10,beta_nb[0],$\beta_{20}$,4.0,3.862711948278324
D1,Dataset 1,10,beta_nb[1],$\beta_{21}$,3.5,3.265354739512432
D1,Dataset 1,10,gamma_nb[0],$\gamma_{20}$,1.0,0.9674361018327532
D1,Dataset 1,10,gamma_nb[1],$\gamma_{21}$,-3.0,-3.0859807090722016
D1,Dataset 1,12,beta_z[0],$\beta_{10}$,2.0,1.9770386488206249
D1,Dataset 1,12,beta_z[1],$\beta_{11}$,1.0,1.0241375500197114
D1,Dataset 1,12,gamma_z[0],$\gamma_{10}$,-2.0,-2.0780603768344377
D1,Dataset 1,12,gamma_z[1],$\gamma_{11}$,1.0,1.031073087130702
D1,Dataset 1,12,beta_nb[0],$\beta_{20}$,4.0,4.313546066250442
D1,Dataset 1,12,beta_nb[1],$\beta_{21}$,3.5,3.5140502379089305
D1,Dataset 1,12,gamma_nb[0],$\gamma_{20}$,1.0,1.1372569345071466
D1,Dataset 1,12,gamma_nb[1],$\gamma_{21}$,-3.0,-2.913386197143032
D1,Dataset 1,13,beta_z[0],$\beta_{10}$,2.0,2.0278080258462654
D1,Dataset 1,13,beta_z[1],$\beta_{11}$,1.0,0.9974821431895996
D1,Dataset 1,13,gamma_z[0],$\gamma_{10}$,-2.0,-2.0032277277390635
D1,Dataset 1,13,gamma_z[1],$\gamma_{11}$,1.0,0.991817977985356
D1,Dataset 1,13,beta_nb[0],$\beta_{20}$,4.0,4.125124583795685
D1,Dataset 1,13,beta_nb[1],$\beta_{21}$,3.5,3.391937222371876
D1,Dataset 1,13,gamma_nb[0],$\gamma_{20}$,1.0,1.2291011416724742
D1,Dataset 1,13,gamma_nb[1],$\gamma_{21}$,-3.0,-3.192548441219489
D1,Dataset 1,15,beta_z[0],$\beta_{10}$,2.0,1.985086314539375
D1,Dataset 1,15,beta_z[1],$\beta_{11}$,1.0,1.0185268214757124
D1,Dataset 1,15,gamma_z[0],$\gamma_{10}$,-2.0,-2.076714053448244
D1,Dataset 1,15,gamma_z[1],$\gamma_{11}$,1.0,1.019884601958988
D1,Dataset 1,15,beta_nb[0],$\beta_{20}$,4.0,4.356471359765028
D1,Dataset 1,15,beta_nb[1],$\beta_{21}$,3.5,3.339872554478038
D1,Dataset 1,15,gamma_nb[0],$\gamma_{20}$,1.0,1.0935535372945004
D1,Dataset 1,15,gamma_nb[1],$\gamma_{21}$,-3.0,-2.539218901637565
D1,Dataset 1,19,beta_z[0],$\beta_{10}$,2.0,2.0523793468739013
D1,Dataset 1,19,beta_z[1],$\beta_{11}$,1.0,0.96770300311285
D1,Dataset 1,19,gamma_z[0],$\gamma_{10}$,-2.0,-1.80704554974959
D1,Dataset 1,19,gamma_z[1],$\gamma_{11}$,1.0,0.9249258171343732
D1,Dataset 1,19,beta_nb[0],$\beta_{20}$,4.0,3.916878227172644
D1,Dataset 1,19,beta_nb[1],$\beta_{21}$,3.5,3.79724384292089
D1,Dataset 1,19,gamma_nb[0],$\gamma_{20}$,1.0,1.0791816974212272
D1,Dataset 1,19,gamma_nb[1],$\gamma_{21}$,-3.0,-3.3067218419965734
D1,Dataset 1,17,beta_z[0],$\beta_{10}$,2.0,2.0941009689994767
D1,Dataset 1,17,beta_z[1],$\beta_{11}$,1.0,0.9395244734547856
D1,Dataset 1,17,gamma_z[0],$\gamma_{10}$,-2.0,-1.8883351123110643
D1,Dataset 1,17,gamma_z[1],$\gamma_{11}$,1.0,0.929145291336806
D1,Dataset 1,17,beta_nb[0],$\beta_{20}$,4.0,4.383717683889184
D1,Dataset 1,17,beta_nb[1],$\beta_{21}$,3.5,3.405088822497991
D1,Dataset 1,17,gamma_nb[0],$\gamma_{20}$,1.0,0.9378240837938356
D1,Dataset 1,17,gamma_nb[1],$\gamma_{21}$,-3.0,-2.803627298702269
D1,Dataset 1,18,beta_z[0],$\beta_{10}$,2.0,2.102278688118297
D1,Dataset 1,18,beta_z[1],$\beta_{11}$,1.0,0.9594796765840308
D1,Dataset 1,18,gamma_z[0],$\gamma_{10}$,-2.0,-2.2050686132406248
D1,Dataset 1,18,gamma_z[1],$\gamma_{11}$,1.0,1.0903624979549025
D1,Dataset 1,18,beta_nb[0],$\beta_{20}$,4.0,3.8908289919616617
D1,Dataset 1,18,beta_nb[1],$\beta_{21}$,3.5,3.548912320427777
D1,Dataset 1,18,gamma_nb[0],$\gamma_{20}$,1.0,1.2356013328248123
D1,Dataset 1,18,gamma_nb[1],$\gamma_{21}$,-3.0,-2.940088387450368
D1,Dataset 1,16,beta_z[0],$\beta_{10}$,2.0,1.9741172239849163
D1,Dataset 1,16,beta_z[1],$\beta_{11}$,1.0,1.0587951144774128
D1,Dataset 1,16,gamma_z[0],$\gamma_{10}$,-2.0,-2.0812506208403163
