"Scenario","Dataset","Rep","TotalFitSeconds"
"D3","Dataset 3",38,88.6787555217743
"D4","Dataset 4",38,80.025173664093
"D1","Dataset 1",39,112.844970226288
"D2","Dataset 2",39,93.2126493453979
"D3","Dataset 3",39,94.7790651321411
"D4","Dataset 4",39,89.9818012714386
"D1","Dataset 1",40,121.031886577606
"D2","Dataset 2",40,76.7364928722382
"D3","Dataset 3",40,121.130534172058
"D4","Dataset 4",40,87.5962800979614
"D1","Dataset 1",41,119.660263061523
"D2","Dataset 2",41,91.3569741249084
"D3","Dataset 3",41,96.6438806056976
"D4","Dataset 4",41,82.3605623245239
"D1","Dataset 1",42,104.996267080307
"D2","Dataset 2",42,96.7964787483215
"D3","Dataset 3",42,96.4106574058533
"D4","Dataset 4",42,78.8851387500763
"D1","Dataset 1",43,114.402575016022
"D2","Dataset 2",43,72.8391311168671
"D3","Dataset 3",43,100.422129869461
"D4","Dataset 4",43,73.9764688014984
"D1","Dataset 1",44,115.372916698456
"D2","Dataset 2",44,85.8649423122406
"D3","Dataset 3",44,95.2906129360199
"D4","Dataset 4",44,81.1644551753998
"D1","Dataset 1",45,107.330541133881
"D2","Dataset 2",45,89.0442457199097
"D3","Dataset 3",45,101.039309263229
"D4","Dataset 4",45,75.9096596240997
"D1","Dataset 1",46,114.168351888657
"D2","Dataset 2",46,84.5240292549133
"D3","Dataset 3",46,95.4935641288757
"D4","Dataset 4",46,84.2692873477936
"D1","Dataset 1",47,104.720074653625
"D2","Dataset 2",47,103.903647422791
"D3","Dataset 3",47,106.313247442245
"D4","Dataset 4",47,90.898478269577
"D1","Dataset 1",48,104.032360076904
"D2","Dataset 2",48,73.2976257801056
"D3","Dataset 3",48,99.4022336006165
"D4","Dataset 4",48,80.2948455810547
"D1","Dataset 1",49,117.074818134308
"D2","Dataset 2",49,81.8525009155273
"D3","Dataset 3",49,96.7971878051758
"D4","Dataset 4",49,75.6721346378326
"D1","Dataset 1",50,110.381628036499
"D2","Dataset 2",50,100.23727107048
"D3","Dataset 3",50,105.135917425156
"D4","Dataset 4",50,91.2050623893738
"D1","Dataset 1",51,110.911992311478
"D2","Dataset 2",51,79.5318183898926
"D3","Dataset 3",51,98.5526084899902
"D4","Dataset 4",51,86.4095487594604
"D1","Dataset 1",52,117.238012552261
"D2","Dataset 2",52,89.0499913692474
"D3","Dataset 3",52,88.7926275730133
"D4","Dataset 4",52,80.7514538764954
"D1","Dataset 1",53,111.423559427261
"D2","Dataset 2",53,86.9086380004883
"D3","Dataset 3",53,98.2981975078583
"D4","Dataset 4",53,76.0781273841858
"D1","Dataset 1",54,102.824984550476
"D2","Dataset 2",54,87.721248626709
"D3","Dataset 3",54,107.807101488113
"D4","Dataset 4",54,90.1792786121368
"D1","Dataset 1",55,104.161110162735
"D2","Dataset 2",55,79.0739352703094
"D3","Dataset 3",55,105.736039876938
"D4","Dataset 4",55,84.3771393299103
"D1","Dataset 1",56,101.169156074524
"D2","Dataset 2",56,77.5856070518494
"D3","Dataset 3",56,90.0254974365234
"D4","Dataset 4",56,79.9913170337677
"D1","Dataset 1",57,110.345439910889
"D2","Dataset 2",57,87.3708684444427
"D3","Dataset 3",57,90.1870529651642
"D4","Dataset 4",57,87.3270013332367
"D1","Dataset 1",58,110.213649749756
"D2","Dataset 2",58,78.3994631767273
"D3","Dataset 3",58,90.6425595283508
"D4","Dataset 4",58,82.0763847827911
"D1","Dataset 1",59,105.50417637825
"D2","Dataset 2",59,99.5556209087372
"D3","Dataset 3",59,111.170834064484
"D4","Dataset 4",59,83.015362739563
"D1","Dataset 1",60,115.839853048325
"D2","Dataset 2",60,89.2716765403748
"D3","Dataset 3",60,91.9276185035706
"D4","Dataset 4",60,88.4069046974182
"D1","Dataset 1",61,108.094371795654
"D2","Dataset 2",61,84.4358668327332
"D3","Dataset 3",61,102.590089559555
"D4","Dataset 4",61,78.9696755409241
"D1","Dataset 1",62,103.343914747238
"D2","Dataset 2",62,91.2810394763947
"D3","Dataset 3",62,87.5233364105225
"D4","Dataset 4",62,77.9516098499298
"D1","Dataset 1",63,117.961135387421
"D2","Dataset 2",63,74.4536421298981
"D3","Dataset 3",63,95.8270359039307
"D4","Dataset 4",63,87.126012802124
"D1","Dataset 1",64,113.079765081406
"D2","Dataset 2",64,91.5470921993256
"D3","Dataset 3",64,85.3978655338287
"D4","Dataset 4",64,84.4848856925964
"D1","Dataset 1",65,114.150534391403
"D2","Dataset 2",65,87.154807806015
"D3","Dataset 3",65,94.2312641143799
"D4","Dataset 4",65,79.5274548530579
"D1","Dataset 1",66,116.411799907684
"D2","Dataset 2",66,121.658131599426
"D3","Dataset 3",66,93.6422524452209
"D4","Dataset 4",66,75.4333777427673
"D1","Dataset 1",67,101.239607810974
"D2","Dataset 2",67,85.3550732135773
"D3","Dataset 3",67,92.8735263347626
"D4","Dataset 4",67,75.6867852210999
"D1","Dataset 1",68,100.797160387039
"D2","Dataset 2",68,84.9888277053833
"D3","Dataset 3",68,125.668042421341
"D4","Dataset 4",68,83.8395924568176
"D1","Dataset 1",69,111.43063211441
"D2","Dataset 2",69,96.0407764911652
"D3","Dataset 3",69,91.0845246315002
"D4","Dataset 4",69,92.1395959854126
"D1","Dataset 1",70,101.596515417099
"D2","Dataset 2",70,89.6520216464996
"D3","Dataset 3",70,120.202365636826
"D4","Dataset 4",70,78.6483416557312
"D1","Dataset 1",71,120.074688196182
"D2","Dataset 2",71,86.9399569034576
"D3","Dataset 3",71,108.42853975296
"D4","Dataset 4",71,78.5308661460876
"D1","Dataset 1",72,119.115925073624
"D2","Dataset 2",72,81.0625438690186
"D3","Dataset 3",72,89.7915525436401
"D4","Dataset 4",72,78.6782619953156
"D1","Dataset 1",73,110.502426147461
"D2","Dataset 2",73,81.3771984577179
"D3","Dataset 3",73,102.259516716003
"D4","Dataset 4",73,85.719532251358
"D1","Dataset 1",74,116.810767173767
"D2","Dataset 2",74,87.8117442131042
"D3","Dataset 3",74,91.9732105731964
"D4","Dataset 4",74,80.1817038059235
"D1","Dataset 1",75,108.819394350052
"D2","Dataset 2",75,87.6555025577545
"D3","Dataset 3",75,102.01732468605
"D4","Dataset 4",75,80.7116003036499
"D1","Dataset 1",76,114.577260255814
"D2","Dataset 2",76,79.9267816543579
"D3","Dataset 3",76,95.6797478199005
"D4","Dataset 4",76,88.8425149917603
"D1","Dataset 1",77,112.649914264679
"D2","Dataset 2",77,108.794507980347
"D3","Dataset 3",77,85.9958081245422
"D4","Dataset 4",77,92.523829460144
"D1","Dataset 1",78,116.804483175278
"D2","Dataset 2",78,85.1819632053375
"D3","Dataset 3",78,94.5558516979218
"D4","Dataset 4",78,89.7664217948914
"D1","Dataset 1",79,106.12316608429
"D2","Dataset 2",79,76.2502381801605
"D3","Dataset 3",79,95.3917081356049
"D4","Dataset 4",79,75.0150713920593
"D1","Dataset 1",80,97.2335135936737
"D2","Dataset 2",80,114.491670846939
"D3","Dataset 3",80,94.5857872962952
"D4","Dataset 4",80,79.8826665878296
"D1","Dataset 1",81,107.585387945175
"D2","Dataset 2",81,77.4819574356079
"D3","Dataset 3",81,92.926707983017
"D4","Dataset 4",81,85.7154145240784
"D1","Dataset 1",82,103.693872690201
"D2","Dataset 2",82,88.2854309082031
"D3","Dataset 3",82,96.6165812015533
"D4","Dataset 4",82,81.8913178443909
"D1","Dataset 1",83,105.809985876083
"D2","Dataset 2",83,83.4526906013489
"D3","Dataset 3",83,87.1597089767456
"D4","Dataset 4",83,82.0807716846466
"D1","Dataset 1",84,107.104993104935
"D2","Dataset 2",84,79.9256196022034
"D3","Dataset 3",84,95.613894701004
"D4","Dataset 4",84,74.7708773612976
"D1","Dataset 1",85,100.510140895844
"D2","Dataset 2",85,102.029156684875
"D3","Dataset 3",85,108.525952100754
"D4","Dataset 4",85,85.998740196228
"D1","Dataset 1",86,113.342014789581
"D2","Dataset 2",86,107.44033741951
"D3","Dataset 3",86,93.7986512184143
"D4","Dataset 4",86,87.3455719947815
"D1","Dataset 1",87,109.442237377167
"D2","Dataset 2",87,86.3781094551086
"D3","Dataset 3",87,92.6761238574982
"D4","Dataset 4",87,87.4047355651855
"D1","Dataset 1",88,110.367504119873
"D2","Dataset 2",88,84.0886375904083
"D3","Dataset 3",88,95.6437029838562
"D4","Dataset 4",88,86.0064992904663
"D1","Dataset 1",89,110.244846343994
"D2","Dataset 2",89,82.8791453838348
"D3","Dataset 3",89,85.4219844341278
"D4","Dataset 4",89,78.6516401767731
"D1","Dataset 1",90,102.754752874374
"D2","Dataset 2",90,105.865120172501
"D3","Dataset 3",90,100.975880146027
"D4","Dataset 4",90,81.6691710948944
"D1","Dataset 1",91,111.381799459457
"D2","Dataset 2",91,87.5468811988831
"D3","Dataset 3",91,108.813031435013
"D4","Dataset 4",91,72.0303483009338
"D1","Dataset 1",92,109.634172677994
"D2","Dataset 2",92,83.0846846103668
"D3","Dataset 3",92,94.6626555919647
"D4","Dataset 4",92,86.1828591823578
"D1","Dataset 1",93,109.113330364227
"D2","Dataset 2",93,79.7414753437042
"D3","Dataset 3",93,104.495697975159
"D4","Dataset 4",93,89.2014827728271
"D1","Dataset 1",94,112.066895723343
"D2","Dataset 2",94,78.0056581497192
"D3","Dataset 3",94,96.8082981109619
"D4","Dataset 4",94,83.1716539859772
"D1","Dataset 1",95,100.702285528183
"D2","Dataset 2",95,94.7340431213379
"D3","Dataset 3",95,100.531744718552
"D4","Dataset 4",95,93.544983625412
"D1","Dataset 1",96,110.029203414917
"D2","Dataset 2",96,92.7747900485992
"D3","Dataset 3",96,100.188254356384
"D4","Dataset 4",96,80.146484375
"D1","Dataset 1",97,113.820199489594
"D2","Dataset 2",97,95.2145524024963
"D3","Dataset 3",97,93.3966147899628
"D4","Dataset 4",97,95.6942744255066
"D1","Dataset 1",98,118.682142972946
"D2","Dataset 2",98,84.3558969497681
"D3","Dataset 3",98,98.7508060932159
"D4","Dataset 4",98,76.8213768005371
"D1","Dataset 1",99,110.966459751129
"D2","Dataset 2",99,87.1315879821777
"D3","Dataset 3",99,91.3149468898773
"D4","Dataset 4",99,77.0671889781952
