"Dataset","Link","BestModel","BestScore","FullScore","DeltaBestMinusFull","FullRank"
"C2","identity","ZINB",-0.514829450440515,-0.515244036597575,0.00041458615706047,4
"C2","log","ZINB",-0.493170510251367,-0.49317749441003,6.98415866329238e-06,3
"C3","identity","P+NB",-0.716014771654363,-0.717361375628468,0.00134660397410491,5
"C3","log","P+NB",-0.700904238596553,-0.701305053048925,0.000400814452372056,5
"H2AX1H60","identity","ZIP--ZINB",-1.9366270687022,-1.9366270687022,0,1
"H2AX1H60","log","ZIP--ZINB",-1.91080362520894,-1.91080362520894,0,1
"H2AX4H100","identity","P+NB",-2.09473898295447,-2.09538733013629,0.000648347181827713,5
"H2AX4H100","log","ZIP--ZINB",-2.05834049916892,-2.05834049916892,0,1
