"Dataset","Link","n","mean","sd","q01","q05","q50","q95","q99","AbsError","AbsRateError"
"C2","identity",5600,0.00988636634136701,0.994704880137003,-2.30927144590659,-1.63633882783484,0.0344854914530141,1.63641693514491,2.28937295173546,0.00525692314083677,0.000203360804923321
"C2","log",5600,-0.00285326821505132,0.998204083664014,-2.2814253053782,-1.6281133024091,0.00660181323432507,1.65443738531449,2.2942638769863,0.000813178437123141,0.00162898285723539
"C3","identity",4400,-0.00425601564896155,1.00768163874372,-2.42869762521942,-1.66073087630087,0.00552955452618907,1.63017375295602,2.29412959082915,0.00370873984466926,0.00129586951118287
"C3","log",4400,0.0107818128679686,0.993378858672153,-2.31165905817704,-1.60438000073561,0.0208638205958045,1.64769470751586,2.28691809163599,0.000858150332106478,0.001074129058062
"H2AX1H60","identity",599,0.0676537444007206,0.967314651711266,-2.21832298894443,-1.50275458642031,0.0648606750008519,1.49950430251791,2.167239736047,0.0326705488988488,0.0297973041657004
"H2AX1H60","log",599,0.0340438263416546,0.996790365913104,-2.35888926550836,-1.63311186017236,0.0337835924506491,1.58610323829835,2.20802225465861,0.0263223231347508,0.0294313919260062
"H2AX4H100","identity",596,0.00303526383978169,0.897678508396794,-2.18238032350468,-1.6356995490514,0.0968698053453234,1.37795186343224,1.847381992421,0.0261771701758593,0.0420709902042459
"H2AX4H100","log",596,0.00920468721512212,0.897506774705939,-2.12770610668428,-1.62277524377175,0.0884407376098146,1.44171461162071,1.82184852597127,0.0273755834469343,0.0404079956998656
