"Dataset","Link","MedianFitSeconds","MaxFitSeconds","MedianBootstrapMinutes","MaxBootstrapMinutes","Comparisons","B"
"C2","identity",1.75669550895691,4.64315485954285,2.94447771708171,3.91482992172241,6,99
"C2","log",1.26979446411133,4.72567987442017,3.48750180006027,4.62764476935069,6,99
"C3","identity",1.24744176864624,4.16005754470825,2.99094613989194,3.49418722788493,6,99
"C3","log",0.938610315322876,6.09109950065613,2.70705677072207,3.10478200912476,6,99
"H2AX1H60","identity",0.147078275680542,0.867759466171265,0.663432413339615,0.760852257410685,6,99
"H2AX1H60","log",0.199028968811035,1.39726710319519,0.665714836120605,1.14252182642619,6,99
"H2AX4H100","identity",0.248246669769287,0.554262638092041,0.612215101718903,0.724989751974742,6,99
"H2AX4H100","log",0.238789081573486,0.722069263458252,0.489308528105418,0.689673042297363,6,99
