"Scenario","Dataset","MeanSeconds","MedianSeconds","MaxSeconds","Reps"
"D1","Dataset 1",109.340822789669,109.53820502758,123.689751625061,100
"D2","Dataset 2",89.4699589085579,87.2628381252289,121.658131599426,100
"D3","Dataset 3",97.2826313781738,96.3124595880508,125.668042421341,100
"D4","Dataset 4",82.9546855306625,82.6384352445602,95.6942744255066,100
