"Dataset","Link","Poisson","NB","ZIP","ZINB","P+NB","Z+P+NB"
"C2","identity","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.970 (F)","0.700 (F)","\textbf{0.010 (R)}","0.560 (F)"
"C2","log","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.140 (F)","0.100 (F)","\textbf{0.030 (R)}","0.310 (F)"
"C3","identity","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.350 (F)","0.510 (F)","0.330 (F)","0.330 (F)"
"C3","log","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.260 (F)","0.260 (F)","0.810 (F)","0.830 (F)"
"H2AX1H60","identity","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}"
"H2AX1H60","log","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}","\textbf{0.010 (R)}"
"H2AX4H100","identity","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.240 (F)","0.080 (F)","0.060 (F)","\textbf{0.030 (R)}"
"H2AX4H100","log","\textbf{0.010 (R)}","\textbf{0.010 (R)}","0.350 (F)","0.210 (F)","0.050 (F)","0.070 (F)"
