"Dataset","Link","RestrictedModel","FullModel","RestrictedLogLik","FullLogLik","LRT","df","boundary_dim","p_value","decision","method","Reference","ObservedLRT","BootstrapPValue","BootstrapRepsSucceeded","Decision"
"H2AX1H60","identity","Poisson","ZIP--ZINB",-1590.3284183338,-1151.54056288051,877.575710906571,NA,2,7.2037147695041e-192,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",877.575586435749,0.01,99,"Reject"
"H2AX1H60","identity","NB","ZIP--ZINB",-1267.45617205644,-1151.54056288051,231.831218351843,NA,2,1.25759532293564e-51,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",231.83109388102,0.01,99,"Reject"
"H2AX1H60","identity","ZIP","ZIP--ZINB",-1188.31671161884,-1151.54056288051,73.55229747665,NA,1,4.90023956660528e-18,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",73.5521730059731,0.01,99,"Reject"
"H2AX1H60","identity","ZINB","ZIP--ZINB",-1180.31058195545,-1151.54056288051,57.5400381498803,NA,1,1.65584474100905e-14,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",57.5399136790866,0.01,99,"Reject"
"H2AX1H60","identity","P+NB","ZIP--ZINB",-1170.62200995424,-1151.54056288051,38.1628941474437,NA,2,1.61652986862362e-09,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",38.162769676635,0.01,99,"Reject"
"H2AX1H60","identity","Z+P+NB","ZIP--ZINB",-1165.98168303456,-1151.54056288051,28.8822403080885,2,0,5.34935234683743e-07,"Reject","chi²(df=2)","chi-square",28.8823448452581,0.01,99,"Reject"
"H2AX1H60","log","Poisson","ZIP--ZINB",-1584.69519804007,-1151.84955677397,865.691282532196,NA,2,2.74396557084367e-189,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",865.687732107739,0.01,99,"Reject"
"H2AX1H60","log","NB","ZIP--ZINB",-1266.41576920322,-1151.84955677397,229.132424858503,NA,2,4.85082198898399e-51,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",229.128874434005,0.01,99,"Reject"
"H2AX1H60","log","ZIP","ZIP--ZINB",-1187.98723534666,-1151.84955677397,72.2753571453777,NA,1,9.35850702801797e-18,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",72.2718067209685,0.01,99,"Reject"
"H2AX1H60","log","ZINB","ZIP--ZINB",-1180.05276110216,-1151.84955677397,56.4064086563685,NA,1,2.94689806792273e-14,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",56.4028582318879,0.01,99,"Reject"
"H2AX1H60","log","P+NB","ZIP--ZINB",-1164.13198093563,-1151.84955677397,24.5648483233176,NA,2,1.51736579083951e-06,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",24.5612978988211,0.01,99,"Reject"
"H2AX1H60","log","Z+P+NB","ZIP--ZINB",-1162.58667758489,-1151.84955677397,21.4742416218401,2,0,2.17233940581304e-05,"Reject","chi²(df=2)","chi-square",21.4705965592902,0.01,99,"Reject"
"H2AX4H100","identity","Poisson","ZIP--ZINB",-1305.53492571856,-1220.48665242612,170.096546584889,NA,2,3.24938276821904e-38,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",170.097136710284,0.01,99,"Reject"
"H2AX4H100","identity","NB","ZIP--ZINB",-1302.65267424664,-1220.48665242612,164.332043641044,NA,2,5.81239914504996e-37,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",164.332633766416,0.01,99,"Reject"
"H2AX4H100","identity","ZIP","ZIP--ZINB",-1223.25114410127,-1220.48665242612,5.52898335030386,NA,1,0.00935198511343822,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",5.52957347569918,0.24,99,"Fail"
"H2AX4H100","identity","ZINB","ZIP--ZINB",-1223.25105917544,-1220.48665242612,5.5288134986431,NA,1,0.00935289302913369,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",5.5283375244062,0.08,99,"Fail"
"H2AX4H100","identity","P+NB","ZIP--ZINB",-1224.59754029443,-1220.48665242612,8.22177573661611,NA,2,0.0061678371949482,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",8.22236586379768,0.06,99,"Fail"
"H2AX4H100","identity","Z+P+NB","ZIP--ZINB",-1223.25114411011,-1220.48665242612,5.52898336798808,2,0,0.0630081192447303,"Fail","chi²(df=2)","chi-square",5.52851044867748,0.03,99,"Reject"
"H2AX4H100","log","Poisson","ZIP--ZINB",-1305.40813371309,-1221.88698258741,167.042302251345,NA,2,1.49776986714933e-37,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",165.892936766306,0.01,99,"Reject"
"H2AX4H100","log","NB","ZIP--ZINB",-1302.54392484741,-1221.88698258741,161.313884519985,NA,2,2.63135894413454e-36,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",160.16451903476,0.01,99,"Reject"
"H2AX4H100","log","ZIP","ZIP--ZINB",-1224.56685012089,-1221.88698258741,5.35973506695382,NA,1,0.0103034519904448,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",4.21036958206105,0.35,99,"Fail"
"H2AX4H100","log","ZINB","ZIP--ZINB",-1224.56645994998,-1221.88698258741,5.35895472513857,NA,1,0.0103080634897018,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",4.21036739081956,0.21,99,"Fail"
"H2AX4H100","log","P+NB","ZIP--ZINB",-1225.79426595299,-1221.88698258741,7.81456673115645,NA,2,0.00761509303055817,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",6.66520124611679,0.05,99,"Fail"
"H2AX4H100","log","Z+P+NB","ZIP--ZINB",-1224.56685013146,-1221.88698258741,5.35973508809093,2,0,0.0685722363537898,"Fail","chi²(df=2)","chi-square",4.21036959779394,0.07,99,"Fail"
