Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,0,beta_z[0],$\beta_{10}$,2.0,2.5491372130846344
D1,Dataset 1,0,beta_z[1],$\beta_{11}$,1.0,-0.1193752835927786
D1,Dataset 1,0,gamma_z[0],$\gamma_{10}$,-2.0,-25.0
D1,Dataset 1,0,gamma_z[1],$\gamma_{11}$,1.0,9.132220723778378
D1,Dataset 1,0,beta_nb[0],$\beta_{20}$,4.0,2.635029727389719
D1,Dataset 1,0,beta_nb[1],$\beta_{21}$,3.5,5.477458757134806
D1,Dataset 1,0,gamma_nb[0],$\gamma_{20}$,1.0,1.263059397782186
D1,Dataset 1,0,gamma_nb[1],$\gamma_{21}$,-3.0,-0.9821058629032527
