Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
H2AX4H100,identity,Poisson,0.0395488739013671,0.0,1,9.479684058177895e-06,0.0,1
H2AX4H100,identity,NB,0.0349979400634765,0.0,1,4.5818854647716734e-05,0.0,1
H2AX4H100,identity,ZIP,0.0374214649200439,0.0,1,1.4904842724705604e-05,0.0,1
H2AX4H100,identity,ZINB,0.1311666965484619,0.0,1,0.0091664819620791,0.0,1
H2AX4H100,identity,P+NB,0.1737771034240722,0.0,1,48.58686164607765,0.0,1
H2AX4H100,identity,Z+P+NB,0.2488684654235839,0.0,1,0.0061346226592043,0.0,1
H2AX4H100,identity,ZIP--ZINB,0.3049635887145996,0.0,1,0.0434707875230294,0.0,1
