Dataset,Link,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,decision,method
H2AX1H60,log,Poisson,ZIP--ZINB,-1584.6951980400706,-1151.8495567739728,865.6912825321956,,2,2.7439655708436703e-189,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,log,NB,ZIP--ZINB,-1266.4157692032245,-1151.8495567739728,229.13242485850333,,2,4.850821988983992e-51,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,log,P+NB,ZIP--ZINB,-1164.1319809356316,-1151.8495567739728,24.56484832331762,,2,1.5173657908395141e-06,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,log,ZIP,ZIP--ZINB,-1187.9872353466617,-1151.8495567739728,72.27535714537771,,1,9.358507028017968e-18,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX1H60,log,ZINB,ZIP--ZINB,-1180.052761102157,-1151.8495567739728,56.40640865636851,,1,2.9468980679227276e-14,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX1H60,log,Z+P+NB,ZIP--ZINB,-1162.5866775848929,-1151.8495567739728,21.474241621840065,2.0,0,2.1723394058130414e-05,Reject,chi²(df=2)
H2AX4H100,identity,Poisson,ZIP--ZINB,-1305.5349257185617,-1220.486652426117,170.09654658488944,,2,3.249382768219038e-38,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,identity,NB,ZIP--ZINB,-1302.6526742466388,-1220.486652426117,164.33204364104358,,2,5.8123991450499595e-37,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,identity,P+NB,ZIP--ZINB,-1224.597540294425,-1220.486652426117,8.22177573661611,,2,0.006167837194948202,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,identity,ZIP,ZIP--ZINB,-1223.251144101269,-1220.486652426117,5.528983350303861,,1,0.009351985113438224,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX4H100,identity,ZINB,ZIP--ZINB,-1223.2510591754385,-1220.486652426117,5.528813498643103,,1,0.00935289302913369,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX4H100,identity,Z+P+NB,ZIP--ZINB,-1223.251144110111,-1220.486652426117,5.528983367988076,2.0,0,0.06300811924473029,Fail,chi²(df=2)
H2AX4H100,log,Poisson,ZIP--ZINB,-1305.4081337130851,-1221.8869825874126,167.04230225134506,,2,1.4977698671493264e-37,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,log,NB,ZIP--ZINB,-1302.5439248474052,-1221.8869825874126,161.3138845199851,,2,2.6313589441345378e-36,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,log,P+NB,ZIP--ZINB,-1225.7942659529908,-1221.8869825874126,7.814566731156447,,2,0.007615093030558172,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX4H100,log,ZIP,ZIP--ZINB,-1224.5668501208895,-1221.8869825874126,5.359735066953817,,1,0.010303451990444771,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX4H100,log,ZINB,ZIP--ZINB,-1224.566459949982,-1221.8869825874126,5.358954725138574,,1,0.010308063489701836,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX4H100,log,Z+P+NB,ZIP--ZINB,-1224.566850131458,-1221.8869825874126,5.359735088090929,2.0,0,0.06857223635378981,Fail,chi²(df=2)
