Model,Link,Dataset,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
Poisson,identity,C2,-3526.904000784993,7059.808001569986,7079.699567200156,5600,3,True,47,0.0014257970337894,inverse,946.159114186632,3,Optimization terminated successfully
Poisson,log,C2,-3528.696552805838,7063.393105611676,7083.284671241846,5600,3,True,10,4.9919070335135984e-05,inverse,33.13958464023378,3,Optimization terminated successfully
NB,identity,C2,-2939.450897495083,5886.901794990166,5913.423882497059,5600,4,True,85,0.0001233184663078,inverse,200.0397354254167,4,Optimization terminated successfully
NB,log,C2,-2940.5233778138704,5889.046755627741,5915.568843134633,5600,4,True,10,0.0011802984858491,inverse,16.512741053344662,4,Optimization terminated successfully
ZIP,identity,C2,-2843.3676581344034,5696.735316268807,5729.887925652423,5600,5,True,92,0.0001085160879168,inverse,24.107524393875813,5,Optimization terminated successfully
ZIP,log,C2,-2843.6911053579684,5697.382210715937,5730.534820099553,5600,5,True,17,0.0023533427288668,inverse,10.839117872316349,5,Optimization terminated successfully
ZINB,identity,C2,-2843.366453431804,5698.732906863608,5738.516038123948,5600,6,True,46,0.1302815027040722,singular_pinv_rank_5_of_6,-0.0002463300721482,5,Optimization terminated successfully
ZINB,log,C2,-2843.690593147905,5699.38118629581,5739.164317556149,5600,6,True,38,0.0016345520241145,singular_pinv_rank_5_of_6,-1.3398992091167669e-05,5,Optimization terminated successfully
P+NB,identity,C2,-2845.6014550674854,5707.202910134971,5760.247085148757,5600,8,True,57,0.019696234881394,inverse,2.0824384167050902,8,Optimization terminated successfully
P+NB,log,C2,-2842.9132065629765,5701.826413125953,5754.870588139739,5600,8,True,34,0.0023313218985663,inverse,0.2370916357538879,8,Optimization terminated successfully
Z+P+NB,identity,C2,-2843.2300655485983,5706.460131097197,5772.765349864429,5600,10,True,116,13.323511083121955,indefinite_pinv_rank_8_of_10,-0.491280113190595,8,Optimization terminated successfully
Z+P+NB,log,C2,-2839.722587108766,5699.445174217532,5765.750392984764,5600,10,True,64,0.0028194607477507,singular_pinv_rank_9_of_10,7.129224924989667e-07,9,Optimization terminated successfully
ZIP--ZINB,identity,C2,-2839.9729328000985,5703.945865600197,5783.512128120876,5600,12,True,122,50.49377578918144,singular_pinv_rank_11_of_12,2.5427159622937374e-06,11,Optimization terminated successfully
ZIP--ZINB,log,C2,-2838.5566587972635,5701.113317594527,5780.679580115206,5600,12,True,185,0.0726337820245817,singular_pinv_rank_10_of_12,-0.0001280379386289,10,Optimization terminated successfully
