Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX4H100,log,,Poisson,0.0458369255065918,True,9,-1305.4081337130851,2614.8162674261703,2623.596748760301,3.7050807170757594e-05,not_computed
H2AX4H100,log,,NB,0.03776741027832031,True,13,-1302.5439248473122,2611.0878496946243,2624.25857169582,7.762160236701732e-05,not_computed
H2AX4H100,log,,ZIP,0.04257464408874512,True,13,-1224.5668501209627,2457.1337002419255,2474.6946629101867,0.0009587249756535243,not_computed
H2AX4H100,log,,ZINB,0.1273665428161621,True,30,-1224.566849025342,2459.133698050684,2481.0849013860106,0.00446345219689448,not_computed
H2AX4H100,log,,P+NB,0.37671661376953125,True,88,-1225.7942659529906,2463.588531905981,2489.9299759083733,1.0979630022944775e-06,not_computed
H2AX4H100,log,,Z+P+NB,0.2960796356201172,True,73,-1224.5668501288292,2465.1337002576583,2500.2556255941813,0.0004364906638087973,not_computed
H2AX4H100,log,,ZIP--ZINB,0.23159480094909668,True,45,-1222.4616653299322,2464.9233306598644,2508.8257373305178,0.12845585505930934,not_computed
