Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
H2AX4H100,identity,Poisson,0.0455250740051269,0.0,1,9.479684058177895e-06,0.0,1
H2AX4H100,identity,NB,0.0679926872253418,0.0,1,4.581885658705431e-05,0.0,1
H2AX4H100,identity,ZIP,0.0759029388427734,0.0,1,1.4904842724705604e-05,0.0,1
H2AX4H100,identity,ZINB,0.2482466697692871,0.0,1,6.418839226300484e-05,0.0,1
H2AX4H100,identity,P+NB,0.3190207481384277,0.0,1,48.58693716523106,0.0,1
H2AX4H100,identity,Z+P+NB,0.4398443698883056,0.0,1,0.010251638491562,0.0,1
H2AX4H100,identity,ZIP--ZINB,0.554262638092041,0.0,1,0.0572460281742148,0.0,1
H2AX4H100,log,Poisson,0.0436847209930419,0.0,1,2.603852447258248e-05,0.0,1
H2AX4H100,log,NB,0.0831289291381836,0.0,1,0.0015629842091104,0.0,1
H2AX4H100,log,ZIP,0.0796535015106201,0.0,1,0.0004666295425916,0.0,1
H2AX4H100,log,ZINB,0.2387890815734863,0.0,1,0.0002854335779804,0.0,1
H2AX4H100,log,P+NB,0.722069263458252,0.0,1,1.2406312279722442e-06,0.0,1
H2AX4H100,log,Z+P+NB,0.5260918140411377,0.0,1,8.196548037631146e-06,0.0,1
H2AX4H100,log,ZIP--ZINB,0.4282553195953369,0.0,1,0.1320048000191036,0.0,1
H2AX1H60,identity,Poisson,0.0463831424713134,0.0,1,2.837368112729166e-05,0.0,1
H2AX1H60,identity,NB,0.0716917514801025,0.0,1,2.6968619028344687e-05,0.0,1
H2AX1H60,identity,ZIP,0.0888388156890869,0.0,1,3.472198920029257e-05,0.0,1
H2AX1H60,identity,ZINB,0.147078275680542,0.0,1,0.0002881211119092,0.0,1
H2AX1H60,identity,P+NB,0.408625841140747,0.0,1,11.50303808303433,0.0,1
H2AX1H60,identity,Z+P+NB,0.6795942783355713,0.0,1,0.0011934228026311,0.0,1
H2AX1H60,identity,ZIP--ZINB,0.8677594661712646,0.0,1,0.0017399451009776,0.0,1
H2AX1H60,log,Poisson,0.049588918685913,0.0,1,7.107520765359254e-05,0.0,1
H2AX1H60,log,NB,0.0701744556427002,0.0,1,0.0001204055218186,0.0,1
H2AX1H60,log,ZIP,0.0886096954345703,0.0,1,3.0683145202381468e-06,0.0,1
H2AX1H60,log,ZINB,0.1990289688110351,0.0,1,0.0001522841580151,0.0,1
H2AX1H60,log,P+NB,0.3166065216064453,0.0,1,8.215804532407667e-05,0.0,1
H2AX1H60,log,Z+P+NB,0.6996293067932129,0.0,1,0.0010251742590744,0.0,1
H2AX1H60,log,ZIP--ZINB,1.3972671031951904,0.0,1,0.0129145370178278,0.0,1
C3,identity,Poisson,0.21718430519104,0.0,1,0.0006905443131017,0.0,1
C3,identity,NB,0.6661062240600586,0.0,1,0.0026096939348576,0.0,1
C3,identity,ZIP,0.4649901390075683,0.0,1,0.0002166195219857,0.0,1
C3,identity,ZINB,1.4289934635162354,0.0,1,0.0002223218517016,0.0,1
C3,identity,P+NB,1.2474417686462402,0.0,1,0.0023406918359114,0.0,1
C3,identity,Z+P+NB,2.495391607284546,0.0,1,0.0062815817203727,0.0,1
C3,identity,ZIP--ZINB,4.160057544708252,0.0,1,155.5625788826749,0.0,1
C3,log,Poisson,0.0967013835906982,0.0,1,0.0015760586370561,0.0,1
C3,log,NB,0.24111008644104,0.0,1,9.517477934650742e-06,0.0,1
C3,log,ZIP,0.2625486850738525,0.0,1,0.002570357448036,0.0,1
C3,log,ZINB,0.938610315322876,0.0,1,0.000950609849923,0.0,1
C3,log,P+NB,1.5806009769439695,0.0,1,8.378937050679269e-05,0.0,1
C3,log,Z+P+NB,3.108406782150269,0.0,1,0.1470641654767348,0.0,1
C3,log,ZIP--ZINB,6.091099500656128,0.0,1,0.0040589466921832,0.0,1
C2,log,Poisson,0.0954756736755371,0.0,1,0.0042556041067882,0.0,1
C2,log,NB,0.3337666988372803,0.0,1,6.436432127543412e-05,0.0,1
C2,log,ZIP,0.3646965026855469,0.0,1,0.0012846290160837,0.0,1
C2,log,ZINB,1.269794464111328,0.0,1,0.0003476762646528,0.0,1
C2,log,P+NB,1.9844071865081787,0.0,1,1.3084741893253522,0.0,1
C2,log,Z+P+NB,3.976140737533569,0.0,1,0.0046786454444429,0.0,1
C2,log,ZIP--ZINB,4.725679874420166,0.0,1,0.0100609863889076,0.0,1
C2,identity,Poisson,0.2469458580017089,0.0,1,0.0023863488668212,0.0,1
C2,identity,NB,0.8437607288360596,0.0,1,0.0223871423768287,0.0,1
C2,identity,ZIP,0.8590683937072754,0.0,1,0.0004857291037367,0.0,1
C2,identity,ZINB,2.611687421798706,0.0,1,0.0137008198859547,0.0,1
C2,identity,P+NB,1.7566955089569092,0.0,1,1249.7128492109907,0.0,1
C2,identity,Z+P+NB,2.7728257179260254,0.0,1,0.692990379000662,0.0,1
C2,identity,ZIP--ZINB,4.643154859542847,0.0,1,0.0025907040195534,0.0,1
