Dataset,Link,n,mean,sd,q01,q05,q50,q95,q99
H2AX4H100,identity,596,0.003035263839781693,0.8976785083967941,-2.182380323504681,-1.6356995490514004,0.09686980534532338,1.3779518634322392,1.8473819924210002
H2AX4H100,log,596,0.009204687215122123,0.8975067747059394,-2.1277061066842813,-1.6227752437717486,0.0884407376098146,1.441714611620714,1.8218485259712658
H2AX1H60,identity,599,0.06765374440072056,0.9673146517112663,-2.2183229889444305,-1.502754586420307,0.06486067500085185,1.499504302517914,2.1672397360469984
H2AX1H60,log,599,0.03404382634165457,0.9967903659131044,-2.3588892655083553,-1.6331118601723587,0.03378359245064906,1.5861032382983542,2.2080222546586077
C3,identity,4400,-0.0042560156489615504,1.007681638743719,-2.4286976252194212,-1.6607308763008746,0.005529554526189075,1.6301737529560243,2.294129590829148
C3,log,4400,0.010781812867968612,0.9933788586721529,-2.3116590581770424,-1.6043800007356066,0.02086382059580455,1.6476947075158588,2.286918091635994
C2,log,5600,-0.0028532682150513187,0.9982040836640143,-2.2814253053782,-1.6281133024090986,0.006601813234325066,1.6544373853144902,2.294263876986299
C2,identity,5600,0.009886366341367013,0.9947048801370034,-2.3092714459065933,-1.6363388278348432,0.03448549145301408,1.6364169351449103,2.289372951735464
