Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,8,NB,ZIP--ZINB,-46951.04730435013,-44988.54599386035,3925.0026209795615,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,P+NB,ZIP--ZINB,-45594.561482738565,-44988.54599386035,1212.0309777564253,nan,2,1.691240797353184e-264,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,ZIP,ZIP--ZINB,-72358.21859753379,-44988.54599386035,54739.34520734688,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,ZINB,ZIP--ZINB,-46214.33791506378,-44988.54599386035,2451.5838424068497,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,8,Z+P+NB,ZIP--ZINB,-45060.14107715405,-44988.54599386035,143.19016658738838,2,0,8.065854697675389e-32,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,6,Poisson,ZIP--ZINB,-100545.00651910031,-44968.4330229252,111153.14699235022,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,NB,ZIP--ZINB,-46892.818391186796,-44968.4330229252,3848.770736523191,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,P+NB,ZIP--ZINB,-45568.03832097517,-44968.4330229252,1199.2105960999324,nan,2,1.0285304770888924e-261,True,chi-bar² heuristic; k=2
D1,Dataset 1,6,ZIP,ZIP--ZINB,-72287.38698340478,-44968.4330229252,54637.90792095916,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,ZINB,ZIP--ZINB,-46166.03718335496,-44968.4330229252,2395.208320859514,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,6,Z+P+NB,ZIP--ZINB,-45031.360597761966,-44968.4330229252,125.85514967353083,2,0,4.687070531103313e-28,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,0,Poisson,ZIP--ZINB,-96454.1287596125,-44265.33089898291,104377.59572125919,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,NB,ZIP--ZINB,-46221.442010738334,-44265.33089898291,3912.2222235108493,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,P+NB,ZIP--ZINB,-44881.69967629724,-44265.33089898291,1232.737554628664,nan,2,5.390998719147304e-269,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,ZIP,ZIP--ZINB,-69533.05900924628,-44265.33089898291,50535.45622052674,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,ZINB,ZIP--ZINB,-45461.19430404533,-44265.33089898291,2391.7268101248483,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,Z+P+NB,ZIP--ZINB,-44329.78726276418,-44265.33089898291,128.91272756253602,2,0,1.0161478117345975e-28,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,2,Poisson,ZIP--ZINB,-98548.57913035358,-44370.20530300689,108356.74765469338,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,NB,ZIP--ZINB,-46278.05642360437,-44370.20530300689,3815.7022411949583,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,P+NB,ZIP--ZINB,-44985.70575431326,-44370.20530300689,1231.0009026127373,nan,2,1.2846703586521556e-268,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,ZIP,ZIP--ZINB,-70633.35422301057,-44370.20530300689,52526.29784000735,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,2,ZINB,ZIP--ZINB,-45530.41908317343,-44370.20530300689,2320.4275603330752,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,2,Z+P+NB,ZIP--ZINB,-44411.74188178148,-44370.20530300689,83.0731575491809,2,0,9.138881394885655e-19,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,11,Poisson,ZIP--ZINB,-97045.55338575089,-44571.93321148958,104947.24034852261,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,NB,ZIP--ZINB,-46577.0395511635,-44571.93321148958,4010.2126793478383,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,11,P+NB,ZIP--ZINB,-45148.609660103386,-44571.93321148958,1153.3528972276108,nan,2,9.34255083653165e-252,True,chi-bar² heuristic; k=2
