Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,6,gamma_nb[1],$\gamma_{21}$,-3.0,-2.807812584487974
D1,Dataset 1,0,beta_z[0],$\beta_{10}$,2.0,2.0546085489012764
D1,Dataset 1,0,beta_z[1],$\beta_{11}$,1.0,0.9574114691285966
D1,Dataset 1,0,gamma_z[0],$\gamma_{10}$,-2.0,-1.964875152955788
D1,Dataset 1,0,gamma_z[1],$\gamma_{11}$,1.0,0.9891233577389686
D1,Dataset 1,0,beta_nb[0],$\beta_{20}$,4.0,3.9200650548843785
D1,Dataset 1,0,beta_nb[1],$\beta_{21}$,3.5,3.317131910753699
D1,Dataset 1,0,gamma_nb[0],$\gamma_{20}$,1.0,1.3373596515672472
D1,Dataset 1,0,gamma_nb[1],$\gamma_{21}$,-3.0,-3.642083033216918
D1,Dataset 1,2,beta_z[0],$\beta_{10}$,2.0,1.9447053347649508
D1,Dataset 1,2,beta_z[1],$\beta_{11}$,1.0,1.0356585866585233
D1,Dataset 1,2,gamma_z[0],$\gamma_{10}$,-2.0,-1.8675727238168132
D1,Dataset 1,2,gamma_z[1],$\gamma_{11}$,1.0,0.9611394018399939
D1,Dataset 1,2,beta_nb[0],$\beta_{20}$,4.0,3.4206648992862947
D1,Dataset 1,2,beta_nb[1],$\beta_{21}$,3.5,3.6509197996810245
D1,Dataset 1,2,gamma_nb[0],$\gamma_{20}$,1.0,0.7615881582532145
D1,Dataset 1,2,gamma_nb[1],$\gamma_{21}$,-3.0,-3.358744892245104
D1,Dataset 1,11,beta_z[0],$\beta_{10}$,2.0,2.08213351965284
D1,Dataset 1,11,beta_z[1],$\beta_{11}$,1.0,0.9678698474543523
D1,Dataset 1,11,gamma_z[0],$\gamma_{10}$,-2.0,-1.7654423114993325
D1,Dataset 1,11,gamma_z[1],$\gamma_{11}$,1.0,0.8715689493989114
D1,Dataset 1,11,beta_nb[0],$\beta_{20}$,4.0,3.8967919938811386
D1,Dataset 1,11,beta_nb[1],$\beta_{21}$,3.5,3.7866824112834956
D1,Dataset 1,11,gamma_nb[0],$\gamma_{20}$,1.0,1.2028872800468502
D1,Dataset 1,11,gamma_nb[1],$\gamma_{21}$,-3.0,-3.625041128166568
D1,Dataset 1,12,beta_z[0],$\beta_{10}$,2.0,1.9770388596203146
D1,Dataset 1,12,beta_z[1],$\beta_{11}$,1.0,1.0241374103954943
D1,Dataset 1,12,gamma_z[0],$\gamma_{10}$,-2.0,-2.078061015578553
D1,Dataset 1,12,gamma_z[1],$\gamma_{11}$,1.0,1.0310734832254258
D1,Dataset 1,12,beta_nb[0],$\beta_{20}$,4.0,4.313547533812046
D1,Dataset 1,12,beta_nb[1],$\beta_{21}$,3.5,3.514051090271712
D1,Dataset 1,12,gamma_nb[0],$\gamma_{20}$,1.0,1.1372609814397838
D1,Dataset 1,12,gamma_nb[1],$\gamma_{21}$,-3.0,-2.9133920127592368
D1,Dataset 1,1,beta_z[0],$\beta_{10}$,2.0,1.937984286705233
D1,Dataset 1,1,beta_z[1],$\beta_{11}$,1.0,1.0386650042865293
D1,Dataset 1,1,gamma_z[0],$\gamma_{10}$,-2.0,-1.9672503517807343
D1,Dataset 1,1,gamma_z[1],$\gamma_{11}$,1.0,0.9840179768807782
D1,Dataset 1,1,beta_nb[0],$\beta_{20}$,4.0,4.353171281772258
D1,Dataset 1,1,beta_nb[1],$\beta_{21}$,3.5,3.1853249480957446
D1,Dataset 1,1,gamma_nb[0],$\gamma_{20}$,1.0,1.545822414171548
D1,Dataset 1,1,gamma_nb[1],$\gamma_{21}$,-3.0,-4.271115099336567
D1,Dataset 1,13,beta_z[0],$\beta_{10}$,2.0,2.0278080258462636
D1,Dataset 1,13,beta_z[1],$\beta_{11}$,1.0,0.9974821431896014
D1,Dataset 1,13,gamma_z[0],$\gamma_{10}$,-2.0,-2.0032277277390627
D1,Dataset 1,13,gamma_z[1],$\gamma_{11}$,1.0,0.9918179779853555
D1,Dataset 1,13,beta_nb[0],$\beta_{20}$,4.0,4.125124583795657
D1,Dataset 1,13,beta_nb[1],$\beta_{21}$,3.5,3.39193722237188
D1,Dataset 1,13,gamma_nb[0],$\gamma_{20}$,1.0,1.2291011416724629
D1,Dataset 1,13,gamma_nb[1],$\gamma_{21}$,-3.0,-3.192548441219485
D1,Dataset 1,5,beta_z[0],$\beta_{10}$,2.0,1.9878753660595028
D1,Dataset 1,5,beta_z[1],$\beta_{11}$,1.0,1.016501372260623
D1,Dataset 1,5,gamma_z[0],$\gamma_{10}$,-2.0,-1.9766744442509045
D1,Dataset 1,5,gamma_z[1],$\gamma_{11}$,1.0,1.0078647324558814
