Scenario,Dataset,Rep,elapsed_sec
D2,Dataset 2,58,78.41495943069458
D2,Dataset 2,61,84.45129823684692
D2,Dataset 2,60,89.28745937347412
D2,Dataset 2,62,91.29650664329529
D2,Dataset 2,59,99.57110118865967
D2,Dataset 2,63,74.46901321411133
D2,Dataset 2,64,91.56250357627869
D2,Dataset 2,65,87.17023491859436
D2,Dataset 2,67,85.37078595161438
D2,Dataset 2,68,85.00549650192261
D2,Dataset 2,71,86.95547652244568
D2,Dataset 2,70,89.66747403144836
D2,Dataset 2,72,81.07804489135742
D2,Dataset 2,69,96.05672931671143
D2,Dataset 2,73,81.39264702796936
D2,Dataset 2,74,87.82719683647156
D2,Dataset 2,76,79.94222807884216
D2,Dataset 2,66,121.6736524105072
D2,Dataset 2,75,87.67126893997192
D2,Dataset 2,78,85.1973328590393
D2,Dataset 2,79,76.26596593856812
D2,Dataset 2,77,108.81005024909973
D2,Dataset 2,81,77.49764847755432
D2,Dataset 2,84,79.94116234779358
D2,Dataset 2,82,88.30237221717834
D2,Dataset 2,83,83.46852374076843
D2,Dataset 2,87,86.3939905166626
D2,Dataset 2,80,114.50718283653259
D2,Dataset 2,85,102.04479026794434
D2,Dataset 2,89,82.89456081390381
D2,Dataset 2,88,84.10415196418762
D2,Dataset 2,86,107.4565966129303
D2,Dataset 2,91,87.5627167224884
D2,Dataset 2,92,83.100017786026
D2,Dataset 2,90,105.88068079948425
D2,Dataset 2,93,79.7569088935852
D2,Dataset 2,94,78.02121376991272
D2,Dataset 2,95,94.74951410293579
D2,Dataset 2,98,84.37127351760864
D2,Dataset 2,96,92.79020714759827
D2,Dataset 2,97,95.23135876655579
D2,Dataset 2,99,87.14709377288818
D3,Dataset 3,0,99.33057737350464
D3,Dataset 3,1,90.67001533508301
D3,Dataset 3,2,96.72489500045776
D3,Dataset 3,3,97.72853827476501
D3,Dataset 3,5,95.36012411117554
D3,Dataset 3,6,89.03885912895203
D3,Dataset 3,4,104.17486619949341
D3,Dataset 3,8,98.78693318367004
D3,Dataset 3,7,99.43660521507263
D3,Dataset 3,9,104.71966195106506
D3,Dataset 3,12,88.22603797912598
D3,Dataset 3,11,99.05024313926697
D3,Dataset 3,13,93.14490127563477
D3,Dataset 3,10,107.84641814231873
D3,Dataset 3,14,100.62298560142517
D3,Dataset 3,15,85.5349383354187
D3,Dataset 3,16,96.99126815795898
D3,Dataset 3,18,95.28024649620056
D3,Dataset 3,17,96.81623911857605
D3,Dataset 3,20,95.85221099853516
D3,Dataset 3,19,100.53842949867249
D3,Dataset 3,21,99.45652103424072
D3,Dataset 3,22,92.54580521583557
D3,Dataset 3,23,107.1221182346344
D3,Dataset 3,24,99.45578455924988
D3,Dataset 3,25,88.68461561203003
D3,Dataset 3,27,91.04644584655762
D3,Dataset 3,29,82.4144594669342
D3,Dataset 3,26,101.62667083740234
D3,Dataset 3,30,90.9877417087555
D3,Dataset 3,28,104.83374667167664
D3,Dataset 3,31,100.53068399429321
D3,Dataset 3,33,90.96613454818726
D3,Dataset 3,32,98.32256436347961
D3,Dataset 3,34,94.26661777496338
D3,Dataset 3,36,93.98500776290894
D3,Dataset 3,35,101.81186962127686
D3,Dataset 3,37,96.23050451278687
D3,Dataset 3,38,88.69490170478821
D3,Dataset 3,39,94.79555678367615
D3,Dataset 3,41,96.66057300567627
D3,Dataset 3,42,96.42687177658081
D3,Dataset 3,44,95.30672526359558
D3,Dataset 3,43,100.4384458065033
D3,Dataset 3,40,121.14661645889282
D3,Dataset 3,45,101.05557012557983
D3,Dataset 3,46,95.50966835021973
D3,Dataset 3,47,106.3293673992157
D3,Dataset 3,48,99.41835117340088
D3,Dataset 3,49,96.81322717666626
D3,Dataset 3,52,88.80886816978455
D3,Dataset 3,51,98.56900262832642
D3,Dataset 3,50,105.15252685546875
D3,Dataset 3,53,98.31431078910828
D3,Dataset 3,54,107.82335996627808
D3,Dataset 3,56,90.04156994819641
D3,Dataset 3,57,90.20322775840759
D3,Dataset 3,58,90.65862345695496
D3,Dataset 3,55,105.75345540046692
D3,Dataset 3,60,91.94367837905884
D3,Dataset 3,59,111.18685150146484
D3,Dataset 3,62,87.53944659233093
D3,Dataset 3,64,85.413889169693
D3,Dataset 3,61,102.60607600212097
D3,Dataset 3,63,95.84319043159485
D3,Dataset 3,65,94.2474958896637
D3,Dataset 3,66,93.65863752365112
D3,Dataset 3,67,92.88987350463867
D3,Dataset 3,69,91.10074305534363
D3,Dataset 3,72,89.80759334564209
D3,Dataset 3,68,125.68410396575928
D3,Dataset 3,74,91.98936104774475
D3,Dataset 3,73,102.27702164649963
D3,Dataset 3,71,108.4446451663971
D3,Dataset 3,70,120.21851348876953
D3,Dataset 3,77,86.01183295249939
D3,Dataset 3,76,95.69574522972107
D3,Dataset 3,75,102.033358335495
D3,Dataset 3,78,94.57200598716736
D3,Dataset 3,79,95.40783357620239
D3,Dataset 3,80,94.60182738304138
D3,Dataset 3,81,92.94288444519043
D3,Dataset 3,82,96.6331467628479
D3,Dataset 3,83,87.17615795135498
D3,Dataset 3,84,95.63019394874573
D3,Dataset 3,89,85.43803024291992
D3,Dataset 3,86,93.81478524208069
D3,Dataset 3,87,92.69360280036926
D3,Dataset 3,85,108.54225611686707
D3,Dataset 3,88,95.65978717803955
D3,Dataset 3,90,100.99187588691711
D3,Dataset 3,92,94.67876696586609
D3,Dataset 3,94,96.82439875602722
D3,Dataset 3,93,104.51169276237488
D3,Dataset 3,91,108.82911825180054
D3,Dataset 3,97,93.41275548934937
D3,Dataset 3,95,100.54785084724426
D3,Dataset 3,96,100.20470690727234
D3,Dataset 3,98,98.76692581176758
D4,Dataset 4,0,73.81459259986877
D3,Dataset 3,99,91.3310387134552
