Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D1,Dataset 1,14,logit_rho,optimizer,0.8472978603872034,0.9478143267605351,0.06025550795064061,0.8297135311772795,1.0659151223437906,True,inverse
D1,Dataset 1,14,beta_z[0],optimizer,2.0,2.0549879448164963,0.04290704343547575,1.970890139682964,2.139085749950029,True,inverse
D1,Dataset 1,14,beta_z[1],optimizer,1.0,0.93733884395834,0.03656798863766601,0.8656655862285146,1.0090121016881655,True,inverse
D1,Dataset 1,14,gamma_z[0],optimizer,-2.0,-1.9110184375374033,0.09871289677599811,-2.1044957152183597,-1.717541159856447,True,inverse
D1,Dataset 1,14,gamma_z[1],optimizer,1.0,0.9933093014361645,0.04913536115966995,0.8970039935632114,1.0896146093091175,True,inverse
D1,Dataset 1,14,beta_nb[0],optimizer,4.0,3.9428632238212016,0.4736171703614212,3.014573569912816,4.871152877729587,True,inverse
D1,Dataset 1,14,beta_nb[1],optimizer,3.5,3.562844877928707,0.27459392409469047,3.024640786703114,4.1010489691543,True,inverse
D1,Dataset 1,14,gamma_nb[0],optimizer,1.0,1.547109134944003,0.2660379577011165,1.0256747378498146,2.0685435320381913,False,inverse
D1,Dataset 1,14,gamma_nb[1],optimizer,-3.0,-4.202549366045638,0.5990008551795251,-5.376591042197507,-3.0285076898937686,False,inverse
D1,Dataset 1,14,log_alpha,optimizer,0.4054651081081644,0.3512742838807343,0.06964559069031913,0.2147689261277088,0.48777964163375975,True,inverse
D1,Dataset 1,14,rho,natural_delta,0.7,0.720675409119558,0.012129576183031125,0.696901439800817,0.744449378438299,True,inverse
D1,Dataset 1,14,alpha,natural_delta,1.5,1.4208769961261665,0.09895781769349314,1.2269196734469199,1.614834318805413,True,inverse
D1,Dataset 1,10,logit_rho,optimizer,0.8472978603872034,0.846437856389364,0.0654684037476168,0.7181197850440351,0.9747559277346929,True,inverse
D1,Dataset 1,10,beta_z[0],optimizer,2.0,2.0168390767156774,0.04398026407624285,1.9306377591262414,2.1030403943051135,True,inverse
D1,Dataset 1,10,beta_z[1],optimizer,1.0,0.9856010262578699,0.03643176948370519,0.9141947580698078,1.057007294445932,True,inverse
D1,Dataset 1,10,gamma_z[0],optimizer,-2.0,-2.0264318517718314,0.12984012731970115,-2.2809185013184456,-1.7719452022252171,True,inverse
D1,Dataset 1,10,gamma_z[1],optimizer,1.0,0.9907543273765167,0.05981821026028255,0.8735106352663629,1.1079980194866705,True,inverse
D1,Dataset 1,10,beta_nb[0],optimizer,4.0,3.8627119482783243,0.4302074358352099,3.019505374041313,4.7059185225153355,True,inverse
D1,Dataset 1,10,beta_nb[1],optimizer,3.5,3.2653547395124303,0.25132088185799506,2.77276581107076,3.7579436679541005,True,inverse
D1,Dataset 1,10,gamma_nb[0],optimizer,1.0,0.967436101832747,0.2230638225425005,0.530231009649446,1.404641194016048,True,inverse
D1,Dataset 1,10,gamma_nb[1],optimizer,-3.0,-3.085980709072184,0.48483155324297456,-4.036250553428414,-2.1357108647159535,True,inverse
D1,Dataset 1,10,log_alpha,optimizer,0.4054651081081644,0.4886456952100853,0.07203103700593763,0.3474648626784475,0.629826527741723,True,inverse
D1,Dataset 1,10,rho,natural_delta,0.7,0.699819368102756,0.013753092923695542,0.6728633059723128,0.7267754302331992,True,inverse
D1,Dataset 1,10,alpha,natural_delta,1.5,1.630107062553922,0.11741830214646184,1.3999671903468567,1.8602469347609873,True,inverse
D1,Dataset 1,4,logit_rho,optimizer,0.8472978603872034,0.8589724871658575,0.06197409365119305,0.7375032636095191,0.9804417107221959,True,inverse
D1,Dataset 1,4,beta_z[0],optimizer,2.0,2.0842299227577783,0.04425624115794148,1.997487690088213,2.170972155427344,True,inverse
D1,Dataset 1,4,beta_z[1],optimizer,1.0,0.9252555111990487,0.03646355198186883,0.8537869493145858,0.9967240730835116,False,inverse
D1,Dataset 1,4,gamma_z[0],optimizer,-2.0,-1.9206594731388205,0.12437869675739825,-2.164441718783321,-1.67687722749432,True,inverse
D1,Dataset 1,4,gamma_z[1],optimizer,1.0,0.938206560260433,0.05804690537578115,0.8244346257239019,1.0519784947969641,True,inverse
D1,Dataset 1,4,beta_nb[0],optimizer,4.0,4.260636623581817,0.48226325933903647,3.3154006352773058,5.2058726118863285,True,inverse
D1,Dataset 1,4,beta_nb[1],optimizer,3.5,3.519351131088227,0.2708078125468755,2.988567818496351,4.050134443680103,True,inverse
D1,Dataset 1,4,gamma_nb[0],optimizer,1.0,0.9426916710297313,0.21084801249728238,0.5294295665350578,1.3559537755244047,True,inverse
D1,Dataset 1,4,gamma_nb[1],optimizer,-3.0,-2.9933356051750852,0.4818231801109426,-3.9377090381925326,-2.048962172157638,True,inverse
D1,Dataset 1,4,log_alpha,optimizer,0.4054651081081644,0.3755354820326133,0.0687670176001598,0.24075212753630007,0.5103188365289265,True,inverse
D1,Dataset 1,4,rho,natural_delta,0.7,0.7024459327720426,0.012953555114664122,0.6770569647473009,0.7278349007967843,True,inverse
D1,Dataset 1,4,alpha,natural_delta,1.5,1.4557707450184272,0.10010901244447992,1.2595570806272465,1.651984409409608,True,inverse
D1,Dataset 1,9,logit_rho,optimizer,0.8472978603872034,0.851611413925793,0.061334428173378655,0.7313959347059709,0.9718268931456151,True,inverse
D1,Dataset 1,9,beta_z[0],optimizer,2.0,1.976289710786864,0.044095494718209026,1.8898625411391743,2.0627168804345537,True,inverse
D1,Dataset 1,9,beta_z[1],optimizer,1.0,0.9966578105073374,0.03703049426377773,0.924078041750333,1.0692375792643418,True,inverse
D1,Dataset 1,9,gamma_z[0],optimizer,-2.0,-1.945260899813249,0.12458432541587504,-2.1894461776283642,-1.701075621998134,True,inverse
D1,Dataset 1,9,gamma_z[1],optimizer,1.0,0.9803093760031556,0.05815875325295014,0.8663182196273733,1.0943005323789379,True,inverse
D1,Dataset 1,9,beta_nb[0],optimizer,4.0,3.7760349493706156,0.43244488655332863,2.9284429717260916,4.62362692701514,True,inverse
D1,Dataset 1,9,beta_nb[1],optimizer,3.5,3.7399962062457304,0.2569167972873835,3.2364392835624587,4.243553128929002,True,inverse
D1,Dataset 1,9,gamma_nb[0],optimizer,1.0,0.8804805107561144,0.2175720467051281,0.45403929921406333,1.3069217222981655,True,inverse
D1,Dataset 1,9,gamma_nb[1],optimizer,-3.0,-2.7910314377433583,0.43953078041227805,-3.6525117673514234,-1.9295511081352932,True,inverse
D1,Dataset 1,9,log_alpha,optimizer,0.4054651081081644,0.3778343467255257,0.06741975618711643,0.24569162459877747,0.5099770688522739,True,inverse
D1,Dataset 1,9,rho,natural_delta,0.7,0.7009050640313153,0.01285797504094237,0.6757034329510682,0.7261066951115623,True,inverse
D1,Dataset 1,9,alpha,natural_delta,1.5,1.459121214647752,0.09837359653900062,1.2663089654313107,1.6519334638641932,True,inverse
D1,Dataset 1,3,logit_rho,optimizer,0.8472978603872034,0.8315063995917821,0.06500701458917961,0.70409265099699,0.9589201481865741,True,inverse
D1,Dataset 1,3,beta_z[0],optimizer,2.0,1.989401726113466,0.04318737375005707,1.9047544735633541,2.074048978663578,True,inverse
D1,Dataset 1,3,beta_z[1],optimizer,1.0,0.9998477771002634,0.036958137463592666,0.9274098276716218,1.072285726528905,True,inverse
D1,Dataset 1,3,gamma_z[0],optimizer,-2.0,-2.0451652447448847,0.14297307544562624,-2.325392472618312,-1.7649380168714572,True,inverse
D1,Dataset 1,3,gamma_z[1],optimizer,1.0,1.031366976475105,0.06478546730139986,0.9043874605643613,1.1583464923858486,True,inverse
D1,Dataset 1,3,beta_nb[0],optimizer,4.0,4.080693715165351,0.46068801173526536,3.177745212164231,4.983642218166471,True,inverse
