Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D1,Dataset 1,3,D1,ZINB,identity,-45578.45588171367,91166.91176342734,91206.42920119003,20000,5,True,14,0.0013735392175488886,not_computed,nan,0,Optimization terminated successfully,14.344033241271973
D1,Dataset 1,3,D1,P+NB,identity,-44974.30891407191,89960.61782814382,90008.03875345904,20000,6,True,15,0.00010042769628446383,not_computed,nan,0,Optimization terminated successfully,10.38903260231018
D1,Dataset 1,3,D1,Z+P+NB,identity,-44424.1508514014,88864.3017028028,88927.52960322308,20000,8,True,27,0.00044451079566865115,not_computed,nan,0,Optimization terminated successfully,27.911957502365112
D1,Dataset 1,3,D1,ZIP--ZINB,identity,-44352.261840897816,88724.52368179563,88803.558557321,20000,10,True,17,0.00019127525847490427,inverse,3.8977330943786526,10,Optimization terminated successfully,44.23547410964966
D1,Dataset 1,7,D1,Poisson,identity,-98260.31984079683,196524.63968159366,196540.44665669874,20000,2,True,5,0.00012558151062336265,not_computed,nan,0,Optimization terminated successfully,0.7659032344818115
D1,Dataset 1,7,D1,NB,identity,-46494.99826396565,92995.9965279313,93019.70699058891,20000,3,True,9,0.00013753502861391098,not_computed,nan,0,Optimization terminated successfully,2.696425199508667
D1,Dataset 1,7,D1,ZIP,identity,-70754.75282505428,141517.50565010856,141549.11960031872,20000,4,True,11,0.0001987038802271357,not_computed,nan,0,Optimization terminated successfully,6.4559149742126465
D1,Dataset 1,7,D1,ZINB,identity,-45746.744549761024,91503.48909952205,91543.00653728473,20000,5,True,18,0.0006200714131825436,not_computed,nan,0,Optimization terminated successfully,14.240561485290527
D1,Dataset 1,7,D1,P+NB,identity,-45118.619803023816,90249.23960604763,90296.66053136285,20000,6,True,13,7.183964577855972e-05,not_computed,nan,0,Optimization terminated successfully,12.151849508285522
D1,Dataset 1,7,D1,Z+P+NB,identity,-44581.18114320602,89178.36228641204,89241.59018683233,20000,8,True,20,0.0012788231527121052,not_computed,nan,0,Optimization terminated successfully,27.70312213897705
D1,Dataset 1,7,D1,ZIP--ZINB,identity,-44505.09805151735,89030.1961030347,89109.23097856007,20000,10,True,16,0.00018293821095149987,inverse,3.399805565786846,10,Optimization terminated successfully,42.61203718185425
D1,Dataset 1,8,D1,Poisson,identity,-100823.23543659376,201650.47087318753,201666.2778482926,20000,2,True,7,1.88228447599581e-05,not_computed,nan,0,Optimization terminated successfully,0.9582886695861816
D1,Dataset 1,8,D1,NB,identity,-46951.04730435013,93908.09460870027,93931.80507135787,20000,3,True,9,0.00031889519843275593,not_computed,nan,0,Optimization terminated successfully,2.3826799392700195
D1,Dataset 1,8,D1,ZIP,identity,-72358.21859753379,144724.43719506758,144756.05114527774,20000,4,True,12,0.0001899582245769027,not_computed,nan,0,Optimization terminated successfully,4.583498001098633
D1,Dataset 1,8,D1,ZINB,identity,-46214.33791506378,92438.67583012755,92478.19326789024,20000,5,True,23,0.0008099376823433313,not_computed,nan,0,Optimization terminated successfully,12.700995206832886
D1,Dataset 1,8,D1,P+NB,identity,-45594.561482738565,91201.12296547713,91248.54389079235,20000,6,True,17,0.0006023585824905808,not_computed,nan,0,Optimization terminated successfully,9.987377882003784
D1,Dataset 1,8,D1,Z+P+NB,identity,-45060.14107715405,90136.2821543081,90199.51005472838,20000,8,True,30,0.0004650799387413418,not_computed,nan,0,Optimization terminated successfully,27.551398038864136
D1,Dataset 1,8,D1,ZIP--ZINB,identity,-44988.54599386035,89997.0919877207,90076.12686324607,20000,10,True,15,8.568572064410196e-05,inverse,3.88818557811958,10,Optimization terminated successfully,48.558107137680054
D1,Dataset 1,6,D1,Poisson,identity,-100545.00651910031,201094.01303820062,201109.8200133057,20000,2,True,6,0.00022705924576127412,not_computed,nan,0,Optimization terminated successfully,0.71714186668396
D1,Dataset 1,6,D1,NB,identity,-46892.818391186796,93791.63678237359,93815.3472450312,20000,3,True,11,3.137928580443372e-05,not_computed,nan,0,Optimization terminated successfully,1.9988250732421875
D1,Dataset 1,6,D1,ZIP,identity,-72287.38698340478,144582.77396680956,144614.38791701972,20000,4,True,12,0.00048005463053013564,not_computed,nan,0,Optimization terminated successfully,4.845785856246948
D1,Dataset 1,6,D1,ZINB,identity,-46166.03718335496,92342.07436670992,92381.5918044726,20000,5,True,14,0.00017369057156721435,not_computed,nan,0,Optimization terminated successfully,11.003931283950806
D1,Dataset 1,6,D1,P+NB,identity,-45568.03832097517,91148.07664195033,91195.49756726556,20000,6,True,16,0.00028695371507225786,not_computed,nan,0,Optimization terminated successfully,10.536817789077759
D1,Dataset 1,6,D1,Z+P+NB,identity,-45031.360597761966,90078.72119552393,90141.94909594422,20000,8,True,20,0.0003852593078861877,not_computed,nan,0,Optimization terminated successfully,32.64703035354614
D1,Dataset 1,6,D1,ZIP--ZINB,identity,-44968.4330229252,89956.8660458504,90035.90092137577,20000,10,True,38,0.0003448909083568763,inverse,4.452238081407923,10,Optimization terminated successfully,45.20794439315796
D1,Dataset 1,0,D1,Poisson,identity,-96454.1287596125,192912.257519225,192928.0644943301,20000,2,True,7,2.788241234519262e-05,not_computed,nan,0,Optimization terminated successfully,0.688770055770874
D1,Dataset 1,0,D1,NB,identity,-46221.442010738334,92448.88402147667,92472.59448413427,20000,3,True,9,0.00012001933164818013,not_computed,nan,0,Optimization terminated successfully,1.517455816268921
D1,Dataset 1,0,D1,ZIP,identity,-69533.05900924628,139074.11801849256,139105.73196870272,20000,4,True,11,0.001422262152571463,not_computed,nan,0,Optimization terminated successfully,5.9563939571380615
D1,Dataset 1,0,D1,ZINB,identity,-45461.19430404533,90932.38860809067,90971.90604585335,20000,5,True,18,0.00039388002447771076,not_computed,nan,0,Optimization terminated successfully,14.468238115310669
D1,Dataset 1,0,D1,P+NB,identity,-44881.69967629724,89775.39935259448,89822.8202779097,20000,6,True,15,0.0006494179761240559,not_computed,nan,0,Optimization terminated successfully,10.709975719451904
D1,Dataset 1,0,D1,Z+P+NB,identity,-44329.78726276418,88675.57452552835,88738.80242594864,20000,8,True,20,0.00021915618651391355,not_computed,nan,0,Optimization terminated successfully,25.87108016014099
D1,Dataset 1,0,D1,ZIP--ZINB,identity,-44265.33089898291,88550.66179796582,88629.69667349118,20000,10,True,17,3.936875536433848e-05,inverse,3.787072353040269,10,Optimization terminated successfully,48.88170909881592
D1,Dataset 1,2,D1,Poisson,identity,-98548.57913035358,197101.15826070716,197116.96523581224,20000,2,True,8,0.0002632214222534346,not_computed,nan,0,Optimization terminated successfully,0.797675609588623
D1,Dataset 1,2,D1,NB,identity,-46278.05642360437,92562.11284720874,92585.82330986635,20000,3,True,9,0.00011262140051648828,not_computed,nan,0,Optimization terminated successfully,1.8907115459442139
D1,Dataset 1,2,D1,ZIP,identity,-70633.35422301057,141274.70844602113,141306.3223962313,20000,4,True,10,3.396202144981264e-05,not_computed,nan,0,Optimization terminated successfully,6.059186935424805
D1,Dataset 1,2,D1,ZINB,identity,-45530.41908317343,91070.83816634686,91110.35560410954,20000,5,True,15,0.001043783923801521,not_computed,nan,0,Optimization terminated successfully,12.35675859451294
D1,Dataset 1,2,D1,P+NB,identity,-44985.70575431326,89983.41150862652,90030.83243394174,20000,6,True,18,0.0002605853757593479,not_computed,nan,0,Optimization terminated successfully,9.13585114479065
D1,Dataset 1,2,D1,Z+P+NB,identity,-44411.74188178148,88839.48376356297,88902.71166398325,20000,8,True,20,0.0011849079268256568,not_computed,nan,0,Optimization terminated successfully,26.57746458053589
D1,Dataset 1,2,D1,ZIP--ZINB,identity,-44370.20530300689,88760.41060601379,88839.44548153915,20000,10,True,17,0.00045962152563949754,inverse,2.638944739762557,10,Optimization terminated successfully,51.743481159210205
D1,Dataset 1,11,D1,Poisson,identity,-97045.55338575089,194095.10677150177,194110.91374660685,20000,2,True,6,5.294160583346752e-05,not_computed,nan,0,Optimization terminated successfully,0.8538126945495605
