Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,19,omega,0.1486704167251628,0.14099259516878324
D1,Dataset 1,18,rho,0.7,0.6938373258447306
D1,Dataset 1,18,lambda,3.504056823297213,3.545390334370808
D1,Dataset 1,18,pi,0.39651033933279717,0.3855533984481875
D1,Dataset 1,18,varphi,9.264198881540247,9.228604776802658
D1,Dataset 1,18,alpha,1.5,1.5463953725580022
D1,Dataset 1,18,omega,0.1465771778787733,0.16950683448301584
D1,Dataset 1,17,rho,0.7,0.7152592994249953
D1,Dataset 1,17,lambda,3.489060656553614,3.4931095065003683
D1,Dataset 1,17,pi,0.3931569554724813,0.3923296981770095
D1,Dataset 1,17,varphi,9.21171229793765,9.45410410763073
D1,Dataset 1,17,alpha,1.5,1.4655601103835163
D1,Dataset 1,17,omega,0.1486033055819755,0.15344351405043968
D1,Dataset 1,21,rho,0.7,0.7010593103135083
D1,Dataset 1,21,lambda,3.491862748092123,3.5405542006505
D1,Dataset 1,21,pi,0.3940028108595894,0.38817003448157505
D1,Dataset 1,21,varphi,9.22151961832243,9.144650594047091
D1,Dataset 1,21,alpha,1.5,1.3968984932997852
D1,Dataset 1,21,omega,0.14958541070591955,0.16938133329114058
D1,Dataset 1,15,rho,0.7,0.6992528949657567
D1,Dataset 1,15,lambda,3.4943293275733276,3.507100812369
D1,Dataset 1,15,pi,0.3942287214617494,0.38532606671761443
D1,Dataset 1,15,varphi,9.230152646506644,9.347340696010916
D1,Dataset 1,15,alpha,1.5,1.4704768080189201
D1,Dataset 1,15,omega,0.14707088579825195,0.18242889368524928
D1,Dataset 1,26,rho,0.7,0.7115628175984726
D1,Dataset 1,26,lambda,3.5022179237018727,3.544162172182024
D1,Dataset 1,26,pi,0.3960038694402497,0.40222813574020994
D1,Dataset 1,26,varphi,9.257762732956555,9.449974267625977
D1,Dataset 1,26,alpha,1.5,1.4670975544035665
D1,Dataset 1,26,omega,0.14607827960503178,0.13989131010642325
D1,Dataset 1,20,rho,0.7,0.7019842834879558
D1,Dataset 1,20,lambda,3.490743397511872,3.4619180110410133
D1,Dataset 1,20,pi,0.3934863900239237,0.38637916170063424
D1,Dataset 1,20,varphi,9.217601891291553,9.495656506621389
D1,Dataset 1,20,alpha,1.5,1.416625327171163
D1,Dataset 1,20,omega,0.14810868125430912,0.18189881050886197
D1,Dataset 1,27,rho,0.7,0.6938094742761085
D1,Dataset 1,27,lambda,3.50184471248967,3.4860683027815904
D1,Dataset 1,27,pi,0.3958769497405217,0.3863605185141054
