Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D3,Dataset 3,0,Z+P+NB,13.94188682571621,0.1,9,9,1.491948854177786,3.940900718258125,25.153242111206055
D3,Dataset 3,0,P+NB,1637.3251385077692,0.1,9,9,4.052473153682109,7.401637135621421,40.228137493133545
D3,Dataset 3,0,ZIP,6435.343689014775,0.1,9,9,4.549003462935111,7.061788497156521,37.31876087188721
D3,Dataset 3,0,ZINB,287.8850218729349,0.1,9,9,11.751424223777171,22.20725685608886,33.87613654136658
D3,Dataset 3,3,Z+P+NB,13.10491269043996,0.1,9,9,1.2328083736982889,2.524921839437593,23.851563930511475
D3,Dataset 3,3,P+NB,1448.311879102741,0.1,9,9,4.598973826133159,8.856261302321217,46.736653089523315
D3,Dataset 3,3,ZIP,7079.554085586311,0.1,9,9,5.413584390526012,10.276866018871441,43.9853241443634
D3,Dataset 3,3,ZINB,309.5893493537005,0.1,9,9,5.903911625938538,10.345439496876134,33.15842604637146
D3,Dataset 3,1,Z+P+NB,9.843408834607544,0.1,9,9,2.1202548394651077,4.489536048824448,24.418266773223877
D3,Dataset 3,1,P+NB,1680.415344499339,0.1,9,9,3.4013799026967413,8.503693803574787,49.311827421188354
D3,Dataset 3,1,ZIP,7832.121753527033,0.1,9,9,8.152157749511591,11.234788085755644,42.35285305976868
D3,Dataset 3,1,ZINB,230.78642551056146,0.1,9,9,6.951657412212727,12.17507651080923,31.6742103099823
D3,Dataset 3,2,Z+P+NB,6.57472768550906,0.2,9,9,2.945052063963481,7.595523773247985,23.874790906906128
D3,Dataset 3,2,P+NB,1703.1470776162423,0.1,9,9,2.1134313242014793,5.51792401346247,45.04678773880005
D3,Dataset 3,2,ZIP,5537.127238666799,0.1,9,9,4.561542668387927,7.898452163962428,47.909329891204834
D3,Dataset 3,2,ZINB,259.7997064262363,0.1,9,9,6.372371336796681,9.705449146324097,33.69499611854553
