dose,dic
3.0,6.0
3.0,5.0
3.0,7.0
3.0,6.0
3.0,5.0
3.0,4.0
3.0,6.0
3.0,8.0
3.0,4.0
3.0,7.0
3.0,7.0
3.0,7.0
3.0,6.0
3.0,4.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,2.0
3.0,5.0
3.0,5.0
3.0,6.0
3.0,4.0
3.0,0.0
3.0,0.0
3.0,7.0
3.0,6.0
3.0,7.0
3.0,9.0
3.0,7.0
3.0,6.0
3.0,5.0
3.0,5.0
3.0,7.0
3.0,3.0
3.0,3.0
3.0,9.0
3.0,9.0
3.0,3.0
3.0,9.0
3.0,8.0
3.0,5.0
3.0,5.0
3.0,7.0
3.0,5.0
3.0,7.0
3.0,5.0
3.0,6.0
3.0,5.0
3.0,4.0
3.0,4.0
3.0,5.0
3.0,7.0
3.0,5.0
3.0,8.0
3.0,6.0
3.0,7.0
3.0,8.0
3.0,5.0
3.0,6.0
3.0,6.0
3.0,6.0
3.0,0.0
3.0,9.0
3.0,3.0
3.0,4.0
3.0,0.0
3.0,7.0
3.0,5.0
3.0,0.0
3.0,6.0
3.0,2.0
3.0,5.0
3.0,4.0
3.0,6.0
3.0,4.0
3.0,0.0
3.0,0.0
3.0,6.0
3.0,4.0
3.0,6.0
3.0,4.0
3.0,3.0
3.0,0.0
3.0,6.0
3.0,5.0
3.0,5.0
3.0,4.0
3.0,7.0
3.0,4.0
3.0,5.0
3.0,3.0
3.0,7.0
3.0,5.0
3.0,5.0
3.0,9.0
3.0,5.0
3.0,6.0
3.0,3.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,7.0
3.0,6.0
3.0,5.0
3.0,4.0
3.0,10.0
3.0,8.0
3.0,5.0
3.0,4.0
3.0,4.0
3.0,7.0
3.0,9.0
3.0,8.0
3.0,6.0
3.0,3.0
3.0,7.0
3.0,3.0
3.0,7.0
3.0,5.0
3.0,0.0
3.0,6.0
3.0,8.0
3.0,5.0
3.0,7.0
3.0,8.0
3.0,7.0
3.0,4.0
3.0,6.0
3.0,5.0
3.0,5.0
3.0,7.0
3.0,12.0
3.0,4.0
3.0,7.0
3.0,9.0
3.0,8.0
3.0,5.0
3.0,8.0
3.0,6.0
3.0,8.0
3.0,5.0
3.0,6.0
3.0,6.0
3.0,10.0
3.0,1.0
3.0,4.0
3.0,6.0
3.0,6.0
3.0,7.0
3.0,6.0
3.0,6.0
3.0,3.0
3.0,2.0
3.0,8.0
3.0,7.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,2.0
3.0,6.0
3.0,6.0
3.0,7.0
3.0,0.0
3.0,3.0
3.0,2.0
3.0,6.0
3.0,3.0
3.0,3.0
3.0,7.0
3.0,5.0
3.0,5.0
3.0,0.0
3.0,0.0
3.0,0.0
3.0,5.0
3.0,3.0
3.0,5.0
3.0,7.0
3.0,8.0
3.0,5.0
3.0,3.0
3.0,4.0
3.0,4.0
3.0,3.0
3.0,0.0
3.0,1.0
3.0,2.0
3.0,8.0
3.0,5.0
3.0,6.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,4.0
3.0,4.0
3.0,5.0
3.0,5.0
3.0,2.0
3.0,3.0
3.0,3.0
