Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2,identity,3,Poisson,0.30356788635253906,True,28,-2828.4690196804904,5662.938039360981,5682.1601743372075,0.0020688695781814204,not_computed
C2,identity,3,NB,0.3515455722808838,True,21,-2359.99596626533,4727.99193253066,4753.621445832297,0.0005407599528606255,not_computed
C2,identity,3,ZIP,0.9238040447235107,True,29,-2288.0460737816247,4586.0921475632495,4618.129039190295,0.0012825162302334547,not_computed
C2,identity,3,ZINB,2.18526291847229,True,188,-2288.046067126867,4588.092134253734,4626.536404206188,0.015636569581218396,not_computed
C2,identity,3,P+NB,1.407820701599121,True,45,-2288.9941897823905,4593.988379564781,4645.247406168053,0.018055889357664598,not_computed
C2,identity,3,Z+P+NB,4.072224140167236,True,291,-2286.964507073725,4593.92901414745,4658.00279740154,0.0065443560388462885,not_computed
C2,identity,3,ZIP--ZINB,4.396275758743286,True,214,-2283.3822069639405,4590.764413927881,4667.6529538327895,0.2558170734643314,not_computed
H2AX1H60,log,1,Poisson,0.03268790245056152,True,10,-1273.8419107908253,2551.6838215816506,2560.0272227764726,2.6715447236647094e-05,not_computed
H2AX1H60,log,1,NB,0.06749343872070312,True,9,-1024.9745038596423,2055.9490077192845,2068.464109511517,3.865450201123721e-05,not_computed
H2AX1H60,log,1,ZIP,0.0785512924194336,True,14,-953.0200864122029,1914.0401728244058,1930.7269752140494,3.556686728112268e-05,not_computed
H2AX1H60,log,1,ZINB,0.15664935111999512,True,18,-949.0403460009577,1908.0806920019154,1928.93919498897,5.940566352169441e-05,not_computed
H2AX1H60,log,1,P+NB,0.2824363708496094,True,31,-936.7911988925531,1885.5823977851062,1910.6126013695716,0.00028052243835599566,not_computed
H2AX1H60,log,1,Z+P+NB,0.5999562740325928,True,34,-936.7601457457814,1889.5202914915628,1922.89389627085,0.00014663524170430153,not_computed
H2AX1H60,log,1,ZIP--ZINB,1.0771121978759766,True,131,-936.6979707001619,1893.3959414003239,1935.112947374433,0.0002312941344211339,not_computed
H2AX1H60,log,2,Poisson,0.030599594116210938,True,7,-1261.927512771072,2527.855025542144,2536.198426736966,2.6068757603248116e-05,not_computed
H2AX1H60,log,2,NB,0.06296563148498535,True,10,-1018.4062824694236,2042.8125649388471,2055.3276667310797,0.0001956805513985138,not_computed
H2AX1H60,log,2,ZIP,0.07529377937316895,True,12,-947.3652523952328,1902.7305047904656,1919.4173071801092,0.00018405469511661998,not_computed
H2AX1H60,log,2,ZINB,0.1699221134185791,True,18,-943.4688750329176,1896.9377500658352,1917.7962530528898,0.00010222246655045009,not_computed
H2AX1H60,log,2,P+NB,0.26601290702819824,True,29,-932.827819668438,1877.655639336876,1902.6858429213414,0.00014542243008944244,not_computed
H2AX1H60,log,2,Z+P+NB,0.6127321720123291,True,61,-932.3312655669667,1880.6625311339335,1914.0361359132207,0.0008997477573071122,not_computed
H2AX1H60,log,2,ZIP--ZINB,1.1560444831848145,True,39,-926.1758811794625,1872.351762358925,1914.068768333034,0.03640391774697782,not_computed
H2AX1H60,log,3,Poisson,0.034208059310913086,True,9,-1262.9143821983362,2529.8287643966723,2538.1721655914944,3.604841814563997e-05,not_computed
H2AX1H60,log,3,NB,0.07063794136047363,True,11,-996.9742227251897,1999.9484454503795,2012.4635472426123,0.0001272459643519852,not_computed
H2AX1H60,log,3,ZIP,0.07629203796386719,True,12,-943.9458503886249,1895.8917007772498,1912.5785031668934,5.188702475433793e-05,not_computed
H2AX1H60,log,3,ZINB,0.23749351501464844,True,27,-934.9866087641633,1879.9732175283266,1900.8317205153812,7.350513236592526e-05,not_computed
H2AX1H60,log,3,P+NB,0.2744576930999756,True,20,-925.2758660981053,1862.5517321962107,1887.581935780676,0.000568824626934944,not_computed
H2AX1H60,log,3,Z+P+NB,0.6066310405731201,True,57,-923.9399328141942,1863.8798656283884,1897.2534704076756,0.00208543912806039,not_computed
H2AX1H60,log,3,ZIP--ZINB,0.8233819007873535,True,57,-914.3634442722783,1848.7268885445567,1890.4438945186657,0.025201370422648375,not_computed
H2AX4H100,identity,2,Poisson,0.02662181854248047,True,5,-1035.2169543386087,2074.4339086772175,2082.768941658994,7.884974028371516e-06,not_computed
H2AX4H100,identity,2,NB,0.06176161766052246,True,12,-1034.2901293907403,2074.5802587814806,2087.0828082541457,1.3077194527366665e-05,not_computed
H2AX4H100,identity,2,ZIP,0.06448626518249512,True,10,-975.1735396705195,1958.347079341039,1975.0171453045923,4.0797081008570046e-05,not_computed
H2AX4H100,identity,2,ZINB,0.22112298011779785,True,31,-975.1730305232409,1960.3460610464817,1981.1836435009234,0.001987771663671589,not_computed
H2AX4H100,identity,2,P+NB,0.31455421447753906,True,32,-976.4626630656105,1964.925326131221,1989.930425076551,26.412301602582435,not_computed
H2AX4H100,identity,2,Z+P+NB,0.3953440189361572,True,45,-975.1735396781442,1966.3470793562883,1999.687211283395,1.5090926303584773e-06,not_computed
H2AX4H100,identity,2,ZIP--ZINB,0.5402727127075195,True,54,-972.7063204423155,1965.412640884631,2007.0878057935145,0.011499144122884719,not_computed
H2AX4H100,identity,1,Poisson,0.02711200714111328,True,6,-1045.7694076723978,2095.5388153447957,2103.8738483265724,8.81554939480278e-06,not_computed
H2AX4H100,identity,1,NB,0.06292057037353516,True,9,-1043.0821751954186,2092.164350390837,2104.6668998635023,1.2059313346246547e-05,not_computed
H2AX4H100,identity,1,ZIP,0.06521391868591309,True,10,-976.5164804170969,1961.0329608341938,1977.703026797747,4.272909882996334e-05,not_computed
H2AX4H100,identity,1,ZINB,0.20639944076538086,True,27,-976.5160268210877,1963.0320536421755,1983.8696360966171,9.410501651296865e-05,not_computed
H2AX4H100,identity,1,P+NB,0.3036935329437256,True,21,-977.4461983051762,1966.8923966103523,1991.8974955556823,54.65669553926902,not_computed
