Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2,log,,Poisson,0.03923535346984863,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.003809012306760451,not_computed
C2,log,,NB,0.13093924522399902,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.00024585481537542364,not_computed
C2,log,,ZIP,0.19704914093017578,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.00655331838265738,not_computed
C2,log,,ZINB,0.5892198085784912,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945282,not_computed
C2,log,,P+NB,0.9848465919494629,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.0008104196033400513,not_computed
C2,log,,Z+P+NB,2.148864507675171,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.02900721301102749,not_computed
C2,log,,ZIP--ZINB,3.1412978172302246,True,118,-2838.5570490980476,5701.114098196095,5780.680360716774,0.046801728156737,not_computed
