n,Coefficient,CoefficientLatex,true,rmse,n_success
50,beta_z[0],$\beta_{10}$,2.0,1.0477730140334085,1
50,beta_z[1],$\beta_{11}$,1.0,1.0891719763989802,1
50,gamma_z[0],$\gamma_{10}$,-2.0,0.3806562424670279,1
50,gamma_z[1],$\gamma_{11}$,1.0,0.39640516482858545,1
50,beta_nb[0],$\beta_{20}$,4.0,15.42895332769324,1
50,beta_nb[1],$\beta_{21}$,3.5,4.803695580730637,1
50,gamma_nb[0],$\gamma_{20}$,1.0,24.0,1
50,gamma_nb[1],$\gamma_{21}$,-3.0,11.401463481038732,1
