Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
H2AX4H100,log,Poisson,0.0421860218048095,0.0,1,3.70508071707576e-05,0.0,1
H2AX4H100,log,NB,0.0338222980499267,0.0,1,7.762160236701732e-05,0.0,1
H2AX4H100,log,ZIP,0.0353741645812988,0.0,1,0.0009587249756535,0.0,1
H2AX4H100,log,ZINB,0.1110560894012451,0.0,1,0.0044634521968944,0.0,1
H2AX4H100,log,P+NB,0.3320705890655517,0.0,1,1.0979630022944775e-06,0.0,1
H2AX4H100,log,Z+P+NB,0.2613890171051025,0.0,1,0.0004364906638087,0.0,1
H2AX4H100,log,ZIP--ZINB,0.2042968273162841,0.0,1,0.1284558550593093,0.0,1
