Dataset,Model,Link,Row,Col,Value
C2,ZINB,identity,3,2,1927.5917994124566
C2,ZINB,identity,3,3,-453.516505761882
C2,ZINB,identity,3,4,-1370.928981782543
C2,ZINB,identity,3,5,-5.089841467712941e-07
C2,ZINB,identity,4,0,1023.817780330323
C2,ZINB,identity,4,1,1927.5917994124566
C2,ZINB,identity,4,2,4667.078737472904
C2,ZINB,identity,4,3,-1370.928981782543
C2,ZINB,identity,4,4,-5002.103150069318
C2,ZINB,identity,4,5,-1.6126545075952142e-06
C2,ZINB,identity,5,0,-5.090005752331316e-07
C2,ZINB,identity,5,1,-1.6508434032554998e-06
C2,ZINB,identity,5,2,-6.233324306913742e-06
C2,ZINB,identity,5,3,-5.089841467712941e-07
C2,ZINB,identity,5,4,-1.6126545075952142e-06
C2,ZINB,identity,5,5,0.00024633007214560027
C2,ZINB,log,0,0,-1075.415596022907
C2,ZINB,log,0,1,-3635.9712847260435
C2,ZINB,log,0,2,-14638.42822394132
C2,ZINB,log,0,3,322.37736780317846
C2,ZINB,log,0,4,705.3740302846338
C2,ZINB,log,0,5,-4.696497773373702e-07
C2,ZINB,log,1,0,-3635.9712847260435
C2,ZINB,log,1,1,-14638.428223941319
C2,ZINB,log,1,2,-64098.69089083183
C2,ZINB,log,1,3,705.3740302846338
C2,ZINB,log,1,4,1962.7706271006764
C2,ZINB,log,1,5,-1.862503043096143e-06
C2,ZINB,log,2,0,-14638.42822394132
C2,ZINB,log,2,1,-64098.69089083183
C2,ZINB,log,2,2,-293153.5896663097
C2,ZINB,log,2,3,1962.7706271006764
C2,ZINB,log,2,4,6461.5505409693005
C2,ZINB,log,2,5,-7.891343079182167e-06
C2,ZINB,log,3,0,322.37736780317846
C2,ZINB,log,3,1,705.3740302846338
C2,ZINB,log,3,2,1962.7706271006764
C2,ZINB,log,3,3,-451.3554834097749
C2,ZINB,log,3,4,-1366.9187349621873
C2,ZINB,log,3,5,-2.971914985967964e-07
C2,ZINB,log,4,0,705.3740302846338
C2,ZINB,log,4,1,1962.7706271006764
C2,ZINB,log,4,2,6461.5505409693005
C2,ZINB,log,4,3,-1366.9187349621873
C2,ZINB,log,4,4,-5006.2810881268715
C2,ZINB,log,4,5,-9.435787506022264e-07
C2,ZINB,log,5,0,-4.696497773373702e-07
C2,ZINB,log,5,1,-1.862503043096143e-06
C2,ZINB,log,5,2,-7.891343079182167e-06
C2,ZINB,log,5,3,-2.971914985967964e-07
C2,ZINB,log,5,4,-9.435787506022264e-07
