Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,ZIP,log,4,3,-0.010093683322935133,inverse
C2,ZIP,log,4,4,0.002720390845879709,inverse
C2,ZINB,identity,0,0,0.007717072752112097,singular_pinv_rank_5_of_6
C2,ZINB,identity,0,1,-0.008586125424904365,singular_pinv_rank_5_of_6
C2,ZINB,identity,0,2,0.0016562566318638929,singular_pinv_rank_5_of_6
C2,ZINB,identity,0,3,0.00031661824772106844,singular_pinv_rank_5_of_6
C2,ZINB,identity,0,4,-0.00027065609065463016,singular_pinv_rank_5_of_6
C2,ZINB,identity,0,5,-7.738977039351526e-12,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,0,-0.008586125424904365,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,1,0.010873912602020558,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,2,-0.0021836525846520905,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,3,0.005220304371688159,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,4,-0.001035186213550979,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,5,4.275383828911835e-11,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,0,0.0016562566318638929,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,1,-0.0021836525846520905,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,2,0.0004682014586522541,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,3,-0.0011637413923077477,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,4,0.0002533042622437564,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,5,-9.270338391223327e-12,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,0,0.00031661824772106844,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,1,0.005220304371688159,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,2,-0.0011637413923077477,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,3,0.038099883942353134,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,4,-0.009451370973333042,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,5,2.299908987651056e-10,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,0,-0.00027065609065463016,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,1,-0.001035186213550979,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,2,0.0002533042622437564,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,3,-0.009451370973333042,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,4,0.002572284089563154,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,5,-5.697765095375948e-11,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,0,-7.738977039351526e-12,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,1,4.275383828911835e-11,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,2,-9.270338391223327e-12,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,3,2.299908987651056e-10,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,4,-5.697765095375948e-11,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,5,1.4010022591795356e-18,singular_pinv_rank_5_of_6
C2,ZINB,log,0,0,0.04999615073578406,singular_pinv_rank_5_of_6
C2,ZINB,log,0,1,-0.027686656024297804,singular_pinv_rank_5_of_6
C2,ZINB,log,0,2,0.0035973365817347155,singular_pinv_rank_5_of_6
C2,ZINB,log,0,3,0.03213765059871426,singular_pinv_rank_5_of_6
C2,ZINB,log,0,4,-0.00794237333646909,singular_pinv_rank_5_of_6
C2,ZINB,log,0,5,2.498758113423672e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,1,0,-0.027686656024297804,singular_pinv_rank_5_of_6
C2,ZINB,log,1,1,0.018144422006556648,singular_pinv_rank_5_of_6
C2,ZINB,log,1,2,-0.0025968279466009356,singular_pinv_rank_5_of_6
C2,ZINB,log,1,3,-0.013234003368914782,singular_pinv_rank_5_of_6
C2,ZINB,log,1,4,0.003474467819403284,singular_pinv_rank_5_of_6
C2,ZINB,log,1,5,-1.2216532912060894e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,2,0,0.0035973365817347155,singular_pinv_rank_5_of_6
C2,ZINB,log,2,1,-0.0025968279466009356,singular_pinv_rank_5_of_6
C2,ZINB,log,2,2,0.0003923841892066905,singular_pinv_rank_5_of_6
C2,ZINB,log,2,3,0.0013401244562435738,singular_pinv_rank_5_of_6
C2,ZINB,log,2,4,-0.0003707224460607326,singular_pinv_rank_5_of_6
C2,ZINB,log,2,5,1.452482637495383e-11,singular_pinv_rank_5_of_6
C2,ZINB,log,3,0,0.03213765059871426,singular_pinv_rank_5_of_6
C2,ZINB,log,3,1,-0.013234003368914782,singular_pinv_rank_5_of_6
C2,ZINB,log,3,2,0.0013401244562435738,singular_pinv_rank_5_of_6
