Dataset,Model,Link,Log-Likelihood_analytical,Log-Likelihood_legacy,Delta_LogLik,AIC_analytical,AIC_legacy,Delta_AIC,BIC_analytical,BIC_legacy,Delta_BIC,success,grad_norm_inf
C2,Poisson,identity,-3526.904000784993,-3526.904000784988,-5.002220859751105e-12,7059.808001569986,7059.808001569976,1.000444171950221e-11,7079.699567200156,7079.699567200146,1.000444171950221e-11,True,0.0014257970337894
C2,Poisson,log,-3528.696552805841,-3528.696552805837,-3.637978807091713e-12,7063.393105611682,7063.393105611674,7.275957614183426e-12,7083.284671241851,7083.284671241844,7.275957614183426e-12,True,0.0006879743721128
C2,NB,identity,-2939.450897495147,-2939.450897495083,-6.366462912410498e-11,5886.901794990294,5886.901794990166,1.2732925824820995e-10,5913.423882497186,5913.423882497059,1.2732925824820995e-10,True,0.0054519474151675
C2,NB,log,-2940.5233778138704,-2940.5233778138613,-9.094947017729282e-12,5889.046755627741,5889.046755627723,1.8189894035458565e-11,5915.568843134633,5915.568843134615,1.8189894035458565e-11,True,0.0011802984858491
C2,ZIP,identity,-2843.3676581344034,-3517.6910353189724,674.3233771845689,5696.735316268807,7045.382070637945,-1348.6467543691379,5729.887925652423,7078.534680021561,-1348.6467543691379,True,0.0001085160879168
C2,ZIP,log,-2843.6911053579684,-2843.691105359152,1.183707354357466e-09,5697.382210715937,5697.382210718303,-2.3665052140131593e-09,5730.534820099553,5730.53482010192,-2.3665052140131593e-09,True,0.0023533427288668
C2,ZINB,identity,-2843.366453431804,-2939.450939997182,96.08448656537803,5698.732906863608,5890.901879994364,-192.16897313075606,5738.516038123948,5930.685011254704,-192.16897313075515,True,0.1302815027040722
C2,ZINB,log,-2843.690593147905,-2843.705803768029,0.015210620123980334,5699.38118629581,5699.411607536059,-0.030421240248870163,5739.164317556149,5739.194738796398,-0.030421240248870163,True,0.0016345520241145
C2,P+NB,identity,-2852.649490252212,-2852.6462880874487,-0.0032021647634792316,5721.298980504424,5721.2925761748975,0.006404329526958463,5774.343155518211,5774.336751188684,0.006404329526958463,True,1278.076243801194
C2,P+NB,log,-2842.9132065629765,-2846.2247982367776,3.3115916738011038,5701.826413125953,5708.449596473555,-6.6231833476022075,5754.870588139739,5761.493771487341,-6.6231833476022075,True,0.0023313218985663
C2,Z+P+NB,identity,-2843.2300655485983,-2843.368163095729,0.13809754713065558,5706.460131097197,5708.736326191458,-2.276195094261311,5772.765349864429,5781.672066835414,-8.906716970985144,True,13.323511083121955
C2,Z+P+NB,log,-2839.7225429911878,-2843.700187776399,3.977644785211396,5699.445085982375,5709.400375552798,-9.955289570423702,5765.750304749607,5782.336116196754,-16.585811447147535,True,0.0551579754660735
C2,ZIP--ZINB,identity,-2839.9729328000985,-2843.3677014092204,3.394768609121911,5703.945865600197,5710.735402818441,-6.789537218243822,5783.512128120876,5790.30166533912,-6.789537218243822,True,50.49377578918144
C2,ZIP--ZINB,log,-2838.556823198372,-2843.668416435875,5.111593237502802,5701.113646396743,5711.33683287175,-10.223186475006514,5780.679908917422,5790.903095392428,-10.223186475006514,True,0.1801210934374353
C3,Poisson,identity,-3466.6358733923075,-3466.63587339213,-1.77351466845721e-10,6939.271746784615,6939.271746784261,3.537934389896691e-10,6958.439826244334,6958.43982624398,3.537934389896691e-10,True,0.0053535006834408
C3,Poisson,log,-3468.148246215912,-3468.148246215903,-9.094947017729282e-12,6942.296492431824,6942.296492431806,1.8189894035458565e-11,6961.464571891543,6961.464571891524,1.8189894035458565e-11,True,0.000377806768256
C3,NB,identity,-3152.429606462653,-3152.429606462623,-3.001332515850663e-11,6312.859212925306,6312.859212925246,6.002665031701326e-11,6338.416652204931,6338.416652204871,6.002665031701326e-11,True,0.0026096947527776
C3,NB,log,-3153.5422421105286,-3153.542242110528,-4.547473508864641e-13,6315.084484221057,6315.084484221056,9.094947017729282e-13,6340.641923500682,6340.6419235006815,9.094947017729282e-13,True,0.0001030410570024
C3,ZIP,identity,-3081.209367793103,-3463.7057458319305,382.4963780388275,6172.418735586206,6937.411491663861,-764.992756077655,6204.365534685738,6969.358290763393,-764.992756077655,True,0.0010533109585608
C3,ZIP,log,-3081.331619577849,-3462.2824966056496,380.95087702780074,6172.663239155698,6934.564993211299,-761.9017540556015,6204.6100382552295,6966.511792310831,-761.9017540556015,True,0.0016788560767935
C3,ZINB,identity,-3080.6803349860043,-3152.4296287522675,71.74929376626324,6173.3606699720085,6316.859257504535,-143.49858753252647,6211.696828891447,6355.195416423973,-143.49858753252647,True,0.0028248272219286
C3,ZINB,log,-3080.9386209824074,-3153.542256684831,72.60363570242362,6173.877241964815,6319.084513369662,-145.20727140484723,6212.213400884253,6357.4206722891,-145.20727140484723,True,0.0009581277051324
C3,P+NB,identity,-3079.9558058878947,-3079.468718328437,-0.4870875594579047,6175.911611775789,6174.937436656874,0.9741751189158094,6227.02649033504,6226.052315216124,0.9741751189158094,True,0.0018864023492142
C3,P+NB,log,-3077.951773503597,-3078.3661556090133,0.41438210541627996,6171.903547007195,6172.732311218027,-0.8287642108316504,6223.018425566445,6223.847189777277,-0.8287642108316504,True,0.0017553662098919
C3,Z+P+NB,identity,-3079.3201117552044,-3080.011775032436,0.6916632772317826,6178.640223510409,6182.023550064871,-3.3833265544626556,6242.533821709472,6252.306508083841,-9.772686374369187,True,0.0005957595737271
C3,Z+P+NB,log,-3077.4610218797748,-3077.9517736026764,0.49075172290167757,6174.9220437595495,6177.903547205353,-2.981503445803355,6238.815641958613,6248.186505224323,-9.370863265709886,True,0.0089767188979976
C3,ZIP--ZINB,identity,-3078.3765748787155,-3079.334103937604,0.9575290588886674,6180.753149757431,6182.668207875207,-1.9150581177764252,6257.425467596308,6259.340525714084,-1.9150581177755157,True,155.54775704140474
C3,ZIP--ZINB,log,-3077.0638907414955,-3078.2778016824973,1.2139109410018136,6178.127781482991,6180.555603364995,-2.4278218820036273,6254.800099321868,6257.227921203871,-2.4278218820027178,True,0.0040922996265351
H2AX1H60,Poisson,identity,-1590.3284183337996,-1590.328418333822,2.2282620193436742e-11,3184.6568366675992,3184.656836667644,-4.4565240386873484e-11,3193.44735986383,3193.4473598638747,-4.4565240386873484e-11,True,2.837368129071649e-05
H2AX1H60,Poisson,log,-1584.6951980400715,-1584.69519804007,-1.5916157281026244e-12,3173.390396080143,3173.39039608014,3.183231456205249e-12,3182.180919276374,3182.180919276371,3.183231456205249e-12,True,0.000141379529861
H2AX1H60,NB,identity,-1267.4561720564357,-1267.4561720564348,-9.094947017729282e-13,2540.912344112872,2540.912344112869,2.7284841053187847e-12,2554.098128907218,2554.098128907216,1.8189894035458565e-12,True,5.622331663346358e-06
H2AX1H60,NB,log,-1266.4157692032386,-1266.41576920322,-1.864464138634503e-11,2538.831538406477,2538.83153840644,3.728928277269006e-11,2552.017323200824,2552.0173232007864,3.774403012357652e-11,True,8.109526745414541e-05
H2AX1H60,ZIP,identity,-1188.3167116188392,-1188.316711618838,-1.1368683772161603e-12,2384.6334232376785,2384.633423237676,2.2737367544323206e-12,2402.21446963014,2402.214469630137,2.7284841053187847e-12,True,2.060040489815229e-05
H2AX1H60,ZIP,log,-1187.9872353466617,-1187.9872353466571,-4.547473508864641e-12,2383.9744706933234,2383.9744706933143,9.094947017729282e-12,2401.555517085785,2401.555517085776,9.094947017729282e-12,True,0.0002350434617987
H2AX1H60,ZINB,identity,-1180.3105819554544,-1180.3105819554526,-1.8189894035458565e-12,2370.6211639109088,2370.621163910905,3.637978807091713e-12,2392.597471901486,2392.5974719014825,3.637978807091713e-12,True,2.540060284150769e-05
H2AX1H60,ZINB,log,-1180.052761102157,-1180.0527611021807,2.3646862246096134e-11,2370.105522204314,2370.105522204361,-4.6838977141305804e-11,2392.081830194892,2392.081830194939,-4.6838977141305804e-11,True,8.089443142644814e-05
H2AX1H60,P+NB,identity,-1170.622009954236,-1165.4372147092795,-5.184795244956604,2353.244019908472,2342.874429418559,10.369590489913207,2379.615589497165,2369.245999007252,10.369590489912753,True,11.503255821979868
H2AX1H60,P+NB,log,-1164.1319809356316,-1164.131980934368,-1.2637428881134838e-09,2340.2639618712637,2340.2639618687363,2.5274857762269676e-09,2366.635531459956,2366.635531457429,2.527031028876081e-09,True,8.21612958724488e-05
