Dataset,Model,Link,Index,Value,SE,CovarianceStatus
C2,ZIP--ZINB,identity,4,0.45281214378426676,0.2588879139368922,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,5,0.19044778086283984,0.06564331037322359,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,6,4.63921736886357,1.4811496016355261,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,7,-2.209574499384215,0.8876187899003376,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,8,0.2624425399170805,0.12231963103280015,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,9,13.725710114684997,6.705041887731286,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,10,-7.7451420229369985,3.9486200438195582,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,identity,11,-14.0866368087541,1.844966188355079e-05,singular_pinv_rank_11_of_12
C2,ZIP--ZINB,log,0,-1.3214759494906336,0.15505412355792592,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,1,-5.137043982789676,2.3953939735412093,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,2,2.3705998791866865,1.1595140508372674,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,3,-0.21965738388932812,0.1368323543030962,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,4,-13.629003734617571,0.08199571760017024,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,5,2.201250644845107,0.4327073300142795,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,6,-4.259937712046346,0.6541240348163893,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,7,3.5292111281511813,0.809336904082327,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,8,-0.7108459702240485,0.2408340062054225,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,9,-0.37013260282104427,0.9107346734663516,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,10,0.8881628862334651,0.33032900267671056,singular_pinv_rank_10_of_12
C2,ZIP--ZINB,log,11,-19.95503471672275,0.00029470348888542395,singular_pinv_rank_10_of_12
C3,Poisson,identity,0,-0.10754063421692131,0.03218331331119941,inverse
C3,Poisson,identity,1,0.21184690978648288,0.03596585908956444,inverse
C3,Poisson,identity,2,0.005748846995842925,0.0071982216389174895,inverse
C3,Poisson,log,0,-3.36882453230362,0.13110771766347382,inverse
C3,Poisson,log,1,1.3573213767396766,0.0938644085644591,inverse
C3,Poisson,log,2,-0.13490206493084106,0.0148150488192369,inverse
C3,NB,identity,0,-0.10293398782577182,0.04329210594019876,inverse
C3,NB,identity,1,0.2063525903214173,0.05070135043965245,inverse
C3,NB,identity,2,0.006888015746995774,0.010775689435162881,inverse
C3,NB,identity,3,0.6512980995239442,0.07650130378185356,inverse
C3,NB,log,0,-3.4219644800896054,0.1623111527584137,inverse
C3,NB,log,1,1.4019349405619637,0.12657840183471142,inverse
C3,NB,log,2,-0.14214358438701902,0.020933095901428802,inverse
C3,NB,log,3,0.6535053070862238,0.07647815079186934,inverse
C3,ZIP,identity,0,-0.05649106975575139,0.07291944909343152,inverse
C3,ZIP,identity,1,0.14311618003771825,0.09250874663587426,inverse
C3,ZIP,identity,2,0.09500550853564657,0.019430304973567028,inverse
C3,ZIP,identity,3,-0.6996717854811252,0.24608694543666446,inverse
C3,ZIP,identity,4,0.25926931594764274,0.06130221881690948,inverse
C3,ZIP,log,0,-3.0586296577924053,0.18038482410144666,inverse
C3,ZIP,log,1,1.5054094208294178,0.11139747933621122,inverse
C3,ZIP,log,2,-0.13588921804360346,0.016835090502082244,inverse
C3,ZIP,log,3,-0.770436540357648,0.25376945139853246,inverse
C3,ZIP,log,4,0.27705090250935704,0.06336565682194616,inverse
C3,ZINB,identity,0,-0.04371376986004539,0.07361117398706789,inverse
