Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,19,omega,0.1486704167251628,0.1409925951687828
D1,Dataset 1,17,rho,0.7,0.7152592166112587
D1,Dataset 1,17,lambda,3.489060656553614,3.4931098982902484
D1,Dataset 1,17,pi,0.3931569554724813,0.392329755140639
D1,Dataset 1,17,varphi,9.21171229793765,9.454101481541414
D1,Dataset 1,17,alpha,1.5,1.465561259094892
D1,Dataset 1,17,omega,0.1486033055819754,0.153443314871941
D1,Dataset 1,18,rho,0.7,0.6938370335897387
D1,Dataset 1,18,lambda,3.504056823297213,3.545390642499512
D1,Dataset 1,18,pi,0.3965103393327971,0.3855533167070948
D1,Dataset 1,18,varphi,9.264198881540247,9.228594782784606
D1,Dataset 1,18,alpha,1.5,1.5463977947636611
D1,Dataset 1,18,omega,0.1465771778787733,0.1695068023536989
D1,Dataset 1,16,rho,0.7,0.6801535292529723
D1,Dataset 1,16,lambda,3.4998592543640306,3.562160874909288
D1,Dataset 1,16,pi,0.3955046226720932,0.3806484919723323
D1,Dataset 1,16,varphi,9.249507390274108,8.582269755080235
D1,Dataset 1,16,alpha,1.5,1.6957855032591187
D1,Dataset 1,16,omega,0.1464844537961277,0.1235785386089519
D1,Dataset 1,20,rho,0.7,0.7019842840114835
D1,Dataset 1,20,lambda,3.490743397511872,3.4619180129646905
D1,Dataset 1,20,pi,0.3934863900239237,0.3863791617030956
D1,Dataset 1,20,varphi,9.217601891291553,9.495656527101191
D1,Dataset 1,20,alpha,1.5,1.4166253414153414
D1,Dataset 1,20,omega,0.1481086812543091,0.181898810489174
D1,Dataset 1,21,rho,0.7,0.7010593103135101
D1,Dataset 1,21,lambda,3.491862748092123,3.5405542006504964
D1,Dataset 1,21,pi,0.3940028108595893,0.3881700344815756
D1,Dataset 1,21,varphi,9.22151961832243,9.144650594047135
D1,Dataset 1,21,alpha,1.5,1.3968984932997706
D1,Dataset 1,21,omega,0.1495854107059195,0.1693813332911402
D1,Dataset 1,22,rho,0.7,0.6929389268768267
D1,Dataset 1,22,lambda,3.5012400308812373,3.517264377298826
D1,Dataset 1,22,pi,0.3956625510201644,0.4012579490300764
D1,Dataset 1,22,varphi,9.25434010808433,8.645495841189035
D1,Dataset 1,22,alpha,1.5,1.6263286999359166
D1,Dataset 1,22,omega,0.1452420522362984,0.1138238938620874
D1,Dataset 1,23,rho,0.7,0.6900022681265169
D1,Dataset 1,23,lambda,3.4958415111096155,3.465527710232205
D1,Dataset 1,23,pi,0.3946442625546106,0.3886026783562564
D1,Dataset 1,23,varphi,9.235445288883655,9.13149690391075
D1,Dataset 1,23,alpha,1.5,1.5449582058982738
D1,Dataset 1,23,omega,0.14723889799514,0.158476340186688
D1,Dataset 1,26,rho,0.7,0.7115628175984738
D1,Dataset 1,26,lambda,3.5022179237018727,3.544162172182024
D1,Dataset 1,26,pi,0.3960038694402495,0.4022281357402098
D1,Dataset 1,26,varphi,9.257762732956555,9.449974267626011
D1,Dataset 1,26,alpha,1.5,1.467097554403562
D1,Dataset 1,26,omega,0.1460782796050317,0.1398913101064237
D1,Dataset 1,28,rho,0.7,0.694654703829791
D1,Dataset 1,28,lambda,3.507356232027654,3.503502273285622
D1,Dataset 1,28,pi,0.3969913595364066,0.4020671191435821
D1,Dataset 1,28,varphi,9.275746812096791,8.899688023345458
D1,Dataset 1,28,alpha,1.5,1.5497098069357729
D1,Dataset 1,28,omega,0.1440532377903032,0.1450354098032467
D1,Dataset 1,27,rho,0.7,0.6938094756836095
D1,Dataset 1,27,lambda,3.5018447124896714,3.486068330645268
D1,Dataset 1,27,pi,0.3958769497405217,0.3863605265649779
D1,Dataset 1,27,varphi,9.256456493713848,9.346287806321374
D1,Dataset 1,27,alpha,1.5,1.5058217924033763
D1,Dataset 1,27,omega,0.1458524422246729,0.1750959076097685
D1,Dataset 1,25,rho,0.7,0.6830773530929445
D1,Dataset 1,25,lambda,3.504970101991954,3.536281641586146
D1,Dataset 1,25,pi,0.3964935424480776,0.3793570990709993
D1,Dataset 1,25,varphi,9.26739535697184,8.991120224064687
D1,Dataset 1,25,alpha,1.5,1.612591182048569
D1,Dataset 1,25,omega,0.1448233405216236,0.1689857310554133
D1,Dataset 1,24,rho,0.7,0.6868053383411398
D1,Dataset 1,24,lambda,3.48858949381643,3.482865523709992
D1,Dataset 1,24,pi,0.3929261489998208,0.3926159344769542
D1,Dataset 1,24,varphi,9.210063228357509,8.810925483783588
D1,Dataset 1,24,alpha,1.5,1.6209167306404948
D1,Dataset 1,24,omega,0.1477460415747106,0.1256203655016134
D1,Dataset 1,29,rho,0.7,0.6956167731160965
D1,Dataset 1,29,lambda,3.499224549925932,3.525197210992125
D1,Dataset 1,29,pi,0.3953427399380421,0.404097989408114
D1,Dataset 1,29,varphi,9.247285924740762,9.299194270440148
D1,Dataset 1,29,alpha,1.5,1.4713978916241128
D1,Dataset 1,29,omega,0.1465602750976927,0.1473041143255286
D1,Dataset 1,30,rho,0.7,0.6925411077534095
D1,Dataset 1,30,lambda,3.491011156548799,3.5277736609956425
D1,Dataset 1,30,pi,0.3934386126613775,0.3861072857840916
D1,Dataset 1,30,varphi,9.218539047920796,8.91191124930463
D1,Dataset 1,30,alpha,1.5,1.669811959126256
D1,Dataset 1,30,omega,0.1471415252299329,0.1297764897776717
D1,Dataset 1,31,rho,0.7,0.7220536783997527
D1,Dataset 1,31,lambda,3.5023209916907523,3.420476113776782
D1,Dataset 1,31,pi,0.3958667143401529,0.3959139923836117
D1,Dataset 1,31,varphi,9.258123470917637,10.302747303420048
D1,Dataset 1,31,alpha,1.5,1.2800312901894075
D1,Dataset 1,31,omega,0.1448981972985057,0.1727087686485556
D1,Dataset 1,33,rho,0.7,0.7353888578118638
D1,Dataset 1,33,lambda,3.5034866950257086,3.475956090485244
D1,Dataset 1,33,pi,0.3962647006895841,0.408046297590159
D1,Dataset 1,33,varphi,9.26220343258998,10.25833368369849
D1,Dataset 1,33,alpha,1.5,1.2752516602545598
D1,Dataset 1,33,omega,0.1455875550460505,0.1490127677102167
D1,Dataset 1,34,rho,0.7,0.6901911069717971
D1,Dataset 1,34,lambda,3.502047596940535,3.540614918494018
D1,Dataset 1,34,pi,0.3958334915116224,0.3992893375942245
D1,Dataset 1,34,varphi,9.257166589291874,8.761440803309947
D1,Dataset 1,34,alpha,1.5,1.595381026824244
D1,Dataset 1,34,omega,0.1451853269023741,0.1417229396535492
D1,Dataset 1,35,rho,0.7,0.6981170269345458
D1,Dataset 1,35,lambda,3.493564266547083,3.537667980763025
D1,Dataset 1,35,pi,0.3939284652192966,0.4056235174924715
D1,Dataset 1,35,varphi,9.227474932914795,8.938585989624553
D1,Dataset 1,35,alpha,1.5,1.578245345401632
D1,Dataset 1,35,omega,0.1462174789041196,0.1037237012049503
D1,Dataset 1,32,rho,0.7,0.7128146608463706
D1,Dataset 1,32,lambda,3.4993991835721427,3.508632788044543
D1,Dataset 1,32,pi,0.3954889522151417,0.4092759175835199
D1,Dataset 1,32,varphi,9.2478971425025,9.50925113240676
D1,Dataset 1,32,alpha,1.5,1.42921777074352
D1,Dataset 1,32,omega,0.1471198918480695,0.1463911352288936
D1,Dataset 1,36,rho,0.7,0.7078207903264961
D1,Dataset 1,36,lambda,3.501576434419888,3.491821421884924
D1,Dataset 1,36,pi,0.3958022268880367,0.4116606116461129
D1,Dataset 1,36,varphi,9.255517520469605,9.39304185022622
D1,Dataset 1,36,alpha,1.5,1.5021467299711426
D1,Dataset 1,36,omega,0.1457298706345682,0.1126007206038479
D1,Dataset 1,37,rho,0.7,0.6870780744791173
D1,Dataset 1,37,lambda,3.4911586786074222,3.557100513321138
D1,Dataset 1,37,pi,0.3932360286833959,0.3878137765730831
D1,Dataset 1,37,varphi,9.21905537512598,8.744566117688114
D1,Dataset 1,37,alpha,1.5,1.57136810446124
D1,Dataset 1,37,omega,0.1454834113508407,0.141978661570638
D1,Dataset 1,38,rho,0.7,0.6806796232841362
D1,Dataset 1,38,lambda,3.5007971933120907,3.556510640843126
D1,Dataset 1,38,pi,0.3955448931380501,0.3988252493463903
D1,Dataset 1,38,varphi,9.252790176592317,8.507419878628868
D1,Dataset 1,38,alpha,1.5,1.7533007781589856
D1,Dataset 1,38,omega,0.1452334873590425,0.129500332689677
