n,Rep,elapsed_sec
1000,0,0.6541657447814941
1000,3,0.6988441944122314
1000,1,0.7516152858734131
1000,4,0.7689263820648193
1000,7,0.8342623710632324
1000,2,1.00380277633667
1000,6,1.188415288925171
1000,5,1.2244346141815186
1000,11,0.6527886390686035
1000,8,0.8759560585021973
1000,9,0.8406987190246582
1000,12,0.7530975341796875
1000,13,0.688955545425415
1000,10,1.0349314212799072
1000,16,0.6825368404388428
1000,18,0.6610336303710938
1000,17,0.6898574829101562
1000,20,0.650115966796875
1000,19,0.7621982097625732
1000,15,1.2155156135559082
1000,14,1.2735297679901123
1000,21,0.7980799674987793
1000,22,0.7166988849639893
1000,23,0.760261058807373
1000,24,0.765275239944458
1000,26,0.6855297088623047
1000,25,0.8411633968353271
1000,29,0.7343754768371582
1000,30,0.7355756759643555
1000,27,1.1843366622924805
1000,32,0.6553792953491211
1000,33,0.6015448570251465
1000,28,1.252246379852295
1000,31,0.7626626491546631
1000,34,0.8102624416351318
1000,35,0.7114677429199219
1000,36,0.7081472873687744
1000,39,0.6449401378631592
1000,38,0.7364761829376221
1000,41,0.6650424003601074
1000,42,0.6632142066955566
1000,43,0.684598445892334
1000,37,1.2665517330169678
1000,44,0.659149169921875
1000,40,1.3067395687103271
1000,46,0.6684448719024658
1000,45,0.7706527709960938
1000,48,0.7097001075744629
1000,47,1.1031622886657715
1000,49,0.8486671447753906
1000,51,0.669727087020874
1000,53,0.7296497821807861
1000,54,0.804431676864624
1000,55,0.7216281890869141
1000,50,1.2095177173614502
1000,56,0.6620786190032959
1000,52,1.2623462677001953
1000,58,0.729583740234375
1000,57,0.7991929054260254
1000,59,0.678290605545044
1000,60,0.6674554347991943
1000,61,0.6859207153320312
1000,63,0.7596631050109863
1000,66,0.6872818470001221
1000,65,0.7303078174591064
1000,68,0.6303722858428955
1000,67,0.7284467220306396
1000,69,0.7123517990112305
1000,64,1.2681035995483398
1000,62,1.4684133529663086
1000,72,0.636054277420044
1000,70,0.8080325126647949
1000,71,0.7332100868225098
1000,74,0.6615946292877197
1000,73,0.8419086933135986
1000,75,0.631159782409668
1000,78,0.7095842361450195
1000,79,0.7006468772888184
1000,80,0.6762871742248535
1000,81,0.6445145606994629
1000,77,1.1568899154663086
1000,82,0.7426643371582031
1000,76,1.1993460655212402
1000,83,0.6428811550140381
1000,85,0.6231265068054199
1000,86,0.626556396484375
1000,87,0.6449434757232666
1000,84,0.7401816844940186
1000,91,0.7206821441650391
1000,89,0.7624237537384033
1000,93,0.6251747608184814
1000,95,0.6630241870880127
1000,92,0.7935543060302734
1000,94,0.7362830638885498
1000,88,1.258545160293579
1000,90,1.4047272205352783
1000,97,0.6823515892028809
1000,96,0.7708344459533691
1000,98,0.7114608287811279
1000,99,0.6662583351135254
5000,5,7.682267665863037
5000,7,7.604870557785034
5000,6,7.848096609115601
5000,1,8.608076333999634
5000,0,9.09374189376831
5000,4,8.87808895111084
5000,2,9.363792896270752
5000,3,10.601306915283203
5000,8,8.222055435180664
5000,11,8.026671171188354
5000,10,8.56456995010376
5000,12,8.278587341308594
5000,13,8.533442974090576
5000,9,10.60055661201477
5000,14,10.577316999435425
5000,15,11.042855024337769
5000,16,8.078617811203003
5000,18,7.8270063400268555
5000,20,7.866170644760132
5000,19,8.896672248840332
5000,17,9.626602411270142
5000,21,8.16447377204895
5000,22,10.123894929885864
5000,23,9.650868654251099
5000,24,8.441745519638062
5000,25,9.144681930541992
5000,26,8.745399236679077
5000,27,8.523691415786743
5000,28,9.00761079788208
5000,29,8.765404224395752
5000,30,9.992868900299072
5000,32,8.283599138259888
5000,31,10.060085773468018
5000,34,8.309146404266357
5000,35,7.938610076904297
5000,33,9.089056491851807
5000,36,7.783524036407471
5000,37,8.379334211349487
5000,39,8.050336360931396
5000,42,7.585783004760742
5000,41,8.480154514312744
5000,44,8.60914134979248
5000,40,10.404725790023804
5000,38,12.251239538192749
5000,43,9.49347710609436
5000,45,8.658302307128906
5000,46,7.760331153869629
5000,49,7.272303104400635
5000,53,7.511444330215454
5000,47,10.103073835372925
5000,48,9.480985403060913
5000,52,8.423335790634155
5000,51,8.679795980453491
5000,50,10.457169771194458
5000,54,8.366592168807983
5000,55,7.50928807258606
5000,58,8.338367700576782
5000,59,8.057933807373047
5000,56,8.74066424369812
5000,57,8.66165804862976
5000,60,10.26219630241394
5000,61,10.821647882461548
5000,62,8.641958475112915
5000,63,8.9360511302948
5000,67,7.607795715332031
5000,65,8.676462411880493
5000,66,8.977432250976562
5000,64,9.39831018447876
5000,68,9.365431785583496
5000,70,8.813194751739502
5000,71,8.290795087814331
5000,69,11.3544762134552
5000,74,6.9534666538238525
5000,73,7.4508562088012695
5000,75,7.551893949508667
5000,72,9.58731722831726
5000,76,9.150964498519897
5000,78,7.7106614112854
5000,77,8.779909610748291
5000,80,8.137883424758911
5000,82,7.273716926574707
5000,81,8.107465744018555
5000,79,9.674615383148193
5000,83,9.017667531967163
5000,85,8.731079578399658
5000,86,8.993905782699585
5000,84,11.572381019592285
