Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,8,ZIP--ZINB,4,1.0248186894261655
D1,Dataset 1,8,ZIP--ZINB,5,3.823181965200832
D1,Dataset 1,8,ZIP--ZINB,6,3.544608761102624
D1,Dataset 1,8,ZIP--ZINB,7,1.0156884084943054
D1,Dataset 1,8,ZIP--ZINB,8,-2.9713584688006414
D1,Dataset 1,8,ZIP--ZINB,9,0.4598601117935162
D1,Dataset 1,11,ZIP--ZINB,0,0.9555872628163888
D1,Dataset 1,11,ZIP--ZINB,1,2.082133654601463
D1,Dataset 1,11,ZIP--ZINB,2,0.9678695349519728
D1,Dataset 1,11,ZIP--ZINB,3,-1.7654420313083248
D1,Dataset 1,11,ZIP--ZINB,4,0.8715688266943279
D1,Dataset 1,11,ZIP--ZINB,5,3.8967888001404942
D1,Dataset 1,11,ZIP--ZINB,6,3.786687024587233
D1,Dataset 1,11,ZIP--ZINB,7,1.2028822354748134
D1,Dataset 1,11,ZIP--ZINB,8,-3.6250281928065817
D1,Dataset 1,11,ZIP--ZINB,9,0.3495070867997411
D1,Dataset 1,9,ZIP--ZINB,0,0.8516114139257862
D1,Dataset 1,9,ZIP--ZINB,1,1.976289710786864
D1,Dataset 1,9,ZIP--ZINB,2,0.9966578105073384
D1,Dataset 1,9,ZIP--ZINB,3,-1.9452608998132543
D1,Dataset 1,9,ZIP--ZINB,4,0.9803093760031584
D1,Dataset 1,9,ZIP--ZINB,5,3.77603494937059
D1,Dataset 1,9,ZIP--ZINB,6,3.7399962062457206
D1,Dataset 1,9,ZIP--ZINB,7,0.8804805107561056
D1,Dataset 1,9,ZIP--ZINB,8,-2.7910314377433547
D1,Dataset 1,9,ZIP--ZINB,9,0.3778343467255324
D1,Dataset 1,14,ZIP--ZINB,0,0.9478142178066568
D1,Dataset 1,14,ZIP--ZINB,1,2.0549879371038964
D1,Dataset 1,14,ZIP--ZINB,2,0.9373389422834828
D1,Dataset 1,14,ZIP--ZINB,3,-1.911017800909275
D1,Dataset 1,14,ZIP--ZINB,4,0.9933090962763168
D1,Dataset 1,14,ZIP--ZINB,5,3.9428605475342975
D1,Dataset 1,14,ZIP--ZINB,6,3.562846070655472
D1,Dataset 1,14,ZIP--ZINB,7,1.547108358511657
D1,Dataset 1,14,ZIP--ZINB,8,-4.202552046506113
D1,Dataset 1,14,ZIP--ZINB,9,0.351274236474985
D1,Dataset 1,10,ZIP--ZINB,0,0.8464378563893649
D1,Dataset 1,10,ZIP--ZINB,1,2.0168390767156774
D1,Dataset 1,10,ZIP--ZINB,2,0.9856010262578708
D1,Dataset 1,10,ZIP--ZINB,3,-2.02643185177183
D1,Dataset 1,10,ZIP--ZINB,4,0.9907543273765158
D1,Dataset 1,10,ZIP--ZINB,5,3.862711948278324
D1,Dataset 1,10,ZIP--ZINB,6,3.265354739512432
D1,Dataset 1,10,ZIP--ZINB,7,0.9674361018327532
D1,Dataset 1,10,ZIP--ZINB,8,-3.0859807090722016
D1,Dataset 1,10,ZIP--ZINB,9,0.488645695210086
D1,Dataset 1,12,ZIP--ZINB,0,0.8758817634239427
D1,Dataset 1,12,ZIP--ZINB,1,1.9770386488206249
D1,Dataset 1,12,ZIP--ZINB,2,1.0241375500197114
D1,Dataset 1,12,ZIP--ZINB,3,-2.0780603768344377
D1,Dataset 1,12,ZIP--ZINB,4,1.031073087130702
D1,Dataset 1,12,ZIP--ZINB,5,4.313546066250442
D1,Dataset 1,12,ZIP--ZINB,6,3.5140502379089305
D1,Dataset 1,12,ZIP--ZINB,7,1.1372569345071466
D1,Dataset 1,12,ZIP--ZINB,8,-2.913386197143032
D1,Dataset 1,12,ZIP--ZINB,9,0.3749251473619687
