Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
D1,Dataset 1,1,D1,NB,identity,-46682.02006983638,93370.04013967275,93393.75060233036,20000,3,True,14,0.0001617072404922,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,1,D1,ZIP,identity,-72042.57018444873,144093.14036889747,144124.75431910763,20000,4,True,12,5.425262023250888e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,1,D1,ZINB,identity,-45966.77548658132,91943.55097316264,91983.06841092532,20000,5,True,15,0.0001301121521827,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,1,D1,P+NB,identity,-45386.44655193156,90784.89310386313,90832.31402917836,20000,6,True,16,0.0002235111939152,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,1,D1,Z+P+NB,identity,-44847.97083937643,89711.94167875286,89775.16957917315,20000,8,True,20,0.0007610224159596,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,1,D1,ZIP--ZINB,identity,-44775.71537250226,89571.43074500452,89650.46562052988,20000,10,True,47,0.0003528321267905,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,Poisson,identity,-100174.49335661138,200352.98671322275,200368.79368832783,20000,2,True,8,6.809225838388944e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,NB,identity,-46317.82912157929,92641.65824315858,92665.3687058162,20000,3,True,13,2.9917530877554555e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,ZIP,identity,-71710.74867484166,143429.4973496833,143461.11129989347,20000,4,True,12,9.103338182958608e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,ZINB,identity,-45549.69716019921,91109.39432039842,91148.9117581611,20000,5,True,26,0.0001289489901581,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,P+NB,identity,-44929.79442743042,89871.58885486083,89919.00978017606,20000,6,True,13,0.0002470847623693,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,Z+P+NB,identity,-44350.74864599287,88717.49729198574,88780.72519240603,20000,8,True,33,0.0006373907166635,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,5,D1,ZIP--ZINB,identity,-44289.75527645245,88599.5105529049,88678.54542843027,20000,10,True,53,0.0001855189795232,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,Poisson,identity,-100545.0065191003,201094.0130382006,201109.82001330567,20000,2,True,10,9.942949474650575e-06,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,NB,identity,-46892.81839118681,93791.63678237362,93815.34724503124,20000,3,True,11,3.13825411026869e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,ZIP,identity,-72287.38698340478,144582.77396680956,144614.38791701972,20000,4,True,12,0.0004800240913892,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,ZINB,identity,-46166.03718335497,92342.07436670996,92381.59180447264,20000,5,True,14,0.0001736848980277,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,P+NB,identity,-45568.03832097504,91148.07664195009,91195.4975672653,20000,6,True,49,0.0001222475928795,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,Z+P+NB,identity,-45031.36059776198,90078.72119552396,90141.94909594423,20000,8,True,20,0.000385213062849,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,6,D1,ZIP--ZINB,identity,-44968.4330229252,89956.86604585039,90035.90092137575,20000,10,True,50,0.0001738165205538,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,Poisson,identity,-100823.23543659376,201650.4708731876,201666.2778482926,20000,2,True,7,1.8822842823729147e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,NB,identity,-46951.047304350126,93908.09460870024,93931.80507135786,20000,3,True,9,2.291587383713642e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,ZIP,identity,-72358.21859753379,144724.43719506758,144756.05114527774,20000,4,True,12,0.0001101498920297,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,ZINB,identity,-46214.33791506361,92438.67583012722,92478.1932678899,20000,5,True,16,0.0002099871895159,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,P+NB,identity,-45594.56148273834,91201.12296547668,91248.5438907919,20000,6,True,14,0.0001055608015221,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,Z+P+NB,identity,-45060.14107715403,90136.28215430806,90199.51005472837,20000,8,True,24,0.0005482860484783,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,8,D1,ZIP--ZINB,identity,-44988.54599386036,89997.09198772072,90076.12686324609,20000,10,True,15,8.56857194306837e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,Poisson,identity,-97045.55338575089,194095.10677150177,194110.91374660685,20000,2,True,6,5.29416035419672e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,NB,identity,-46577.039551163456,93160.07910232693,93183.78956498452,20000,3,True,19,0.000124595620349,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,ZIP,identity,-70153.56378011056,140315.12756022112,140346.74151043128,20000,4,True,12,0.0001692836367839,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,ZINB,identity,-45850.39637395102,91710.79274790204,91750.31018566473,20000,5,True,16,0.0002075855773823,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,P+NB,identity,-45148.609660103146,90309.21932020628,90356.64024552151,20000,6,True,16,3.662699909345868e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,Z+P+NB,identity,-44633.20257690667,89282.40515381334,89345.63305423362,20000,8,True,23,0.0004425749375528,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,11,D1,ZIP--ZINB,identity,-44571.93321148969,89163.86642297938,89242.90129850474,20000,10,True,16,0.0005161569391178,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,Poisson,identity,-99586.7852984934,199177.5705969868,199193.37757209185,20000,2,True,7,0.0001132768262726,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,NB,identity,-46518.838580788346,93043.67716157668,93067.3876242343,20000,3,True,11,9.492687560067048e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,ZIP,identity,-71444.0709873222,142896.1419746444,142927.75592485454,20000,4,True,11,0.0001848896862737,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,ZINB,identity,-45779.75522186211,91569.51044372424,91609.02788148692,20000,5,True,16,0.0002774882024914,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,P+NB,identity,-45192.8784287686,90397.7568575372,90445.17778285242,20000,6,True,57,0.0002290175630719,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,Z+P+NB,identity,-44638.09766385026,89292.19532770052,89355.42322812081,20000,8,True,18,0.0005617064301733,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,9,D1,ZIP--ZINB,identity,-44569.08395014123,89158.16790028245,89237.20277580782,20000,10,True,14,4.796540783630343e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,Poisson,identity,-95707.98335551051,191419.96671102103,191435.7736861261,20000,2,True,8,0.0004190329843825,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,NB,identity,-45952.75300592077,91911.50601184151,91935.21647449912,20000,3,True,18,7.658809849431236e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,ZIP,identity,-68341.60361390302,136691.20722780604,136722.8211780162,20000,4,True,12,0.0005313328570379,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,ZINB,identity,-45116.79997285378,90243.59994570757,90283.11738347023,20000,5,True,17,0.000191971472354,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,P+NB,identity,-44594.0830342758,89200.1660685516,89247.58699386682,20000,6,True,22,0.0002004545192697,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,Z+P+NB,identity,-43964.28451465542,87944.56902931083,88007.79692973112,20000,8,True,23,0.0001697274104923,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,14,D1,ZIP--ZINB,identity,-43888.1654751204,87796.33095024081,87875.36582576617,20000,10,True,47,0.0003945162640205,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,Poisson,identity,-95916.87507710209,191837.7501542041,191853.5571293092,20000,2,True,7,1.1501046800921344e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,NB,identity,-46280.54218753637,92567.08437507274,92590.79483773034,20000,3,True,9,5.0572429252326856e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,ZIP,identity,-69689.07015033944,139386.14030067888,139417.75425088903,20000,4,True,11,0.0001835096193638,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,ZINB,identity,-45552.27010331585,91114.5402066317,91154.0576443944,20000,5,True,21,0.0002867452205027,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,P+NB,identity,-44879.93792334636,89771.87584669272,89819.29677200795,20000,6,True,17,0.000207842061876,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,Z+P+NB,identity,-44352.9818692328,88721.9637384656,88785.19163888588,20000,8,True,20,0.0002290296119529,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,10,D1,ZIP--ZINB,identity,-44290.171762293,88600.343524586,88679.37840011137,20000,10,True,14,0.0003769168405399,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,Poisson,identity,-99720.11058706316,199444.22117412632,199460.0281492314,20000,2,True,6,0.0001443521343444,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,NB,identity,-46767.43376722405,93540.8675344481,93564.5779971057,20000,3,True,10,7.369849162941478e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,ZIP,identity,-71594.76534888809,143197.53069777618,143229.14464798634,20000,4,True,12,0.000223818859141,not_computed,,0,Optimization terminated successfully
