Scenario,Dataset,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec
D3,Dataset 3,Poisson,0.129392921924591,0.010776483207922957,4
D3,Dataset 3,NB,0.2587429881095886,0.03117690962537686,4
D3,Dataset 3,ZIP,0.34635496139526367,0.03253915608268046,4
D3,Dataset 3,ZINB,0.49727708101272583,0.03761994699904853,4
D3,Dataset 3,P+NB,0.8268072605133057,0.10245456527705611,4
D3,Dataset 3,Z+P+NB,1.1031437516212463,0.06590634049067208,4
D3,Dataset 3,ZIP--ZINB,2.353049099445343,0.09969677434929933,4
