SourceFolder,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
C2_identity_Z_plus_P_plus_NB,C2,NB,identity,-2939.450897497194,5886.901794994388,5913.423882501281,5600,4,True,34,0.036799884449806,not_computed,,0,Optimization terminated successfully
C2_identity_Z_plus_P_plus_NB,C2,ZIP,identity,-2843.3676581344,5696.7353162688005,5729.887925652417,5600,5,True,21,2.083284280907094e-05,not_computed,,0,Optimization terminated successfully
C2_identity_Z_plus_P_plus_NB,C2,ZINB,identity,-2843.366820286362,5698.733640572724,5738.516771833063,5600,6,True,45,0.0013320200490127,not_computed,,0,Optimization terminated successfully
C2_identity_Z_plus_P_plus_NB,C2,P+NB,identity,-2852.7501817342063,5721.500363468413,5774.544538482199,5600,8,True,46,1068.120085966574,not_computed,,0,Optimization terminated successfully
C2_identity_Z_plus_P_plus_NB,C2,Z+P+NB,identity,-2843.3676414661363,5706.735282932273,5773.040501699505,5600,10,True,73,0.0050455309340122,not_computed,,0,Optimization terminated successfully
C2_identity_Z_plus_P_plus_NB,C2,ZIP--ZINB,identity,-2843.366477897608,5710.732955795215,5790.299218315894,5600,12,True,87,0.0079804079419361,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_NB,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_P_plus_NB,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_Poisson,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_ZINB,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_ZIP,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,Poisson,log,-3528.6965528059327,7063.393105611865,7083.284671242035,5600,3,True,9,0.0038090123067604,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,NB,log,-2940.5233778138727,5889.046755627745,5915.568843134638,5600,4,True,19,0.0002458548153754,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,ZIP,log,-2843.691105360311,5697.382210720622,5730.534820104239,5600,5,True,18,0.0065533183826573,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,ZINB,log,-2843.690195973953,5699.380391947906,5739.163523208245,5600,6,True,38,0.0018641602715945,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,P+NB,log,-2846.2199269392604,5708.439853878521,5761.484028892307,5600,8,True,74,0.00081041960334,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,Z+P+NB,log,-2839.722571297944,5699.445142595888,5765.75036136312,5600,10,True,58,0.0290072130110274,not_computed,,0,Optimization terminated successfully
C2_log_Z_plus_P_plus_NB,C2,ZIP--ZINB,log,-2838.557049098048,5701.114098196095,5780.680360716774,5600,12,True,118,0.046801728156737,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_NB,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
